formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
037E80:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeArcanaeumScene06,MG Arcanaeum Scene 6,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E82:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeGHallScene01,MG Great Hall Scene 1,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E84:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeGHallScene02,MG Great Hall Scene 2,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E86:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeGHallScene03,MG Great Hall Scene 3,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037ED8:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeGHallScene04,MG Great Hall Scene 4,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037EDA:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeDormitoryScene01,MG Dormitory Scene 1,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037EDC:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeDormitoryScene02,MG Dormitory Scene 2,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037F13:Skyrim.esm,Skyrim.esm,WIAssaultRemember,Put's in faction meaning I've previously been assault,structural-silent,1,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,
037FBD:Skyrim.esm,Skyrim.esm,WIAssaultRememberDialogue,Hello flavored on previous assault,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03828B:Skyrim.esm,Skyrim.esm,DialogueWindhelmBlacksmithScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03829B:Skyrim.esm,Skyrim.esm,DialogueWindhelmBlacksmithScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03829F:Skyrim.esm,Skyrim.esm,DialogueDawnstar,,structural-silent,5,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=5; journal_stages=none; completion_stages=none; objectives=0,
03833C:Skyrim.esm,Skyrim.esm,WIDeadBody01,A crowd gathers,structural-silent,4,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=4; journal_stages=none; completion_stages=none; objectives=0,
038386:Skyrim.esm,Skyrim.esm,MS13LucanCamillaScene,,structural-silent,2,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,
038584:Skyrim.esm,Skyrim.esm,DialogueWindhelmBlacksmithScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
038586:Skyrim.esm,Skyrim.esm,DialogueWindhelmViolaLonelyGaleScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
038588:Skyrim.esm,Skyrim.esm,DialogueWindhelmViolaLonelyGaleScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03858A:Skyrim.esm,Skyrim.esm,DialogueWindhelmViolaLonelyGaleScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03858C:Skyrim.esm,Skyrim.esm,DialogueWindhelmViolaLonelyGaleScene4,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03867C:Skyrim.esm,Skyrim.esm,DialogueRorikstead,Rorikstead dialogue,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03874B:Skyrim.esm,Skyrim.esm,DialogueBarleydarkFarm,Barleydark Farm dialogue,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03907C:Skyrim.esm,Skyrim.esm,DialogueOrcs,Generic dialogue for orc villagers,structural-silent,3,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,
039259:Skyrim.esm,Skyrim.esm,CreatureDialogueDragon,CreatureDialogueDragon,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039645:Skyrim.esm,Skyrim.esm,MS13,The Golden Claw,approved-owner,19,5,100|110,6,direct_mcp_review=ok; source=Skyrim.esm; stages=19; journal_stages=10|12|100|110|200; completion_stages=100|110; objectives=6,Owner-approved tagged outcome; cross-generation and promotion are pending.
039792:Skyrim.esm,Skyrim.esm,WIAssault02,Scare my Enemy,approved-owner,6,0,100,4,direct_mcp_review=ok; source=Skyrim.esm; stages=6; journal_stages=none; completion_stages=100; objectives=4,Direct INFO/TIF and official alias/QF fragments isolate s100 to the successful paid nonlethal assault; the murder route stops without s100. Owner-approved coercion_extortion captures the invariant intimidation-for-hire act.
039B3B:Skyrim.esm,Skyrim.esm,dunBlindCliffQST,The Affairs of Hagravens,approved-owner,12,1,100,1,direct_mcp_review=ok; source=Skyrim.esm; stages=12; journal_stages=200; completion_stages=100; objectives=1,Direct QF decompile proves s100 completes the kill-Petra objective and increments side-quest completion; the contradictory s200 Melka-death journal is a separate terminal.
039BB5:Skyrim.esm,Skyrim.esm,DunHarmugstahlQST,,semantic-silent,6,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=6; journal_stages=none; completion_stages=none; objectives=0,
039CDD:Skyrim.esm,Skyrim.esm,DialogueWindhelmAlchemyShopScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039CDF:Skyrim.esm,Skyrim.esm,DialogueWindhelmAlchemyShopScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039CE1:Skyrim.esm,Skyrim.esm,DialogueWindhelmAlchemyShopScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039CE3:Skyrim.esm,Skyrim.esm,DialogueWindhelmBrunwulfEldaScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039CE5:Skyrim.esm,Skyrim.esm,DialogueWindhelmBrunwulfEldaScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039CE7:Skyrim.esm,Skyrim.esm,DialogueWindhelmBrunwulfEldaScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039DF7:Skyrim.esm,Skyrim.esm,DialogueRoriksteadSisselJouaneScene1,Riverwood test scene,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
039F82:Skyrim.esm,Skyrim.esm,WICourier,Courier,structural-silent,2,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,
03A156:Skyrim.esm,Skyrim.esm,DialogueRoriksteadEnnisReldithScene1,Riverwood test scene,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A15A:Skyrim.esm,Skyrim.esm,DialogueWhiterunHeimskrPreachScene,Heimskr Repeating Preaching Scene,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A17C:Skyrim.esm,Skyrim.esm,MS13BleakFallsBarrowCampfireScene,,structural-silent,1,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,
03A74A:Skyrim.esm,Skyrim.esm,dunSouthfringeQST,,approved-owner,6,0,100,1,direct_mcp_review=ok; source=Skyrim.esm; stages=6; journal_stages=none; completion_stages=100; objectives=1,Owner-approved tagged outcome; cross-generation and promotion are pending.
03A99F:Skyrim.esm,Skyrim.esm,DialogueNarzulbur,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9A0:Skyrim.esm,Skyrim.esm,DialogueEastmarch,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9A8:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9AA:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9AC:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9AE:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene4,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9B0:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene5,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9B2:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene6,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9B4:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene7,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9B6:Skyrim.esm,Skyrim.esm,DialogueWindhelmPalaceScene8,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9C2:Skyrim.esm,Skyrim.esm,DialogueWindhelmCandlehearthScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9C4:Skyrim.esm,Skyrim.esm,DialogueWindhelmCandlehearthScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9C6:Skyrim.esm,Skyrim.esm,DialogueWindhelmCandlehearthScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9C8:Skyrim.esm,Skyrim.esm,DialogueWindhelmCandlehearthScene4,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9CC:Skyrim.esm,Skyrim.esm,DialogueWindhelmCornerclubScene1,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9CE:Skyrim.esm,Skyrim.esm,DialogueWindhelmCornerclubScene2,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9D0:Skyrim.esm,Skyrim.esm,DialogueWindhelmCornerclubScene3,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9D2:Skyrim.esm,Skyrim.esm,DialogueWindhelmCornerclubScene4,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03A9D4:Skyrim.esm,Skyrim.esm,DialogueWindhelmCornerclubScene5,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03AA66:Skyrim.esm,Skyrim.esm,dunPOIReachShrineTheftQST,,semantic-silent,2,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,
03AC44:Skyrim.esm,Skyrim.esm,MS13BleakFallsBarrowLeverScene,,structural-silent,3,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=3; journal_stages=none; completion_stages=none; objectives=0,
03ACDB:Skyrim.esm,Skyrim.esm,Caravans,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03AD4A:Skyrim.esm,Skyrim.esm,dunHalldirsCairnQST,,semantic-silent,4,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=4; journal_stages=none; completion_stages=none; objectives=0,
03B0FB:Skyrim.esm,Skyrim.esm,dunAlftandQST,,semantic-silent,13,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=13; journal_stages=none; completion_stages=none; objectives=0,
03B681:Skyrim.esm,Skyrim.esm,DA06,The Cursed Tribe,approved-existing,15,7,200,9,direct_mcp_review=ok; source=Skyrim.esm; stages=15; journal_stages=10|50|70|80|100|110|200; completion_stages=200; objectives=9,Existing core/PatchHub ownership; direct QUST readback reconfirmed the row-bearing quest.
03BC74:Skyrim.esm,Skyrim.esm,MS13BleakFallsBarrowArvelShouting,,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03BCC4:Skyrim.esm,Skyrim.esm,CWMission03,A False Front,approved-owner,15,2,50|200,4,direct_mcp_review=ok; source=Skyrim.esm; stages=15; journal_stages=10|200; completion_stages=50|200; objectives=4,Owner-approved tagged outcome; cross-generation and promotion are pending.
03C7A0:Skyrim.esm,Skyrim.esm,WICraftItem01,Blacksmith crafting,structural-silent,1,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=1; journal_stages=none; completion_stages=none; objectives=0,
03CD36:Skyrim.esm,Skyrim.esm,dunTolvaldsCaveQST,,semantic-silent,8,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=8; journal_stages=none; completion_stages=none; objectives=0,
03CDC0:Skyrim.esm,Skyrim.esm,DialogueDawnstarBrinaHorikScene01,DialogueDawnstarBrinaHorikScene01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDC2:Skyrim.esm,Skyrim.esm,DialogueDawnstarBrinaHorikScene02,DialogueDawnstarBrinaHorikScene02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDC8:Skyrim.esm,Skyrim.esm,DialogueDawnstarRustleifSeren01,DialogueDawnstarRustleifSeren01,structural-silent,2,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,
03CDCA:Skyrim.esm,Skyrim.esm,DialogueDawnstarRustleifSeren02,DialogueDawnstarRustleifSeren02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDCE:Skyrim.esm,Skyrim.esm,DialogueDawnstarIronBreakerKarlBeitild02,DialogueDawnstarIronBreakerKarlBeitild02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDD0:Skyrim.esm,Skyrim.esm,DialogueDawnstarIronBreakerKarlBeitild01,DialogueDawnstarIronBreakerKarlBeitild01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDD6:Skyrim.esm,Skyrim.esm,DialogueDawnstarQuicksilverLeigelfLond02,DialogueDawnstarQuicksilverLeigelfLond02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDD8:Skyrim.esm,Skyrim.esm,DialogueDawnstarQuicksilverLeigelfLond01,DialogueDawnstarQuicksilverLeigelfLond01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CDDA:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldJod01,DialogueDawnstarWhiteHallSkaldJod01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03CEDA:Skyrim.esm,Skyrim.esm,DB10,Death Incarnate,approved-existing,19,2,200,11,direct_mcp_review=ok; source=Skyrim.esm; stages=19; journal_stages=10|200; completion_stages=200; objectives=11,Existing core/PatchHub ownership; direct QUST readback reconfirmed the row-bearing quest.
03D202:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldJod02,DialogueDawnstarWhiteHallSkaldJod02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D204:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldBulfrek02,DialogueDawnstarWhiteHallSkaldBulfrek02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D206:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldBulfrek01,DialogueDawnstarWhiteHallSkaldBulfrek01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D208:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldMadena02,DialogueDawnstarWhiteHallSkaldMadena02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D20A:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallSkaldMadena01,DialogueDawnstarWhiteHallSkaldMadena01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D20C:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallBrinaHorikScene02,DialogueDawnstarWhiteHallBrinaHorikScene02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D20E:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallBrinaHorikScene01,DialogueDawnstarWhiteHallBrinaHorikScene01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D210:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallMadenaHorik02,DialogueDawnstarWhiteHallMadenaHorik02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D212:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallMadenaHorik01,DialogueDawnstarWhiteHallMadenaHorik01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D214:Skyrim.esm,Skyrim.esm,DialogueDawnstarWhiteHallMadenaBrina02,DialogueDawnstarWhiteHallMadenaBrina02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D21A:Skyrim.esm,Skyrim.esm,DialogueDawnstarInnKaritaThoringScene02,DialogueDawnstarInnKaritaThoringScene02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D21C:Skyrim.esm,Skyrim.esm,DialogueDawnstarInnKaritaThoringScene01,DialogueDawnstarInnKaritaThoringScene01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03D26C:Skyrim.esm,Skyrim.esm,dunRavenscarQST,,semantic-silent,7,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=7; journal_stages=none; completion_stages=none; objectives=0,
03D721:Skyrim.esm,Skyrim.esm,dunAnsilvundQST,,approved-owner,18,0,100,1,direct_mcp_review=ok; source=Skyrim.esm; stages=18; journal_stages=none; completion_stages=100; objectives=1,Owner-approved tagged outcome; cross-generation and promotion are pending.
03DAC7:Skyrim.esm,Skyrim.esm,TGDialogueHQScene01,Thieves Guild Dialogue Scene 01,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAC9:Skyrim.esm,Skyrim.esm,TGDialogueHQScene02,Thieves Guild Dialogue Scene 02,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DACB:Skyrim.esm,Skyrim.esm,TGDialogueHQScene03,Thieves Guild Dialogue Scene 03,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DACD:Skyrim.esm,Skyrim.esm,TGDialogueHQScene04,Thieves Guild Dialogue Scene 04,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DACF:Skyrim.esm,Skyrim.esm,TGDialogueHQScene05,Thieves Guild Dialogue Scene 05,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAD1:Skyrim.esm,Skyrim.esm,TGDialogueHQScene06,Thieves Guild Dialogue Scene 06,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAD3:Skyrim.esm,Skyrim.esm,TGDialogueHQScene07,Thieves Guild Dialogue Scene 07,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAD5:Skyrim.esm,Skyrim.esm,TGDialogueHQScene08,Thieves Guild Dialogue Scene 08,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAD7:Skyrim.esm,Skyrim.esm,TGDialogueHQScene09,Thieves Guild Dialogue Scene 09,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAD9:Skyrim.esm,Skyrim.esm,TGDialogueHQScene10,Thieves Guild Dialogue Scene 10,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DADB:Skyrim.esm,Skyrim.esm,TGDialogueHQScene11,Thieves Guild Dialogue Scene 11,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DADD:Skyrim.esm,Skyrim.esm,TGDialogueHQScene12,Thieves Guild Dialogue Scene 12,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DADF:Skyrim.esm,Skyrim.esm,TGDialogueHQScene13,Thieves Guild Dialogue Scene 13,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAE1:Skyrim.esm,Skyrim.esm,TGDialogueHQScene14,Thieves Guild Dialogue Scene 14,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAE3:Skyrim.esm,Skyrim.esm,TGDialogueHQScene15,Thieves Guild Dialogue Scene 15,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
03DAE5:Skyrim.esm,Skyrim.esm,TGDialogueHQScene16,Thieves Guild Dialogue Scene 16,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
