editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
dunDarklightQST,Repentance,40,Helped Illia stop an evil sacrifice ritual and defeated her mother.,"protect_the_weak,kill_honorable_combat,arcane_restraint",Skyrim.esm direct QUST read: s40 says Illia rebelled against the sacrifice ritual and the player helped attack and kill her mother.,Skyrim.esm:03FA89,A,"The record establishes an evil ritual, not a named Daedric threat."
FreeformRiften12,Helping Hand,200,Gave Wujeeta a healing potion when she needed help.,"heal_comfort,charity,protect_the_weak",Skyrim.esm direct QUST read: objective requires giving Wujeeta a healing potion; s200 exists as the completion path. RUNTIME-VERIFY.,Skyrim.esm:041FD2,B,Verify the textless s200 terminal follows the potion handoff.
FreeformRiften13,Pilgrimage,200,Carried Alessandra's ceremonial dagger to Andurs at the Hall of the Dead.,"honor_the_dead,honor_divine",Skyrim.esm direct QUST read: objective requires bringing Alessandra's dagger to Andurs in Whiterun and returning to her; s200 exists. RUNTIME-VERIFY.,Skyrim.esm:043E1A,B,Verify s200 follows the completed pilgrimage and return.
FreeformRiften11,Caught Red Handed,200,Exposed Haelga's secret affairs with the three Marks of Dibella and helped Svana confront her.,expose_betray_secret,Skyrim.esm direct QUST plus official QF decompile: objectives require obtaining the three Marks and confronting Haelga; s200 gives Svana's reward and completes the quest. RUNTIME-VERIFY.,Skyrim.esm:041F91,B,"The row judges the invariant exposure only; persuasion or theft used to obtain individual Marks is not inferred."
dunHighGateRuinsQST,A Scroll For Anska,100,Helped Anska recover her family scroll from High Gate Ruins.,friendship,Skyrim.esm direct QUST read: s100 says High Gate Ruins is clear and Anska rewarded the player after the scroll recovery.,Skyrim.esm:0443F4,A,"No extra undead tag: the completion text establishes aid and recovery, not which enemies the player killed."
dunFrostflowAbyssQST,Frostflow Abyss,100,Recovered Habd's remains and honored his last wish at Frostflow Lighthouse.,honor_the_dead,"Skyrim.esm direct QUST read: the quest objective investigates the lighthouse murders; aliases/VMAD identify HabdsSkull, Urn, and LighthouseActivator, with s100 as the last resolution. RUNTIME-VERIFY.",Skyrim.esm:048121,C,Alias-derived memorial act; verify the brazier interaction routes to s100 exactly once.
RoriksteadFreeform,Erik the Slayer,30,Helped Erik gain his father's blessing to become an adventurer.,friendship,Skyrim.esm direct QUST read: objectives require speaking to Mralki about Erik and returning to Erik; s30 exists in the resolution chain. RUNTIME-VERIFY.,Skyrim.esm:04EC52,B,Verify s30 is the successful persuasion branch rather than the later cleanup stage.
CWMission07,Compelling Tribute,200,Blackmailed an enemy steward and captured a military supply shipment.,"deceit,tactical_distraction",Skyrim.esm direct QUST read: s200 says the player successfully blackmailed the steward and captured enemy weapons and coin.,Skyrim.esm:0504F0,A,"Faction aliases vary, but both acts are invariant."
FreeformRiften01,Supply and Demand,200,Exposed and destroyed Riften's skooma operation.,"reject_criminality,civic_service","Skyrim.esm direct QUST read: objectives require reporting the skooma source, disrupting the operation, and reporting to the Jarl; s200 exists. RUNTIME-VERIFY.",Skyrim.esm:053305,B,Verify s200 is the post-Jarl completion terminal.
FreeformRiften05,Spread the Love,200,Distributed the Warmth of Mara throughout Riften.,"honor_divine,civic_service,charity",Skyrim.esm direct QUST read: objective requires distributing the Warmth of Mara within Riften and returning to Dinya; s200 exists. RUNTIME-VERIFY.,Skyrim.esm:053309,B,Verify s200 follows completion of all distributions.
FreeformRiften09,Grimsever's Return,200,Recovered Grimsever and returned it to Mjoll.,friendship,Skyrim.esm direct QUST read: objectives require locating Grimsever and returning to Mjoll; s200 exists. RUNTIME-VERIFY.,Skyrim.esm:05331C,B,"The sword was lost, not evidenced as stolen; no stolen-keepsake tag."
FreeformDragonBridge01,Olda's Request,300,Stole the requested item and delivered it to Olda.,theft_burglary,Skyrim.esm direct QUST read: objectives explicitly require stealing the quest item for Olda and bringing it to her; s300 exists as the last stage. RUNTIME-VERIFY.,Skyrim.esm:0555DD,B,Verify s300 is the successful delivery terminal.
FreeformSoljundsSinkholeA,Soljund's Sinkhole,100,Cleared the draugr from Soljund's Sinkhole for the miners.,"slay_undead,civic_service",Skyrim.esm direct QUST read: objectives require clearing the sinkhole of draugr and telling Perth they are dead; s100 exists. RUNTIME-VERIFY.,Skyrim.esm:06136B,B,Verify s100 follows the report to Perth.
FreeformWinterholdA,A Bad Trade,30,Placed Ranmir's burial urn in Yngol Barrow.,honor_the_dead,Skyrim.esm direct QUST read: objective requires placing the burial urn in Yngol Barrow; s30 is the last stage. RUNTIME-VERIFY.,Skyrim.esm:062F54,B,Verify s30 is set by the urn placement.
dunShipwreck04QST,Trius' Trinket,100,Recovered Trius's jewelry box from the wreck and returned it to him.,honest_labor_trade,Skyrim.esm direct QUST read: s100 says the player gave the box to Trius and received the promised reward.,Skyrim.esm:043BAB,A,One-shot commission completed for the agreed reward.
FreeformRiften08,Distant Memories,200,Recovered the clue to Brand-Shei's past and returned it to him.,friendship,Skyrim.esm direct QUST read: objectives require locating a clue about Brand-Shei's past and returning to him; s200 exists. RUNTIME-VERIFY.,Skyrim.esm:05331B,B,Verify s200 follows the successful clue handoff.
MGRRogue,Rogue Wizard,200,Killed the rogue wizard for the College and reported the task complete.,"kill_honorable_combat,arcane_restraint",Skyrim.esm direct QUST plus official target/QF decompiles: objective says deal with the rogue wizard; only a player kill at s10 sets s20 and the report chain terminates at s200. RUNTIME-VERIFY.,Skyrim.esm:05A609,B,Repeatable quest is eligible; the hard daily devotion cap owns repetition control.
FreeformMarkarthO,"Nimhe, the Poisoned One",20,Killed the giant spider Nimhe inside Nchuand-Zel and reported the danger ended.,"the_hunt,civic_service",Skyrim.esm direct QUST read: objectives require killing Nimhe and telling Calcelmo she is dead; s20 is the last stage. RUNTIME-VERIFY.,Skyrim.esm:053804,B,Verify s20 follows the report to Calcelmo.
dunAnsilvundQST,Ansilvund,100,Stopped Lu'ah Al-Skaven's necromancy in Ansilvund.,"honor_the_dead,arcane_restraint",Skyrim.esm direct QUST read: objective requires killing Lu'ah Al-Skaven; the quest's direct alias/VMAD evidence identifies the Ansilvund necromancer route and s100 exists. RUNTIME-VERIFY.,Skyrim.esm:03D721,B,Verify s100 is the successful terminal after Lu'ah's defeat.
TGRFO,The Numbers Job,200,Forged false entries in a business ledger and collected the Thieves Guild payment.,deceit,Skyrim.esm direct QUST read: s200 says the false-ledger job succeeded and payment was received; official QF decompile grants the reward and stops.,Skyrim.esm:06098E,A,Repeatable quest is eligible; the hard daily devotion cap owns repetition control.
TGRNT,The Bedlam Job,200,Stole the required value of goods unseen and kept the stolen property as payment.,theft_burglary,Skyrim.esm direct QUST read: s200 says the job succeeded and the player kept everything stolen; official QF decompile grants the reward and stops.,Skyrim.esm:060990,A,Repeatable quest is eligible; the hard daily devotion cap owns repetition control.
FreeformKarthwastenA,Sanuarach Mine,100,Helped Ainethach drive the Silver-Blood mercenaries from his mine.,"defend_kin_home,civic_service",Skyrim.esm direct QUST plus official QF decompile: objective 10 is to convince Atar to leave; s100 gives Ainethach and the local miners positive player relationships and completes the quest. RUNTIME-VERIFY.,Skyrim.esm:0622E8,B,"The opposed s200 Atar branch is safely mapped but has no supported canonical act tag and remains inert."
"WIAssault02","Scare my Enemy","100","Carried out a paid assault to coerce the target without killing them.","coercion_extortion","Skyrim.esm direct QUST/INFO/TIF plus official alias/QF fragment read: a player hit sets s30; the alive-target report dialogue sets s100 and pays the player; every dead-target response stops the quest without s100. RUNTIME-VERIFY.","Skyrim.esm:039792","A","REPEATABLE-ELIGIBLE: exact nonlethal coercion success; daily hard cap owns repetition."
"FreeformRiften14","Hunt and Gather","200","Recovered Wylandriah's three requested items and returned them for the promised reward.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: the s60 handoff dialogue accepts all three items and the official quest fragment isolates s200 as the resulting terminal. RUNTIME-VERIFY.","Skyrim.esm:043E25","C","One-shot paid retrieval commission."
"FreeformRiften04","Few and Far Between","200","Gathered Ingun's requested alchemy ingredients and delivered the completed order.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: the three ingredient handoffs culminate in Ingun's reward and s200. RUNTIME-VERIFY.","Skyrim.esm:053308","C","One-shot paid ingredient commission."
"FreeformRiften06","Sealing the Deal","200","Gathered three flawless amethysts for Talen-Jei's Argonian wedding proposal band.","marriage_family,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: dialogue identifies the gems as the traditional wedding-band setting and the handoff culminates at s200. RUNTIME-VERIFY.","Skyrim.esm:053318","B","Marriage support is directly evidenced; this does not itself assert the later wedding occurred."
"FreeformRiften07","Ice Cold","200","Delivered five ice-wraith teeth for Marise's food-preservation work.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: the five-teeth handoff culminates at s200. RUNTIME-VERIFY.","Skyrim.esm:05331A","C","No hunt tag: the quest explicitly permits buying the teeth."
"FreeformRiften10","Stoking the Flames","200","Supplied the fire salts that restored Balimund's ancestral forge.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: dialogue says the salts bring the dying family forge back to life and the handoff culminates at s200. RUNTIME-VERIFY.","Skyrim.esm:05331D","B","One-shot forge-supply commission; the player supplies rather than performs the smithing."
"FreeformRiften15","Special Delivery","200","Delivered the Riften Fishery purchase agreement to Kleppr in Markarth.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: Kleppr receives the business agreement and pays the player before the s200 terminal. RUNTIME-VERIFY.","Skyrim.esm:0557E9","C","One-shot paid commercial delivery."
"FreeformRiften16","Bring It!","200","Collected Harrald's repaired sword from Balimund and delivered it to Harrald.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: the repaired-sword pickup and delivery culminate at s200. RUNTIME-VERIFY.","Skyrim.esm:0557F3","C","One-shot paid courier service."
"FreeformRiften17","Truth Ore Consequences","200","Delivered Redbelly Mine's unusual ore sample for professional identification.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: Filnjar supplies the sample under a paid identification arrangement and Hafjorg accepts it before s200. RUNTIME-VERIFY.","Skyrim.esm:05B2DE","C","Scores the completed trade-and-delivery service, not scientific study by the player."
"FreeformRiften18","Ringmaker","200","Gathered materials for Madesi's traditional Saxhleel jewelry work.","honest_labor_trade,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: the sapphires, tusk, and gold are delivered for Madesi's endangered traditional craft before s200. RUNTIME-VERIFY.","Skyrim.esm:05B3A5","B","The player supplies the craft; no master-crafting tag is inferred."
"FreeformMarkarthL","Skilled Apprenticeship","200","Delivered The Last Scabbard of Akrash so Ghorza could teach her apprentice.","disciplined_study,civic_service","Skyrim.esm direct QUST/INFO/TIF plus official QF fragment read: Ghorza requests the smithing book for Tacitus and confirms it will help him before s200. RUNTIME-VERIFY.","Skyrim.esm:06099C","B","Scores enabling apprenticeship study; the player is not credited with performing the smithing."
