event_name,local_smen_formid,local_smen_type,quest_event,availability,pdv_priority,candidate_signal,capture_pattern,compatibility_note,status
Player Add Item,Skyrim.esm:02C439,PlayerAddItem,OnStoryAddToPlayer,local_smen+quest_event,medium,"Offerings, relic acquisition, sacred texts, Daedric artifacts","Receiver validates item/FormList/acquire type","Avoid scoring generic loot.",planned
Player Cured,,,OnStoryCure,papyrus_event_no_local_smen,medium,"Disease cure, purification, curse resolution","Requires CK/xEdit proof before relying on Story Manager root wiring","Verify regular disease vs vampirism/lycanthropy coverage.",needs-proof
Player Infected,,,OnStoryInfection,papyrus_event_no_local_smen,medium,"Disease contraction, Peryite/Arkay/Stendarr/curse pressure","Requires CK/xEdit proof before relying on Story Manager root wiring","Use state transition markers, not repeated hidden penalties.",needs-proof
Player Receives Favor,,,OnStoryPlayerGetsFavor,papyrus_event_no_local_smen,medium,"Helped NPC/community favor, reciprocal obligation","Requires CK/xEdit proof before relying on Story Manager root wiring","Favor systems are uneven; curated quest/dialogue may be clearer.",needs-proof
Player Remove Item,Skyrim.esm:02C6AC,PlayerRemoveItem,OnStoryRemoveFromPlayer,local_smen+quest_event,medium,"Donation/offering removal, theft loss, sacrifice, payment","Receiver validates item/FormList/remove type","Avoid generic inventory churn.",planned
Quest Start,,,none_found,file_format_code_only,low,"Quest-start event code exists in SMEN format reference","Do not use as PDV capture until a receiver/root node path is proven","Quest stages or Script Event are safer for authored milestones.",watch
Script Event,Skyrim.esm:01379A,ScriptEvent,OnStoryScript,local_smen+quest_event,high,"Curated quest, dialogue, shrine, ritual, faction-stage signals","Keyword.SendStoryEvent from authored scripts/fragments","Best route for explicit moral/theological events.",planned
Served Time,,,OnStoryServedTime,papyrus_event_no_local_smen,medium,"Repentance, civic consequence, jail completion","Requires CK/xEdit proof before relying on Story Manager root wiring","De-dupe with arrest/jail/pay-fine chains.",needs-proof
Skill Increase,Skyrim.esm:02D386,SkillIncrease,OnStoryIncreaseSkill,local_smen+quest_event,medium,"Learning, discipline, martial/magical practice milestones","Receiver handles threshold crossings only","Do not award raw skill XP or every skill increase.",planned
Trespass Actor Event,,,OnStoryTrespass,papyrus_event_no_local_smen,medium,"Illegal presence, secrecy, civic disrespect","Requires CK/xEdit proof before relying on Story Manager root wiring","Trespass can be accidental; use context and warnings.",needs-proof
