legacy_phrase,affected_rows,candidate_deities_canonical,excluded_tokens,primary_ruling
Stendarr,13,Stendarr,,names already match current matrix authority
"Stendarr,Mara",1,Stendarr|Mara,,names already match current matrix authority
Stendarr;Arkay,1,Stendarr|Arkay,,names already match current matrix authority
Stendarr;Arkay;Molag Bal,1,Stendarr|Arkay|Molag Bal,,names already match current matrix authority
Stendarr;Kynareth,2,Stendarr|Kynareth,,names already match current matrix authority
Stendarr;Kynareth;Zenithar,1,Stendarr|Kynareth|Zenithar,,names already match current matrix authority
Stendarr;Mephala;Kynareth,1,Stendarr|Mephala|Kynareth,,names already match current matrix authority
Stendarr;Sithis;Arkay,1,Stendarr|Sithis|Arkay,,names already match current matrix authority
Stendarr;Sithis;Talos,1,Stendarr|Sithis|Talos,,names already match current matrix authority
Stendarr;Talos,25,Stendarr|Talos,,names already match current matrix authority
Stendarr;Talos;Arkay,1,Stendarr|Talos|Arkay,,names already match current matrix authority
Stendarr;Talos;Julianos,2,Stendarr|Talos|Julianos,,names already match current matrix authority
Stendarr;Talos;Sithis,1,Stendarr|Talos|Sithis,,names already match current matrix authority
Stendarr;Zenithar,1,Stendarr|Zenithar,,names already match current matrix authority
Stendarr;Zenithar;Kynareth,1,Stendarr|Zenithar|Kynareth,,names already match current matrix authority
Stendarr;Zenithar;Talos,1,Stendarr|Zenithar|Talos,,names already match current matrix authority
Syrabane,1,Syrabane,,names already match current matrix authority
Talos,2,Talos,,names already match current matrix authority
Talos;Akatosh,1,Talos|Akatosh,,names already match current matrix authority
Talos;Stendarr,3,Talos|Stendarr,,names already match current matrix authority
Talos;Zenithar,1,Talos|Zenithar,,names already match current matrix authority
The Hist;Azura,1,The Hist|Azura,,names already match current matrix authority
The Hist;Sithis,1,The Hist|Sithis,,names already match current matrix authority
The Hist;Sithis;Boethiah;Azura;Mephala,1,The Hist|Sithis|Boethiah|Azura|Mephala,,names already match current matrix authority
The Hist;Y'ffre;Kynareth,1,The Hist|Y'ffre|Kynareth,,names already match current matrix authority
Trinimac,1,Trinimac,,names already match current matrix authority
Trinimac;Malacath,1,Trinimac|Malacath,,names already match current matrix authority
Vaermina,1,Vaermina,,names already match current matrix authority
Vivec;Julianos,1,Julianos,Vivec,Vivec: Tribunal concept is outside the current runtime roster
Y'ffre;Z'en;Baan Dar,1,Y'ffre|Z'en|Baan Dar,,names already match current matrix authority
Y'ffre;Z'en;Kynareth,1,Y'ffre|Z'en|Kynareth,,names already match current matrix authority
Zenithar,12,Zenithar,,names already match current matrix authority
Zenithar;Dibella,6,Zenithar|Dibella,,names already match current matrix authority
Zenithar;Kynareth,1,Zenithar|Kynareth,,names already match current matrix authority
Zenithar;Mara,9,Zenithar|Mara,,names already match current matrix authority
Zenithar;Mephala,1,Zenithar|Mephala,,names already match current matrix authority
Zenithar;Mephala;Nocturnal,1,Zenithar|Mephala|Nocturnal,,names already match current matrix authority
Zenithar;Nocturnal,1,Zenithar|Nocturnal,,names already match current matrix authority
Zenithar;Nocturnal;Sanguine,1,Zenithar|Nocturnal|Sanguine,,names already match current matrix authority
Zenithar;Nocturnal;Stendarr,1,Zenithar|Nocturnal|Stendarr,,names already match current matrix authority
Zenithar;Rajhin,1,Zenithar|Rajhin,,names already match current matrix authority
Zenithar;S'rendarr,1,Zenithar|Stendarr,,S'rendarr reviewed as cultural alias of Stendarr
Zenithar;Sanguine,2,Zenithar|Sanguine,,names already match current matrix authority
Zenithar;Stendarr,1,Zenithar|Stendarr,,names already match current matrix authority
Zenithar;Stendarr;Mephala,1,Zenithar|Stendarr|Mephala,,names already match current matrix authority
Zenithar;Talos,1,Zenithar|Talos,,names already match current matrix authority
