batch_id,wave,separator,mod,plugin,plugin_path,input_id
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse041-netchleather.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse041-netchleather.esl,a0d486fc114b6495
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse043-crosselv.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse043-crosselv.esl,643f9f010b7cbb06
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse045-hasedoki.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse045-hasedoki.esl,4e9edc053bc06b95
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse050-ba_daedric.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse050-ba_daedric.esl,d136a0a6c122d334
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse051-ba_daedricmail.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse051-ba_daedricmail.esl,5930e90ba100f5d1
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse057-ba_stalhrim.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse057-ba_stalhrim.esl,74ae1a8a25e5aaca
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse059-ba_dragonplate.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse059-ba_dragonplate.esl,f999adc3b61e28b7
A004,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse060-ba_dragonscale.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse060-ba_dragonscale.esl,303eb8c28cbbd78a
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse061-ba_dwarven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse061-ba_dwarven.esl,ec9b54b93256259d
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse062-ba_dwarvenmail.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse062-ba_dwarvenmail.esl,761c9cd65f8c2c76
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccbgssse067-daedinv.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccbgssse067-daedinv.esm,213dd089f88dac40
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccedhsse001-norjewel.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccedhsse001-norjewel.esl,b7409b89365b75f3
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccedhsse002-splkntset.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccedhsse002-splkntset.esl,e8bc74b4dc682e55
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccedhsse003-redguard.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccedhsse003-redguard.esl,c10fe9635f383eab
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,cceejsse001-hstead.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\cceejsse001-hstead.esm,fa0c21fac8e78261
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccffbsse001-imperialdragon.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccffbsse001-imperialdragon.esl,53fd57302ab06d55
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,cckrtsse001_altar.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\cckrtsse001_altar.esl,f372917fe4a8507e
A005,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccmtysse002-ve.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccmtysse002-ve.esl,840109f11c843969
A006,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccQDRSSE001-SurvivalMode.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccQDRSSE001-SurvivalMode.esl,127e3638eeea5928
A006,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,cctwbsse001-puzzledungeon.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\cctwbsse001-puzzledungeon.esm,3028984d78dad431
A006,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccvsvsse003-necroarts.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccvsvsse003-necroarts.esl,056b91e7bc962a87
A006,A,Base Game & Creation Club Files,Creation Club - Cleaned Masters,ccvsvsse004-beafarmer.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Cleaned Masters\ccvsvsse004-beafarmer.esl,46a16c0726539c7f
A006,A,Base Game & Creation Club Files,Creation Club - Dawnfang & Duskfang,ccbgssse013-dawnfang.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Dawnfang & Duskfang\ccbgssse013-dawnfang.esl,04317b3a58883f96
A006,A,Base Game & Creation Club Files,Creation Club - Divine Crusader,ccmtysse001-knightsofthenine.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Divine Crusader\ccmtysse001-knightsofthenine.esl,07964d72aa59143a
A006,A,Base Game & Creation Club Files,Creation Club - Elite Crossbows,ccbgssse043-crosselv.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Elite Crossbows\ccbgssse043-crosselv.esl,f465fadf65d93a18
A006,A,Base Game & Creation Club Files,Creation Club - Expanded Crossbow Pack,ccffbsse002-crossbowpack.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Expanded Crossbow Pack\ccffbsse002-crossbowpack.esl,25dbb6768b5d7a8b
A006,A,Base Game & Creation Club Files,Creation Club - Farming,ccvsvsse004-beafarmer.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Farming\ccvsvsse004-beafarmer.esl,56caa1ca5a506237
A006,A,Base Game & Creation Club Files,Creation Club - Fearsome Fists,cccbhsse001-gaunt.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Fearsome Fists\cccbhsse001-gaunt.esl,f4306e45ef522726
A007,A,Base Game & Creation Club Files,Creation Club - Fishing,ccbgssse001-fish.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Fishing\ccbgssse001-fish.esm,71b50843f4333357
A007,A,Base Game & Creation Club Files,Creation Club - Forgotten Seasons,cctwbsse001-puzzledungeon.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Forgotten Seasons\cctwbsse001-puzzledungeon.esm,dce5922a151a3d82
A007,A,Base Game & Creation Club Files,Creation Club - Ghosts of the Tribunal,ccasvsse001-almsivi.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Ghosts of the Tribunal\ccasvsse001-almsivi.esm,592774a8535d99b0
A007,A,Base Game & Creation Club Files,Creation Club - Goblins,ccbgssse040-advobgobs.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Goblins\ccbgssse040-advobgobs.esl,6cd7ba0cac2da609
A007,A,Base Game & Creation Club Files,Creation Club - Lord's Mail,ccbgssse021-lordsmail.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Lord's Mail\ccbgssse021-lordsmail.esl,843bfc59d2ec80b2
A007,A,Base Game & Creation Club Files,Creation Club - Necromantic Grimoire,ccvsvsse003-necroarts.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Necromantic Grimoire\ccvsvsse003-necroarts.esl,06bb808e464f8fd1
A007,A,Base Game & Creation Club Files,Creation Club - Netch Leather Armor,ccbgssse041-netchleather.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Netch Leather Armor\ccbgssse041-netchleather.esl,90ea0a1dfb16b73b
A007,A,Base Game & Creation Club Files,Creation Club - Nordic Jewelry,ccedhsse001-norjewel.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Nordic Jewelry\ccedhsse001-norjewel.esl,076ba3d13a5c39c1
A007,A,Base Game & Creation Club Files,Creation Club - Plague of the Dead,ccbgssse003-zombies.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Plague of the Dead\ccbgssse003-zombies.esl,5b0f862bb818ee37
A007,A,Base Game & Creation Club Files,Creation Club - Rare Curios,ccbgssse037-curios.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Rare Curios\ccbgssse037-curios.esl,7eda209a8a834eb8
A008,A,Base Game & Creation Club Files,Creation Club - Redguard Elite Armaments,ccedhsse003-redguard.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Redguard Elite Armaments\ccedhsse003-redguard.esl,1a681b0601072fd0
A008,A,Base Game & Creation Club Files,Creation Club - ResourcePack,_ResourcePack.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - ResourcePack\_ResourcePack.esl,1afe703b991e6cd8
A008,A,Base Game & Creation Club Files,Creation Club - Ruin's Edge,ccbgssse004-ruinsedge.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Ruin's Edge\ccbgssse004-ruinsedge.esl,9d03b972a46c4190
A008,A,Base Game & Creation Club Files,Creation Club - Saints & Seducers,ccbgssse025-advdsgs.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Saints & Seducers\ccbgssse025-advdsgs.esm,9cd1603bb24b19f7
A008,A,Base Game & Creation Club Files,Creation Club - Saturalia Holiday Pack,ccvsvsse001-winter.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Saturalia Holiday Pack\ccvsvsse001-winter.esl,882719e9bfb9afa3
A008,A,Base Game & Creation Club Files,Creation Club - Shadowfoot Sanctum,cceejsse003-hollow.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Shadowfoot Sanctum\cceejsse003-hollow.esl,d7d199fba18ece9f
A008,A,Base Game & Creation Club Files,Creation Club - Shadowrend,ccbgssse018-shadowrend.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Shadowrend\ccbgssse018-shadowrend.esl,343661fe11697fed
A008,A,Base Game & Creation Club Files,Creation Club - Spell Knight Armor,ccedhsse002-splkntset.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Spell Knight Armor\ccedhsse002-splkntset.esl,8158de107493acf6
A008,A,Base Game & Creation Club Files,Creation Club - Staff of Hasedoki,ccbgssse045-hasedoki.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Staff of Hasedoki\ccbgssse045-hasedoki.esl,cbc5742daaf7345c
A008,A,Base Game & Creation Club Files,Creation Club - Staff of Sheogorath,ccbgssse019-staffofsheogorath.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Staff of Sheogorath\ccbgssse019-staffofsheogorath.esl,75a69a2d0b0c5076
A009,A,Base Game & Creation Club Files,Creation Club - Stendarr's Hammer,ccbgssse006-stendarshammer.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Stendarr's Hammer\ccbgssse006-stendarshammer.esl,c936fbd07888c627
A009,A,Base Game & Creation Club Files,Creation Club - Survival Mode,ccqdrsse001-survivalmode.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Survival Mode\ccqdrsse001-survivalmode.esl,d3a37bc2fca9dfad
A009,A,Base Game & Creation Club Files,Creation Club - The Cause,ccbgssse067-daedinv.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - The Cause\ccbgssse067-daedinv.esm,d892a55dfbc4c3db
A009,A,Base Game & Creation Club Files,Creation Club - The Contest,ccbgssse069-contest.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - The Contest\ccbgssse069-contest.esl,98a83fb58ea1ebe1
A009,A,Base Game & Creation Club Files,Creation Club - Tundra Homestead,cceejsse001-hstead.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Tundra Homestead\cceejsse001-hstead.esm,e37ed4518b551b22
A009,A,Base Game & Creation Club Files,Creation Club - Umbra,ccbgssse016-umbra.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Umbra\ccbgssse016-umbra.esm,d60330430969e284
A009,A,Base Game & Creation Club Files,Creation Club - Vigil Enforcer Armor Set,ccmtysse002-ve.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Vigil Enforcer Armor Set\ccmtysse002-ve.esl,058e4c36fb755938
A009,A,Base Game & Creation Club Files,Creation Club - Wild Horses,ccbgssse034-mntuni.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Wild Horses\ccbgssse034-mntuni.esl,90e5c49bfe6dfc2b
A009,A,City Stuff - Misc Worldspace,Animated Ships,AnimatedShips.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Animated Ships\AnimatedShips.esl,e1f2a339b96879ff
A009,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul - Imperial Castles of Skyrim Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul - Imperial Castles of Skyrim Patch.esp,90c0a0b9c82f4cac
A010,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul - LOTD Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul - LOTD Patch.esp,fa73a32309c1fe6e
A010,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul - Lux Orbis Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul - Lux Orbis Patch.esp,fb71c27e1cb63617
A010,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul - Vigilant - LOTD Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul - Vigilant - LOTD Patch.esp,a5d76f149ebfa032
A010,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul - Vigilant Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul - Vigilant Patch.esp,dc7fcb2c5fd07444
A010,A,City Stuff - Misc Worldspace,Ivy's Stendarr's Beacon Overhaul,Ivy Stendarrs Beacon Overhaul.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Stendarr's Beacon Overhaul\Ivy Stendarrs Beacon Overhaul.esp,1425eb5219777f54
A010,A,City Stuff - Misc Worldspace,Juniper's House for Anska,A House for Anska.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Juniper's House for Anska\A House for Anska.esp,c8f09988c0755585
A010,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Black Briar Lodge.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Black Briar Lodge.esp,24849ca9212ca381
A010,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Drelas Cottage.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Drelas Cottage.esp,c626a99fffb0da7a
A010,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Grand Solitude.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Grand Solitude.esp,8bbfafe575f331e8
A010,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Honningbrew Meadery.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Honningbrew Meadery.esp,3d80ab8b39a8f4bd
A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - JKs Dragonsreach.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - JKs Dragonsreach.esp,0967180acddc7687
A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - JKs Palace of the Kings.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - JKs Palace of the Kings.esp,3e9c51d7c8a4aee8
A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - LotD Wayward Rest.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - LotD Wayward Rest.esp,f00343c28c889712
A011,A,City Stuff - Misc Worldspace,Snazzy Misc Locations,Snazzy Interiors - Sarethi Farm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Snazzy Misc Locations\Snazzy Interiors - Sarethi Farm.esp,1cd11be3b96b0e4a
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - CC Fishing Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - CC Fishing Patch.esp,c43409bcde7a228d
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - CFTO Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - CFTO Patch.esp,836abfc44570eb95
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - GG's Thieves Guild Headquarters Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - GG's Thieves Guild Headquarters Patch.esp,164d50367f3685f2
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's Riften Outskirts - GG's Thieves Guild Headquarters.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's Riften Outskirts - GG's Thieves Guild Headquarters.esp,ecc85716db555456
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's Riften Outskirts.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's Riften Outskirts.esp,f30ae3a3b603357f
A011,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - JK's The Pawned Prawn Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - JK's The Pawned Prawn Patch.esp,a32f63e3f4afbf5b
A012,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul - Lux Orbis Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul - Lux Orbis Patch.esp,5aa0c9df39a11e13
A012,A,City Stuff - Riften,Ivy's Riften Docks Overhaul,Ivy Riften Docks Overhaul.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ivy's Riften Docks Overhaul\Ivy Riften Docks Overhaul.esp,9afbedbc31dc1be7
