work_id,scope,audit_tranche,audit_shard,risk_priority,formid,editor_id,canonical_source_plugin,direct_read,classification,deep_read,owner_verdict,tagged_rows,crossgen,promoted,post_readback,notes
COREQ-0042,core,V02,V02-01,existing-core-row,Skyrim.esm:01BB9B,DA14,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0043,core,V02,V02-01,standard,Skyrim.esm:01BC95,MQReserved,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0044,core,V02,V02-01,standard,Skyrim.esm:01BE4D,WIRemoveItem03,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0045,core,V02,V02-01,existing-core-row,Skyrim.esm:01BFC4,DA03,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0046,core,V02,V02-01,standard,Skyrim.esm:01C3FB,dunWhiteRiverWatchQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0047,core,V02,V02-01,existing-core-row,Skyrim.esm:01C48E,T03,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0048,core,V02,V02-01,standard,Skyrim.esm:01C4A1,CWCampaign,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0049,core,V02,V02-01,standard,Skyrim.esm:01C5D9,MQ00,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0050,core,V02,V02-01,standard,Skyrim.esm:01CEEE,CR01,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0051,core,V02,V02-01,standard,Skyrim.esm:01CEEF,CR00,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0052,core,V02,V02-01,existing-core-row,Skyrim.esm:01CEF5,C04,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0053,core,V02,V02-01,standard,Skyrim.esm:01CF26,MS09,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0054,core,V02,V02-01,standard,Skyrim.esm:01DA3C,MS03,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0055,core,V02,V02-01,existing-core-row,Skyrim.esm:01DBFC,MS10,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0056,core,V02,V02-01,standard,Skyrim.esm:01DD08,WE01,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0057,core,V02,V02-01,standard,Skyrim.esm:01DD49,DA01FIN,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0058,core,V02,V02-01,standard,Skyrim.esm:01E3B1,ClearSkiesQuest,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0059,core,V02,V02-01,standard,Skyrim.esm:01E3C8,ClearSkiesChangeLocationQuest,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0060,core,V02,V02-01,standard,Skyrim.esm:01E437,dunBrokenOarQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0061,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA4F,DB01Misc,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0062,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA50,DB01,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,Official core s200 is directly verified. The s198 rows are correctly dependency-owned by Innocence Lost QE; their absence from Skyrim.esm is expected and is not a core defect.
COREQ-0063,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA51,DB02,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0064,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA52,DB03,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0065,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA53,DB04,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0066,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA54,DB05,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0067,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA55,DB06,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0068,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA56,DB07,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0069,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA57,DB08,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0070,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA58,DB09,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0071,core,V02,V02-01,existing-core-row,Skyrim.esm:01EA59,DB11,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0072,core,V02,V02-01,standard,Skyrim.esm:01EA5A,DBrecurring,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0073,core,V02,V02-01,standard,Skyrim.esm:01EA5B,DBSideContract01,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0074,core,V02,V02-01,standard,Skyrim.esm:01EA5C,DarkBrotherhood,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0075,core,V02,V02-01,standard,Skyrim.esm:01EA5E,DBSideContract02,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0076,core,V02,V02-01,standard,Skyrim.esm:01EA5F,DBSideContract03,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0077,core,V02,V02-01,standard,Skyrim.esm:01EA60,DBSideContract04,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0078,core,V02,V02-01,standard,Skyrim.esm:01EA61,DBSideContract05,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0079,core,V02,V02-01,standard,Skyrim.esm:01EA62,DBSideContract06,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0080,core,V02,V02-01,standard,Skyrim.esm:01EA63,DBSideContract07,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0081,core,V02,V02-01,standard,Skyrim.esm:01EA64,DBSideContract08,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0082,core,V02,V02-01,standard,Skyrim.esm:01EA65,DBSideContract09,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0083,core,V02,V02-01,standard,Skyrim.esm:01EA66,DBSideContract10,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0084,core,V02,V02-01,standard,Skyrim.esm:01EA67,DBSideContract11,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0085,core,V02,V02-01,standard,Skyrim.esm:01EA68,DBSideContract12,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0086,core,V02,V02-01,existing-core-row,Skyrim.esm:01F251,MG01,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0087,core,V02,V02-01,existing-core-row,Skyrim.esm:01F252,MG02,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0088,core,V02,V02-01,existing-core-row,Skyrim.esm:01F253,MG03,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0089,core,V02,V02-01,existing-core-row,Skyrim.esm:01F254,MG04,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0090,core,V02,V02-01,existing-core-row,Skyrim.esm:01F255,MG05,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0091,core,V02,V02-01,existing-core-row,Skyrim.esm:01F256,mg06,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0092,core,V02,V02-01,existing-core-row,Skyrim.esm:01F257,MG07,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0093,core,V02,V02-01,existing-core-row,Skyrim.esm:01F258,MG08,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0094,core,V02,V02-01,standard,Skyrim.esm:01FA52,CWResolution02,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0095,core,V02,V02-01,existing-core-row,Skyrim.esm:01FD72,FreeformKolskeggrA,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,"Owner approved correction of all s200 rows to s100. Direct VMAD proves a s100 fragment and objective 20 is the report-back surface; RUNTIME-VERIFY remains required. Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0096,core,V02,V02-01,standard,Skyrim.esm:01FD76,DialogueKolskeggrMine,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0097,core,V02,V02-01,standard,Skyrim.esm:01FD7A,DialogueKolskeggrMineScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0098,core,V02,V02-01,standard,Skyrim.esm:01FD89,DialogueLeftHandMineDaighreErith02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0099,core,V02,V02-01,standard,Skyrim.esm:01FD8C,DialogueLeftHandMinePavoGatScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0100,core,V02,V02-01,standard,Skyrim.esm:01FD92,DialogueKolskeggrMineScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0101,core,V02,V02-01,standard,Skyrim.esm:01FD96,DialogueKolskeggrMineHouseScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0102,core,V02,V02-01,standard,Skyrim.esm:01FD98,DialogueKolskeggrMineHouseScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0103,core,V02,V02-01,standard,Skyrim.esm:020556,MS11b,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,ok,ok,ok,ok,"Owner approved 2026-08-12; cross-generation, promotion, and post-readback pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok."
COREQ-0104,core,V02,V02-01,standard,Skyrim.esm:0209CA,MS04,Skyrim.esm,ok,REJECTED,not-needed,REJECTED,inert,not-needed,not-needed,not-needed,Owner rejected a return_relic_duty vocabulary expansion; s900 remains inert and was removed from the tagged slate. Owner approved the inert recommendation 2026-08-12.
COREQ-0105,core,V02,V02-01,standard,Skyrim.esm:020BC9,DialogueRelationshipGeneric,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0106,core,V02,V02-01,standard,Skyrim.esm:020BE7,TG00SP,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0107,core,V02,V02-01,existing-core-row,Skyrim.esm:0211D5,t02,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0108,core,V02,V02-01,standard,Skyrim.esm:021236,DialogueIvarstead,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0109,core,V02,V02-01,standard,Skyrim.esm:02125B,dunUstengravQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0110,core,V02,V02-01,standard,Skyrim.esm:0212AB,DialogueDragonBridge,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0111,core,V02,V02-01,standard,Skyrim.esm:0212BE,DialogueHalfMoonMill,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0112,core,V02,V02-01,existing-core-row,Skyrim.esm:02154E,TG02,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0113,core,V02,V02-01,existing-core-row,Skyrim.esm:021550,TG04,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0114,core,V02,V02-01,existing-core-row,Skyrim.esm:021553,TG07,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0115,core,V02,V02-01,existing-core-row,Skyrim.esm:021555,TG09,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0116,core,V02,V02-01,existing-core-row,Skyrim.esm:021556,TG00,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0117,core,V02,V02-01,standard,Skyrim.esm:021891,FreeformMorthalA,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0118,core,V02,V02-01,standard,Skyrim.esm:021896,FreeformMorthalB,Skyrim.esm,ok,REJECTED,not-needed,REJECTED,inert,not-needed,not-needed,not-needed,Only objective 10 and an untexted s20 terminal are present; political meaning of Gorm's letter is not established by the QUST record. Owner approved the inert recommendation 2026-08-12.
COREQ-0119,core,V02,V02-01,existing-core-row,Skyrim.esm:022F08,DA10,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,Official core s200 is directly verified. The s210 rows are correctly dependency-owned by House of Horrors QE; their absence from Skyrim.esm is expected and is not a core defect.
COREQ-0120,core,V02,V02-01,existing-core-row,Skyrim.esm:022F47,DB02a,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,
COREQ-0121,core,V02,V02-01,standard,Skyrim.esm:02369E,CWResetOBSOLETE,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
COREQ-0122,core,V02,V02-01,standard,Skyrim.esm:0236A3,CWResetGarrison1,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,
