separator,mod,plugin,plugin_path,input_id,total_records,selected_signature_counts,scan_verdict,scan_error
Animations - Combat,Vampire Claws - Unarmed moveset for vampires,VampireClaws.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Vampire Claws - Unarmed moveset for vampires\VampireClaws.esp,e9d3601affa242a0,16,SPEL:6,SIGNAL-CANDIDATE,
Animations - Creature Animations,New Creature Animation - Dwarven Centurion - Pandora,CenturionMCO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Dwarven Centurion - Pandora\CenturionMCO.esp,b582febd1f3e84f7,14,SPEL:4,SIGNAL-CANDIDATE,
Animations - Creature Animations,New Creature Animation - Giant,Giant_New_Anim.esl,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Giant\Giant_New_Anim.esl,6ff3cae074537611,10,SPEL:2,SIGNAL-CANDIDATE,
Animations - Creature Animations,New Creature Animation - Werewolf,Werewolf_New_Anim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Werewolf\Werewolf_New_Anim.esp,7b9f8eefb283abf9,21,SPEL:7,SIGNAL-CANDIDATE,
Animations - Creature Animations,Troll+MCO-DXP,Troll_MCO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Troll+MCO-DXP\Troll_MCO.esp,86b2803b739f091c,57,ARMO:3|SPEL:10,SIGNAL-CANDIDATE,
Animations - Dodge Animations,Tk Dodge RE Addon - Requiem Perk Lock,TK Dodge Perk Lock.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Tk Dodge RE Addon - Requiem Perk Lock\TK Dodge Perk Lock.esp,93061b286bad771b,5,PERK:3|SPEL:1,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Fishing Patch,Taberu Animation - Fishing Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Fishing Patch\Taberu Animation - Fishing Patch.esp,cf67396f81fa698f,233,ALCH:48,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - LotD Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - LotD Patch.esp,e9b9527d0576618e,48,ALCH:24,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - Stros M'Kai Rum Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - Stros M'Kai Rum Patch.esp,5a9a540ec8eb5eea,6,ALCH:3,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - USSEP Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - USSEP Patch.esp,4a6b3ac3e880e56f,4,ALCH:2,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - Wyrmstooth Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - Wyrmstooth Patch.esp,d7dd50c10898ac91,15,ALCH:6,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Sweets and Such,Taberu Animation - Sweets and Such.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Sweets and Such\Taberu Animation - Sweets and Such.esp,aab8b0a81f6ec3b3,150,ALCH:74,SIGNAL-CANDIDATE,
Animations - Eating Animations and Sounds,Eating Animations - Xelzaz,Taberu Animation - Xelzaz.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Xelzaz\Taberu Animation - Xelzaz.esp,754e6878395b2930,33,ALCH:21,SIGNAL-CANDIDATE,
Animations - Fixes,Bards Ghostly Instruments Fix,EVE - Ghostly Instruments Fix.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Bards Ghostly Instruments Fix\EVE - Ghostly Instruments Fix.esp,d559a1b206974a11,8,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Foundation and Fixes,Open Animation Replacer - RaySense,RaySense.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Open Animation Replacer - RaySense\RaySense.esp,d00978c5418872dd,11,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Foundation and Fixes,Sonders Keyword Distribution Resources,Sonders_Keyword_Distribution.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Sonders Keyword Distribution Resources\Sonders_Keyword_Distribution.esp,32b5468cd0f7eec6,53,KYWD:53,SIGNAL-CANDIDATE,
Animations - Foundation and Fixes,XP32 Maximum Skeleton Special Extended - XPMSSE,XPMSE.esp,D:\Wabbajack\modlists\ARR 2.5\mods\XP32 Maximum Skeleton Special Extended - XPMSSE\XPMSE.esp,60d28adffbab9652,11,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,Casual Dog Animations (DAR-OAR),MoreDogAnims - SFX.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Casual Dog Animations (DAR-OAR)\MoreDogAnims - SFX.esl,e59420eafe3613df,2,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,Guaranteed Death Animations,[ETH]AllDeathAnimations.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Guaranteed Death Animations\[ETH]AllDeathAnimations.esp,d130b32f6a289642,1,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,HorsePower - Modernized Horse Riding,Horsepower_Fall_Damage.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HorsePower - Modernized Horse Riding\Horsepower_Fall_Damage.esp,fff2fdd6296b4808,1,PERK:1,SIGNAL-CANDIDATE,
Animations - Idles and Actions,HorsePower - Modernized Horse Riding,Horsepower_Ragdoll.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HorsePower - Modernized Horse Riding\Horsepower_Ragdoll.esp,43967d0a004e3ae6,1,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,HorsePower - Modernized Horse Riding,Horsepower.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HorsePower - Modernized Horse Riding\Horsepower.esp,15739354c59c7717,38,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,Immersive Interactions - House Cats - Pet the cats,mihailhousecat - Immersive Interactions patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Immersive Interactions - House Cats - Pet the cats\mihailhousecat - Immersive Interactions patch.esp,afb193508a646835,1,FLST:1,SIGNAL-CANDIDATE,
Animations - Idles and Actions,Immersive Interactions for Cannibals - Better Ring of Namira,BetterImmersiveInteractions_Sunhelm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Immersive Interactions for Cannibals - Better Ring of Namira\BetterImmersiveInteractions_Sunhelm.esp,3a98a0a1c4019f62,2,PERK:2,SIGNAL-CANDIDATE,
Animations - Idles and Actions,Immersive Interactions for Cannibals - Better Ring of Namira,BetterImmersiveInteractions.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Immersive Interactions for Cannibals - Better Ring of Namira\BetterImmersiveInteractions.esp,efdd481bd50f8cf7,2,PERK:2,SIGNAL-CANDIDATE,
Animations - Idles and Actions,Left Hand Equipment Overhaul,Left Hand Equipment Overhaul.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Left Hand Equipment Overhaul\Left Hand Equipment Overhaul.esp,819ff38e86f04415,10,KYWD:2|SPEL:4,SIGNAL-CANDIDATE,
Animations - Idles and Actions,SpellSword Moveset,Spell Sword.esp,D:\Wabbajack\modlists\ARR 2.5\mods\SpellSword Moveset\Spell Sword.esp,b19a6609aa524e6a,7,SPEL:3,SIGNAL-CANDIDATE,
Animations - Idles and Actions,Unique Jarl Throne Sitting Animation (OAR),Unique Jarl Throne Sitting Animation.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Unique Jarl Throne Sitting Animation (OAR)\Unique Jarl Throne Sitting Animation.esp,a4bd67fd1a9d12a0,1,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Idles and Actions,Unique Jarl Throne Sitting Animation (OAR) - Thrones Expanded,ThronesExpandedBOS.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Unique Jarl Throne Sitting Animation (OAR) - Thrones Expanded\ThronesExpandedBOS.esp,3ea80587a556473e,7,,OUTSIDE-SELECTED-SIGNATURES,
Animations - IED,Immersive Equipment Displays - AllGUD replacers Presets,AllGUD_IED.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Immersive Equipment Displays - AllGUD replacers Presets\AllGUD_IED.esp,5b1fa1d0267deccf,2,,OUTSIDE-SELECTED-SIGNATURES,
Animations - IED,Missile's IED Preset - Immersive Equipment Displays,Missile IED Meshes.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Missile's IED Preset - Immersive Equipment Displays\Missile IED Meshes.esp,44737a31a2bad989,21,KYWD:13|MISC:6,SIGNAL-CANDIDATE,
Animations - Modded Bosses Movesets,Dac0da Necromancer's Moon Moveset,Boss - Necromancer's Moon.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dac0da Necromancer's Moon Moveset\Boss - Necromancer's Moon.esp,dfc78c3090e42632,3,,OUTSIDE-SELECTED-SIGNATURES,
Animations - Modded Bosses Movesets,Penetrator MCO SCAR Boss MOD,ThePenetratorBoss.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Penetrator MCO SCAR Boss MOD\ThePenetratorBoss.esp,cddc188fcf9bc5cc,29,ARMO:5|ENCH:1|SPEL:3|WEAP:1,SIGNAL-CANDIDATE,
Animations - Stances,Stances NG,StancesNG.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Stances NG\StancesNG.esp,b422ac709204a2cf,23,KYWD:1|SPEL:7,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,[Nyym] Obi's Cimmerian UBE,Obi's Cimmerian UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\[Nyym] Obi's Cimmerian UBE\Obi's Cimmerian UBE patch.esp,802970c617ffa666,12,ARMO:6,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Ancient Argonian Armor - My patches SE by Xtudo,1AncArgArm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ancient Argonian Armor - My patches SE by Xtudo\1AncArgArm.esp,04cbe1e99ad0b12e,23,ARMO:5,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Ancient Argonian Armor SE,1AncArgArm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ancient Argonian Armor SE\1AncArgArm.esp,1440d7270e65a224,27,ARMO:5|CONT:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Ancient Argonian Armor SE - HIMBO Refit - esp version,AncientArg_Weightslider.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ancient Argonian Armor SE - HIMBO Refit - esp version\AncientArg_Weightslider.esp,25fa665c8c62dcba,5,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,Arcane Mage - HIMBO Refit,Arcane Mage - HIMBO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Arcane Mage - HIMBO Refit\Arcane Mage - HIMBO.esp,ccab2ef8547bc9f1,19,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,Arcane Mage Armor 3BA,[FB] Arcane Mage Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Arcane Mage Armor 3BA\[FB] Arcane Mage Armor.esp,ee3a50fa0614d6d7,76,ARMO:19,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Arcane Mage Armor UBE,[FB] Arcane Mage Armor UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Arcane Mage Armor UBE\[FB] Arcane Mage Armor UBE patch.esp,1f72994e19afbcb7,38,ARMO:19,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Armors of the Velothi Pt. I,Armors of the Velothi.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Armors of the Velothi Pt. I\Armors of the Velothi.esp,7a44a0d50aa896ab,207,ARMO:51|CONT:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Armors of the Velothi Pt. II,Armors of the Velothi Pt2.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Armors of the Velothi Pt. II\Armors of the Velothi Pt2.esp,1edcf83daa2f3dbf,401,AMMO:1|ARMO:78|CONT:1|ENCH:2|FLST:1|WEAP:7,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Asura's Guard - 3BA - BHUNP - CBBE -,Asuras Guard [Armor].esp,D:\Wabbajack\modlists\ARR 2.5\mods\Asura's Guard - 3BA - BHUNP - CBBE -\Asuras Guard [Armor].esp,946275d5681afbfc,40,ARMO:6,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Blood Horker Pirates Outfit,ksa_bhpirate.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Blood Horker Pirates Outfit\ksa_bhpirate.esp,95921ff48443a197,34,ARMO:7,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Bone Cultist Armor,Bone Cultist Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Bone Cultist Armor\Bone Cultist Armor.esp,9974c8f19bc84c6f,44,ARMO:8,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Common Clothing Expansion,Common Clothing Expanded.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Common Clothing Expansion\Common Clothing Expanded.esp,ef37703ebefeab74,14,ARMO:5,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Common Clothing Expansion - Crafting Recipes,CCE Crafting recipes.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Common Clothing Expansion - Crafting Recipes\CCE Crafting recipes.esp,547bd22c2c401747,10,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,Common Clothing Expansion - Raident Raiment,0CCE_RadiantRaiments.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Common Clothing Expansion - Raident Raiment\0CCE_RadiantRaiments.esp,6c7212cfd61dca57,2,CONT:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Dark Apprentice - UBE SMP,(SmolSaltLemon) Dark Apprentice UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dark Apprentice - UBE SMP\(SmolSaltLemon) Dark Apprentice UBE patch.esp,007fe8d4333b3a00,18,ARMO:12,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Dark Apprentice (3BA SMP),(SmolSaltLemon) Dark Apprentice.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dark Apprentice (3BA SMP)\(SmolSaltLemon) Dark Apprentice.esp,9605bd7b075050c3,40,ARMO:12|MISC:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DD - FVO Cloth II,DD FVO Cloth.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - FVO Cloth II\DD FVO Cloth.esp,4a02d25e01489508,139,ARMO:32|CONT:1|WEAP:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DD - Sigrin Silver Fox armor by Vergi CBBE 3BA SMP,DD  - Sigrin Silver Fox armor by Vergi.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - Sigrin Silver Fox armor by Vergi CBBE 3BA SMP\DD  - Sigrin Silver Fox armor by Vergi.esp,91a1f3b0680f5fd3,76,ARMO:19,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DD - Sigrin Silver Fox armor by Vergi UBE,DD  - Sigrin Silver Fox armor by Vergi UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - Sigrin Silver Fox armor by Vergi UBE\DD  - Sigrin Silver Fox armor by Vergi UBE patch.esp,95ec4c320b0b7729,38,ARMO:19,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DDV - Hal's casual outfit,DDV - Hal's casual outfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Hal's casual outfit\DDV - Hal's casual outfit.esp,2366c458c06fb535,180,ARMO:44,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DDV - Hal's casual outfit - UBE,DDV - Hal's casual outfit UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Hal's casual outfit - UBE\DDV - Hal's casual outfit UBE patch.esp,f9f5f68a0a81c4ba,88,ARMO:44,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,DDV - Ruby Flower Armor,DDV - Ruby flower armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Ruby Flower Armor\DDV - Ruby flower armor.esp,7be2aec54a7d018f,97,ARMO:20|WEAP:2,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Dibella's Grace (HDT-SMP),ksssl_dbgc.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dibella's Grace (HDT-SMP)\ksssl_dbgc.esp,c3460052a31bbddf,8,ARMO:2,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,ELLE - Lastriem,[ELLE] Lastriem.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Lastriem\[ELLE] Lastriem.esp,581a4090975c0833,32,ARMO:7|BOOK:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,ELLE - Lastriem - UBE,[ELLE] Lastriem UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Lastriem - UBE\[ELLE] Lastriem UBE patch.esp,bd3c46b1770b22ba,14,ARMO:7,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,ELLE - Lastriem HIMBO,[ELLE] Lastriem - HIMBO Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Lastriem HIMBO\[ELLE] Lastriem - HIMBO Patch.esp,49569c27231ad344,7,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,ELLE - Sparrows Mage 3BA,[ELLE] Sparrows Mage.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Sparrows Mage 3BA\[ELLE] Sparrows Mage.esp,761aece176797353,20,ARMO:5,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Falmer Slayer - 3BA,FalmerSlayer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - 3BA\FalmerSlayer.esp,78f4203cdaaab8c3,86,ARMO:21|BOOK:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Falmer Slayer - HIMBO,FalmerSlayer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - HIMBO\FalmerSlayer.esp,b5c229044da3f0f1,86,ARMO:21|BOOK:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Falmer Slayer - UBE Conversion,FalmerSlayer UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - UBE Conversion\FalmerSlayer UBE patch.esp,54973860a136db56,42,ARMO:21,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fearless Lass - Female Armor,Lass Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fearless Lass - Female Armor\Lass Armor.esp,45974ac98d4d24da,7,ARMO:2,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fearless Lass - HIMBO Refit,Lass Armor - HIMBO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fearless Lass - HIMBO Refit\Lass Armor - HIMBO.esp,ac76a3a15aeaa3fe,2,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,Fluted Armor - Weighted Sliders,1FlutedArmor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fluted Armor - Weighted Sliders\1FlutedArmor.esp,f4cc75e9754decfe,24,ARMO:6,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fluted Armor SE,1FlutedArmor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fluted Armor SE\1FlutedArmor.esp,b3f3e155160db2db,24,ARMO:6,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fuse00 - ArmorHelga - CBBE,_Fuse00_ArmorHelga.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - ArmorHelga - CBBE\_Fuse00_ArmorHelga.esp,66ef188ba1b91005,15,ARMO:4,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fuse00 - Scout Armor 3BA,_Fuse00_ArmorScout.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Scout Armor 3BA\_Fuse00_ArmorScout.esp,b81bbf56ef45b927,16,ARMO:4,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fuse00 - Scout Armor UBE,_Fuse00_ArmorScout UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Scout Armor UBE\_Fuse00_ArmorScout UBE patch.esp,d77abdd3991df2f5,8,ARMO:4,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Fuse00 - Thalmor Investigator UBE,_Fuse00_ArmorThalmor UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Thalmor Investigator UBE\_Fuse00_ArmorThalmor UBE patch.esp,30f12f2611717bad,14,ARMO:7,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Ghostblade - Truly Unique,FGCGhostbladeTrulyUniqueModelOnly.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ghostblade - Truly Unique\FGCGhostbladeTrulyUniqueModelOnly.esp,5db2109122d87db1,2,WEAP:1,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Gilded Doublet - Ported to SSE,el_gildeddoubletsetcolor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Gilded Doublet - Ported to SSE\el_gildeddoubletsetcolor.esp,b1df51b59e53984f,71,ARMO:20,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Girl's Travel Outfit - 3BA,Girl's Travel Outfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - 3BA\Girl's Travel Outfit.esp,ca6b030b1ec3d4ca,15,ARMO:4,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Girl's Travel Outfit - Recolors,Girl's Travel Outfit Recolors.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - Recolors\Girl's Travel Outfit Recolors.esp,42886744f720512d,24,ARMO:6,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Girl's Travel Outfit - UBE,Girl's Travel Outfit UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - UBE\Girl's Travel Outfit UBE patch.esp,08fad86c3c1e6478,8,ARMO:4,SIGNAL-CANDIDATE,
Armor and Weapons - Modded,Glasses Pack - ENB Version,[Caenarvon] Glasses Pack ENB.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Glasses Pack - ENB Version\[Caenarvon] Glasses Pack ENB.esp,74dfd17ae65b15b3,2,,OUTSIDE-SELECTED-SIGNATURES,
Armor and Weapons - Modded,Glasses Pack Vol.1,[Caenarvon] Glasses Pack.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Glasses Pack Vol.1\[Caenarvon] Glasses Pack.esp,63e852e2519a0e9b,50,ARMO:24,SIGNAL-CANDIDATE,
