separator,mod,plugin,signature,formid,editor_id,name,covered_by,triage,candidate_deities,notes,candidate_deities_canonical,reachable_races
Quests and Newlands - Modded Followers,Deadlands Expanded - A Kaidan Quest Overhaul,KR2_Deadlands.esp,SUMMARY,,,,none,DEFER,Mehrunes Dagon,Defines 3 QUST all unnamed drivers: 212831 KR2BloodedDawnCultDialogue / 24553B KR2BDAttack / 2C45D8 KR2KMDDeathQuest. The player-facing quest it overhauls is Blood and Fire (1CD8FD:0Kaidan.esp) - row that under 0Kaidan.esp. Non-quest defined: BOOK 3 ACTI 6 FACT 2 LCTN 2 NPC_ 6 KYWD 2 plus a Deadlands WRLD/Climate/Weather/ImageSpace set. Mythic Dawn / Dagon-cult framing [ARR25-CANONICAL-REVIEW: ledger-v1],Mehrunes Dagon,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,Deadlands Expanded - A Kaidan Quest Overhaul,KR2_Deadlands_IF_Patch.esp,NONE,,,,none,NO-ROWS,,35 records. All 4 QUST are overrides (KMDQuest KMDRosalindScene KMDRosalindSceneAngst KR2KMDDeathQuest). Defines no quest,,
Quests and Newlands - Modded Followers,Deadlands Expanded - A Kaidan Quest Overhaul - HotFix,KR2_Deadlands.esp,NONE,,,,none,NO-ROWS,,Byte-identical record profile to the base KR2_Deadlands.esp (3494 records / 42 types). Same 3 driver quests. Hotfix replacement of the same file - inventory under the base mod row,,
Quests and Newlands - Modded Followers,FDE Aela Patch - Auri,FDE Aela Auri.esp,NONE,,,,none,NO-ROWS,,7 records. Defines 1 QUST 000800 aaAelaAuri - Aela/Auri banter driver. No player-facing content,,
Quests and Newlands - Modded Followers,FDE Aela Patch - Lucien,FDE Aela Lucien.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,FDE Aela Patch - Remiel,FDE Aela Remiel.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,FDE Aela Patch - Xelzaz,FDE Aela Xelzaz.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,FDE Brelyna Auri Patch,FDE Brelyna Auri.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,FDE Brelyna Lucien patch,FDE Brelyna Lucien.esp,NONE,,,,none,NO-ROWS,,22 records. Defines 1 QUST 000800 aaBrelynaLucien - banter driver only,,
Quests and Newlands - Modded Followers,FDE Jenassa Auri Patch,FDE Jenassa Auri.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,FDE Mjoll - Remiel,FDE Mjoll Remiel.esp,NONE,,,,none,NO-ROWS,,8 records. Banter driver quest only,,
Quests and Newlands - Modded Followers,FDE Mjoll Auri patch,FDE Mjoll - Auri.esp,NONE,,,,none,NO-ROWS,,15 records. Banter driver quest only,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:084441,SM_AstridStart,The Outlander,none,ROWABLE,,Opening quest; 30 stages / 8 objectives,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:08443D,SM_AstridLetterQuest,The Letter,none,ROWABLE,,19 stages / 13 objectives,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:08443E,SM_AstridDrinkQuest,Drink and Brawl,none,ROWABLE,,21 stages / 8 objectives,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:08443C,SM_AstridStrollQuest,A Stroll Around Skyrim,none,ROWABLE,,21 stages / 9 objectives; travel/landmark quest,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:084440,SM_AstridWedding,Forever Together,none,ROWABLE,Mara,Wedding quest; 34 stages / 14 objectives [ARR25-CANONICAL-REVIEW: ledger-v1],Mara,Nord|Imperial|Breton
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:08443F,SM_AstridFinale,Heart of Ice,none,ROWABLE,,Finale; 21 stages / 9 objectives,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:0A2BD0,SM_AstridEnding,Back to Roscrea,none,ROWABLE,,Good ending branch; 19 stages / 3 objectives; terminal outcome,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,QUST,SM_Astrid.esp:443BE3,SM_WorstEnding,No Way Back,none,ROWABLE,,Bad-ending branch; 6 stages / 1 objective; terminal outcome and moral fork against Back to Roscrea,,
Quests and Newlands - Modded Followers,Heart of Ice - Astrid. Custom Voiced Follower,SM_Astrid.esp,SUMMARY,,,,none,ROWABLE,,55 QUST defined; 8 player-facing above; rest are drivers (SM_Combat SM_Misc* SM_LoveProgress SM_PlayerVampire SM_CDA/CDB/CTG etc). Non-quest defined: BOOK 13 (incl SM_HistoryAndLegendsOfRoscreaIsland SM_BookTornPage SM_YngervaaldNote SM_TetherSpellTome) SPEL 14 ACTI 7 MISC 4 FACT 0 LCTN 2 NPC_ 5. Roscrea/Nord-north framing,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,BWB - Kaidan 2 Beyond Skyrim Bruma Patch.esp,NONE,,,,none,NO-ROWS,,68 records (60 INFO). Defines 1 QUST - Bruma commentary driver,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,BWB - Kaidan 2 Extra Dialogue.esp,SUMMARY,,,,none,NO-ROWS,,5557 records. Defines 9 QUST all drivers: KaiRomantic KaidansMemories KaiOutfits _KaidanSharedDialogue KSE_Dungeons KPast (named Kaidan's Past Regrets - driver) KNPCInteractions KaidanMCM KaiFollowRadius. Other 7 QUST are 0Kaidan.esp overrides. Non-quest defined: BOOK 4 ARMO 4 MGEF 1 NPC_ 1. Huge dialogue expansion but no journal quest,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,BWB - Kaidan 2 Skyrim's Got Talent Patch.esp,NONE,,,,none,NO-ROWS,,115 records (105 INFO). Defines 1 QUST - bard-mod commentary driver,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,IF-Housecats.esp,NONE,,,,none,NO-ROWS,,24 records. Defines 1 QUST (cat commentary driver) and 1 NPC_,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,KaiInteract.esp,NONE,,,,none,NO-ROWS,,1 record total: QUST 000001 KInteract - SkyInteract compatibility driver,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Alternate Start Quest.esp,QUST,Kaidan - Alternate Start Quest.esp:000805,KNewStart,Transgressions Unknown,none,ROWABLE,,Alternate-start replacement for Kaidan's meeting; 7 stages / 6 objectives; plugin also defines 16 BOOK (start-scenario notes),,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Immersive Features.esp,QUST,Kaidan - Immersive Features.esp:8E7001,KMDNightmares,Ashes of His Past,none,ROWABLE,,14 stages / 7 objectives; grief/nightmare arc tied to KMDQuest,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Immersive Features.esp,QUST,Kaidan - Immersive Features.esp:31506F,KaiJail,(Another) Bounty for the Hunter,none,ROWABLE,,15 stages / 11 objectives; crime/imprisonment arc,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Immersive Features.esp,QUST,Kaidan - Immersive Features.esp:A5EA55,KaiHoneymoon,With You All The Way,none,ROWABLE,Mara,16 stages / 7 objectives; post-wedding travel arc [ARR25-CANONICAL-REVIEW: ledger-v1],Mara,Nord|Imperial|Breton
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Immersive Features.esp,SUMMARY,,,,none,ROWABLE,,37319 records - this is a full content mod not a patch. 173 QUST touched; ~150 defined; only the 3 above are player-facing. Named-but-driver: K05 Kaidan Idle Dialogue / KaiSparQst / MeetBrynQuest / HFWRWedding / HFBigWeddingIF / KaidanPreProposal / KCampSetup / KScrimshawQuest / FindBaking. Non-quest defined: BOOK 256 (incl WEKaiThalmorBounty01-64 KaiGift* KaiDaedricHircine4 Copykai_Dossier KaiThane* letters) SPEL 33 ACTI 41 MISC 3 FACT 8 LCTN 2 NPC_ 12 KYWD 9 FLST 37. The Thalmor-bounty book series and the KaiDaedric* gift books are the notable devotion hooks,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - LotD Patch.esp,NONE,,,,none,NO-ROWS,,91 records. Defines 1 QUST (museum commentary driver) plus 5 BOOK,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan - Survival.esp,NONE,,,,none,NO-ROWS,,216 records. Defines 1 QUST (survival-mode commentary driver) plus 1 ARMO,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan Immersive Features - USSEP Patch.esp,NONE,,,,none,NO-ROWS,,1 record total and it is an override of Skyrim.esm WIRentRoomWalkTo. Defines nothing,,
Quests and Newlands - Modded Followers,Immersive Kaidan AIO - rerun,Kaidan and Inigo Meet.esp,NONE,,,,none,NO-ROWS,,374 records (177 INFO 172 DIAL 23 SCEN). Defines 1 QUST - cross-follower banter driver,,
Quests and Newlands - Modded Followers,Inigo - FDE Aela Patch,FDE Aela Inigo.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,Inigo - FDE Illia,FDE Illia Inigo.esp,NONE,,,,none,NO-ROWS,,5 records (3 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,Inigo - Follower Dialogue Expansion - Jenassa,FDE Jenassa Inigo.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,Inigo - cleaned esp File,Inigo.esp,QUST,Inigo.esp:0695C5,InigoBadVibrations,Bad Vibrations,none,ROWABLE,Khajiit lane;Azurah,Inigo's only journal quest; 28 stages / 7 objectives; brother/vengeance arc [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,Inigo - cleaned esp File,Inigo.esp,SUMMARY,,,,none,ROWABLE,Khajiit lane;Azurah,"33 QUST defined; only Bad Vibrations is player-facing. Notable driver: 0E78A2 InigoUsesShrine named 'Inigo uses a shrine in a temple' - a Khajiit follower with scripted shrine worship, a direct devotion-reaction hook. Other drivers: InigoPlayerJourney (29 stages) InigoPlayerJ2 (20 stages) InigoSkyrimMQ InigoNpcChat1A-1G. Non-quest defined: BOOK 16 SPEL 2 ACTI 6 MISC 3 FACT 8 LCTN 2 NPC_ 7 [ARR25-CANONICAL-REVIEW: ledger-v1]",Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,Inigo patch - FDE Brelyna,FDE Brelyna Inigo.esp,NONE,,,,none,NO-ROWS,,7 records (5 INFO 1 DIAL 1 QUST). Banter driver only,,
Quests and Newlands - Modded Followers,Kaidan 2,0Kaidan.esp,QUST,0Kaidan.esp:002F9D,K01,A Bounty for the Hunter,none,ROWABLE,,Kaidan's introduction quest; 7 stages / 5 objectives,,
Quests and Newlands - Modded Followers,Kaidan 2,0Kaidan.esp,QUST,0Kaidan.esp:1CD8FD,KMDQuest,Blood and Fire,none,ROWABLE,Mehrunes Dagon,Kaidan's personal questline; 8 stages / 4 objectives in the base file. Overridden and expanded into an Oblivion/Deadlands arc by KR2_Deadlands.esp - route the devotion reaction through whichever wins [ARR25-CANONICAL-REVIEW: ledger-v1],Mehrunes Dagon,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,Kaidan 2,0Kaidan.esp,SUMMARY,,,,none,ROWABLE,,26 QUST defined; 2 player-facing above. Named-but-driver: K02 Follower Functions / K03 Relationship progression / K04 Romance Progression (26 stages) / LodgeQuest / KiaiQuest / KSG / HFSmallWedding / HFBigWedding. Non-quest defined: BOOK 8 (kai_Dossier Kai_Byron01-03 kai_GhostStories1/3 kai_MeiLetter) SPEL 2 ACTI 0 MISC 5 FACT 3 LCTN 6 NPC_ 8 WEAP 6,,
Quests and Newlands - Modded Followers,Kaidan pre Thalmor,Kaidan pre Thalmor.esp,NONE,,,,none,NO-ROWS,,299 records. Defines 4 QUST all unnamed drivers: KPT_Quest_Kaidan_Convos KPT_PrisonerDialogue KPT_Kaidan_Remembers KPT_StrangerDanger. Also 2 NPC_ and 1 BOOK,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-AADwarvenMail-Patch.esp,NONE,,,,none,NO-ROWS,,13 records. Defines 1 unnamed JR-prefixed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-AAElvenHunter-Patch.esp,NONE,,,,none,NO-ROWS,,13 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-AASilver-Patch.esp,NONE,,,,none,NO-ROWS,,17 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-ExpandedCrossbowPack-Patch.esp,NONE,,,,none,NO-ROWS,,20 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-ForgottenSeasons-Patch.esp,NONE,,,,none,NO-ROWS,,102 records. Defines 3 QUST all unnamed drivers: JR21LucienForgottenSeasons JR21LucienForgottenSeasonsHorse JR21LucienForgottenSeasonsCrown,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-Goblins-Patch.esp,NONE,,,,none,NO-ROWS,,67 records. Defines 1 QUST 000800 JR17LucienCCGoblins - unnamed commentary driver,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-LordsMail-Patch.esp,NONE,,,,none,NO-ROWS,,28 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-PlagueOfTheDead-Patch.esp,NONE,,,,none,NO-ROWS,,32 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-RareCurios-Patch.esp,NONE,,,,none,NO-ROWS,,81 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-RuinsEdge-Patch.esp,NONE,,,,none,NO-ROWS,,26 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-SaintsAndSeducers-Patch.esp,NONE,,,,none,NO-ROWS,,106 records. Defines 1 unnamed CC-commentary driver quest; Sheogorath-adjacent commentary only,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-Saturalia-Patch.esp,NONE,,,,none,NO-ROWS,,21 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-Shadowrend-Patch.esp,NONE,,,,none,NO-ROWS,,31 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-StaffOfSheogorath-Patch.esp,NONE,,,,none,NO-ROWS,,34 records. Defines 1 unnamed CC-commentary driver quest; Sheogorath-adjacent commentary only,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-StendarrsHammer-Patch.esp,NONE,,,,none,NO-ROWS,,28 records. Defines 1 unnamed CC-commentary driver quest; Stendarr-adjacent commentary only,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-TundraHomestead-Patch.esp,NONE,,,,none,NO-ROWS,,23 records. Defines 1 unnamed CC-commentary driver quest,,
Quests and Newlands - Modded Followers,Lucien - Creation Club,Lucien-Umbra-Patch.esp,NONE,,,,none,NO-ROWS,,31 records. Defines 1 unnamed CC-commentary driver quest; Clavicus Vile-adjacent commentary only,,
Quests and Newlands - Modded Followers,Lucien - Immersive Fully Voiced Male Follower,Lucien.esp,QUST,Lucien.esp:2B13ED,JRLucienPersonal1,The Oblivion Engine,none,ROWABLE,,Lucien's personal questline; 47 stages / 8 objectives. Objectives: Take Lucien to Dumzbthar / two switches / Explore Dumzbthar / Turn the Valves / Reach Dumzbthar's Core / Destroy Dumzbthar / Talk to Lucien. Terminal action is DESTROY a Dwemer Oblivion-engine ruin - a plausible Dagon or Julianos hook,,
Quests and Newlands - Modded Followers,Lucien - Immersive Fully Voiced Male Follower,Lucien.esp,SUMMARY,,,,none,ROWABLE,,48 QUST defined; only The Oblivion Engine is player-facing. Devotion-relevant drivers: 0D0385 JRLucienDaedric (18 stages - per-Daedric-quest commentary) and 2AC056 JRLucienDivine (5 stages - divine/shrine commentary); 4ACFAC JRLucienDumzbtharInvitation is the misc hand-in for the personal quest. Non-quest defined: BOOK 2 SPEL 36 MGEF 35 ACTI 14 MISC 120 FACT 2 LCTN 1 NPC_ 54 RACE 13,,
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:0935B5,MRTstage0,(Damsels in Distress),none,ROWABLE,Khajiit lane;Azurah,Questline part 0; 11 stages; parenthesised name suggests a silent/prologue stage [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:17229C,MRTstage1,The Hunted Young One,none,ROWABLE,Khajiit lane;Azurah,Questline part 1; 22 stages / 8 objectives [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:1A9E06,MRTstage2,Total Recall,none,ROWABLE,Khajiit lane;Azurah,Questline part 2; 52 stages / 39 objectives - the largest chapter [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:260646,MRTstage3,Atonement,none,ROWABLE,Khajiit lane;Azurah,Questline part 3 good branch; 38 stages / 16 objectives; MORAL FORK against MRTstage3Bad [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:554AD5,MRTstage3Bad,The Taming of the Shrew,none,ROWABLE,Khajiit lane;Azurah,Questline part 3 bad branch; 10 stages / 4 objectives; MORAL FORK against Atonement [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:2AD68D,MRTstage4,Echo from the Past,none,ROWABLE,Khajiit lane;Azurah,Questline part 4; 17 stages / 6 objectives [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:2CBD17,MRTstage5,Knowledge Is Power,none,ROWABLE,Khajiit lane;Azurah,Questline part 5; 19 stages / 15 objectives [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:2D5F8D,MRTstage6,Feline Solidarity,none,ROWABLE,Khajiit lane;Azurah,Questline part 6; 28 stages / 22 objectives; explicitly Khajiit-cultural [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:2F4705,MRTstage7,Reconsolidation,none,ROWABLE,Khajiit lane;Azurah,Questline part 7; 14 stages / 6 objectives [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
Quests and Newlands - Modded Followers,M'rissi's Tails of Troubles SE,MrissiTailOfTroubles.esp,QUST,MrissiTailOfTroubles.esp:30DCA3,MRTstage8,Ceremonial Turmoil,none,ROWABLE,Khajiit lane;Azurah;Riddle'Thar,Questline finale; 47 stages / 22 objectives; a named CEREMONY - strongest Khajiit-religious hook in this bucket after Auri [ARR25-CANONICAL-REVIEW: ledger-v1],Azura,Nord|Imperial|Breton|Altmer|Bosmer|Dunmer|Khajiit|Argonian|Orc|Redguard
