"Race","PathModeLayer","Signal","VanillaHook","QuestFaction","CostClass","RewardLayer","Cadence","AntiFarmRule","SurvivalOverlap","CompatibilityNotes","RequiresCustomWork","Risk","SourceNotes"
"Imperial","Stendarr lane","Mercy over persecution","Quest resolutions that spare, protect, or relieve persecution pressure","Yes","B","Contextual favor","One-time","Distinct resolutions only","Low","Should interact with ConcordatStanding extremes only where docs specify","No","Medium","Mercy vs persecution is first-class Imperial input"
"Imperial","Mara civic-social lane","Household, charity, and social restoration","Marriage/charity/community-restoration quest stages","Yes","B","Baseline blessing","One-time","Unique milestone only","Medium","Likely compatible with mod-added charity quests later","No","Low","Keeps Mara social lane distinct from Talos politics"
"Breton","Imperial Divines / knightly lane","Help without reward and protective justice","Quest completion with merciful/helpful outcomes, protection contracts declined for payment when detectable","Yes","B","Baseline blessing","One-time","Only significant aid events count","Low","Detection may need curated quest list rather than generic altruism","Maybe","Medium","Strongly weights Akatosh, Stendarr, Mara"
"Breton","Witchcraft lane","Public Daedric practice and cult aid","Daedric quest completion, anti-Vigilant acts, public occult milestones","Yes","A","Contextual favor","One-time","Major occult acts only; no generic spellcast farming","Low","Feeds WitchcraftExposure rather than separate hidden counter","No","Low","Should raise exposure as well as devotion pressure"
"Breton","Druidic Y'ffre lane","Nature-site rite and standing-stone observance","Specific outdoor locations, standing stones, grove-like sites, wilderness rite stages","Yes","B","Baseline blessing","Repeatable with cooldown","Site rotation and cooldown; no immediate repeat at one stone","High","Potential Survival overlap but must remain standalone","Maybe","Medium","Use only high-confidence detectable triggers"
"Breton","Knightly vow integrity","Oath-breaking by thieves, assassins, or unjust killing","Thieves Guild / Dark Brotherhood membership and selected crime/innocent-kill proxies","Yes","A","Neglect effect","State-based","Use membership and major crimes, not petty theft spam","Low","Best handled through faction states and severe crime proxies","No","Low","Directly degrades knight-path devotion"
"Breton","Druidic curse fork","Druidic Trial after werewolf transformation","Werewolf state plus one-time follow-up quest/state choice","Yes","C","Restoration path","One-time","Single irreversible or costly branch choice","Medium","Requires custom fork content or lightweight event wrapper","Yes","Medium","Only race-curse combination with explicit theological fork"
"Breton","Witchcraft secrecy maintenance","Public cover through respectable worship and low visibility","Sustained period without public occult acts plus public shrine/civic devotion cover state","No","B","Restoration path","State-based","Slow decay only; no shrine spam purge","Low","Model as track decay and cover-state bonus, not event spam","Maybe","Medium","Lowers WitchcraftExposure without inventing new religion"
"Dunmer","Ancestor layer","Daily ash-prayer and shrine maintenance","Portable shrine interaction proxy, dawn/evening ritual flag, curated reflective acts","No","B","Baseline blessing","Daily capped","One morning and one evening credit max","Medium","May need lightweight custom ritual flag if no reliable shrine hook exists","Maybe","Medium","Ancestor layer is always active and cannot be opted out"
"Dunmer","Ancestor layer","Grey Quarter solidarity and diaspora survival","Grey Quarter quests, refugee aid, Dunmer protection/community support","Yes","A","Religious privilege","One-time","Distinct quest outcomes only","Low","Strong quest signals should sit on top of ancestor layer, not replace it","No","Low","Supports exile/community emphasis"
"Dunmer","Azura layer","Twilight threshold and Azura's Star content","Azura's Star quest stages, dawn/dusk observance proxy, prophetic threshold scenes","Yes","A","Contextual favor","One-time","Major threshold acts only; do not reward repetitive waiting","Low","Quest anchor is strong; twilight ambient lane can stay modest","No","Low","Primary Azura focus lane"
"Dunmer","Boethiah layer","Rivalry, overthrow, and strength proved","Boethiah's Calling and other explicit overthrow/trial resolutions","Yes","A","Baseline blessing","One-time","Named milestones only","Low","Keep broad combat drift separate from Boethiah-specific proving","No","Low","Boethiah is strength beyond mere survival"
"Dunmer","Mephala layer","Secrets maintained and hidden communities protected","Hidden-network quest choices, secret-keeping, The Whispering Door","Yes","B","Contextual favor","One-time","Distinct secret-network resolutions only","Low","Avoid generic stealth as proxy for Mephala devotion","No","Medium","Mephala is web/community secrecy, not all sneaking"
"Dunmer","Ancestor layer","Burial, family duty, and proper dead obligations","Burial quests, family-duty stages, death-order choices affecting Dunmer community","Yes","B","Religious privilege","One-time","Milestone-only","Low","Skyrim exposes only part of the ideal ancestor infrastructure","No","Low","Supports infrastructure ceiling without punishing absence"
"Altmer","Layer 1 Auri-El","Dawn acknowledgment and continuity practice","Curated dawn observance proxy or daily high-order devotion flag","No","B","Baseline blessing","Daily capped","Single dawn credit; no wait-loop farming","Medium","May need lightweight ritual state rather than scene detection","Maybe","Medium","Auri-El layer is always active foundation"
"Altmer","Magnus / Syrabane / Psijic lane","Magical study and heterodox discipline","College/Psijic quest stages; curated spell-school or tome-read proxy for Psijic-aligned players","Yes","B","Baseline blessing","Repeatable with cooldown","Quest milestones carry heavy weight; practice events throttled hard","Low","Avoid rewarding raw spell spam outside curated Mysticism-style proxy","Maybe","Medium","Supports Magnus, Syrabane, Psijic readings"
"Altmer","Thalmor orthodoxy lane","Heresy enforcement and Talos suppression","Reported worshipper states, Thalmor-aligned quests, Justiciar-style resolutions","Yes","A","Religious privilege","One-time","State changes only","Low","Feeds ThalmorAlignment rather than separate hidden meter","No","Low","Enforcement as worship"
"Altmer","Lorkhan adjacency penalty","Validation of Shor/Talos/mortal framework","Talos shrine, Sovngarde, Tsun, Stormcloak, Companions, homestead/marriage/adoption tiers where curated","Yes","B","Neglect effect","One-time","Named tiers only; no ambient world-presence tick","Low","Penalty bypasses normal buckets and should stay curated","No","Medium","Categorical theological rupture, not mere disapproval"
"Altmer","Xarxes / heterodox scholarship lane","Forbidden texts and private scholarship","Read specific banned/heterodox texts, independent scholarship quest states","Yes","B","Contextual favor","Repeatable with cooldown","Curated text list and diminishing returns","Low","Should shift ThalmorAlignment down rather than directly grant large piety","Maybe","Medium","Supports private doubt and record-keeping lane"
"Altmer","Apostasy pressure","Daedric quest acceptance or consorting with Daedra","Daedric quest starts/completions and artifact commitments","Yes","A","Neglect effect","One-time","Major pact acts only","Low","Should strongly outweigh ordinary magic practice","No","Low","Sharp negative orthodoxy signal"
"Khajiit","Layer 1 lunar substrate","Moon observance under visible sky","Curated dawn/dusk/night observance flag or outdoor-sky location proxy","No","B","Baseline blessing","Daily capped","One or two lunar observances per day max","Medium","Do not require moon-phase simulation for first release","Maybe","Medium","Riddle'Thar / ja-Kha'jay substrate"
"Khajiit","Layer 1 lunar substrate","Open-road exile life","Outdoor sleep, nighttime travel, holdless-road life proxies","No","B","Contextual favor","Repeatable with cooldown","Per-day cap plus location variety requirement","High","High survival overlap but must remain standalone","Maybe","Medium","Road life is devotional and practical at once"
"Khajiit","Layer 1 + community","Caravan and Khajiit solidarity","Caravan aid, protecting Khajiit traders, marginalized Khajiit support","Yes","A","Religious privilege","One-time","Distinct caravan/community milestones only","Low","Quest signals should outweigh ambient travel drift","No","Low","Weights lunar substrate plus Khenarthi / Baan Dar"
"Khajiit","Azurah focus","Twilight threshold and Azura's Star content","Azura's Star quest and threshold/twilight scenes","Yes","A","Contextual favor","One-time","Quest milestone only","Low","Strong anchor; avoid generic magic drift as substitute","No","Low","Azurah is one of the most reachable focused paths"
"Khajiit","Khenarthi focus","Merciful guidance and open-sky travel","Travel/rescue/mercy quest resolutions with open-road framing","Yes","B","Baseline blessing","Repeatable with cooldown","Quest milestones plus capped travel-family support","Medium","Can borrow some outdoor/travel substrate signals with lower weight","Maybe","Medium","Khenarthi tied to wind, guidance, and road life"
"Khajiit","Baan Dar focus","Pariah survival and clever reversals","Exile-mercy quests, outsider aid, evasive success, anti-authority clever wins","Yes","B","Contextual favor","One-time","Distinct outcomes only","Low","Do not collapse into generic crime value","No","Low","Separate from Rajhin polished trickster lane"
"Khajiit","Rajhin focus","Artful theft and name-making trickster play","Thieves Guild milestones, elegant theft quests, performance/notoriety acts","Yes","B","Contextual favor","One-time","Quest-driven and style-gated; no petty theft farming","Low","Nocturnal remains external pressure unless explicitly chosen","No","Medium","Rajhin is artful infamy, not survival theft"
"Khajiit","Alkosh focus","Dragon-order and anti-chaos acts","Main quest dragon milestones and anti-chaos resolutions","Yes","A","Religious privilege","One-time","Milestone-only","Low","Rarest focused path; should stay high-threshold","No","Low","Alkosh should not be ordinary combat path"
"Bosmer","The Old Contract","Pact-compliant hunt and anti-desecration behavior","Curated hunt outcome, carcass-respect, anti-desecration quest stages","Yes","C","Baseline blessing","Repeatable with cooldown","Severe cap and context checks; avoid generic animal kill reward","High","Needs careful proxy design to avoid false positives","Yes","High","Only Bosmer path with hard or semi-hard Pact mechanics"
"Bosmer","The Living Story","Forest attunement and high-confidence nature alignment","Specific forest sites, wilderness-rest proxies, respectful-hunt quest states","Yes","B","Contextual favor","Repeatable with cooldown","Site rotation, daily cap, and high-confidence location list","High","Use only reliable Skyrim-observable proxies","Maybe","Medium","Living Story is not failed orthodoxy; it is diaspora spirituality"
"Bosmer","The Living Story","Community continuity, kin mercy, preservation","Kin/community defense, mercy, preservation, continuity quest resolutions","Yes","A","Religious privilege","One-time","Distinct resolutions only","Low","Can share some secondary-god privilege families with Mara/Stendarr/Xarxes","No","Low","Strong lane for moderate Y'ffre + secondary gods"
"Bosmer","The Exchange","Debt settling, redress, and proportional vengeance","Balance-restoring resolutions, justified repayment, vengeance with restraint","Yes","B","Baseline blessing","One-time","Only explicit redress outcomes count","Low","Do not flatten into merchant gold gain","No","Medium","Justice first, commerce second"
"Bosmer","The Bandit Road","Survival theft, evasive escape, road improvisation","Escape/anti-authority/survival theft quest outcomes","Yes","B","Contextual favor","One-time","Quest milestones only; no petty theft loop","Low","Separate cleanly from Rajhin and Nocturnal styles","No","Low","Bosmer-native trickster/survival path"
"Bosmer","External pressure","Hircine / Sinding / beast-shape pressure","Ill Met by Moonlight, werewolf state, Sinding-related outcomes","Yes","A","Neglect effect","State-based","Single external-pressure state, not repeatable gain loop","Low","Should not count as normal Bosmer core progression","No","Low","Legible pressure only, not core Bosmer lane"
"Redguard","Ancestor layer + Tu'whacca","Undead cleansing, tomb duty, and burial order","Hall of the Dead, anti-necromancer, tomb/undead quest stages","Yes","A","Religious privilege","One-time","Named duties only","Low","Excellent first-release hook family","No","Low","Strongest for Ash'abah, but valid across all sects"
"Redguard","Sect identity","Crown vs Forebear dignity and public life","Alik'r, diaspora honor-claim, public Redguard dignity resolutions","Yes","B","Baseline blessing","One-time","Distinct identity-defining outcomes only","Low","Should reweight sect emphasis more than grant isolated god piety","No","Medium","Quest choices make sect identity legible"
"Redguard","Forebear lane","Mercenary service and mixed-society negotiation","Contracts, service, diplomacy, mixed-space survival quests","Yes","B","Contextual favor","One-time","Quest milestones only","Low","Imperial-name parallels remain interpretive background only","No","Low","Forebear adaptation and public life lane"
"Redguard","HoonDing lane","Impossible odds and path-making breakthrough","Major breakthrough or against-all-odds resolutions","Yes","B","Contextual favor","One-time","Rare milestone only","Low","Should remain narrow and dramatic, not broad combat reward","No","Low","HoonDing is situational and should feel rare"
"Redguard","Leki lane (culture credits Onsi)","Blade discipline and refusal of cowardly advantage","Honorable martial resolutions, duel-like outcomes, disciplined combat quests","Yes","B","Baseline blessing","One-time","Only curated honor signals; no generic combat farming","Low","Shared with combat lane but more specific than kill count","No","Medium","Martial virtue not reducible to body count"
"Redguard","Ash'abah burden lane","Funerary duty at social cost","Undead-cleansing and burial duty while carrying stigma / exclusion state","Yes","B","Neglect effect","State-based","Use sect state plus distinct duty milestones","Low","Ash'abah broad worship starts already narrowed toward Tu'whacca","No","Medium","Higher devotion potential with lowered social standing"
"Orc","Stronghold mode","Forge excellence and communal provision","Smithing-quality proxy if later justified; stronger anchor through stronghold aid/provision quests","Yes","C","Baseline blessing","Repeatable with cooldown","Daily cap, quality threshold, and community context requirement","Medium","Avoid raw item crafting spam; prefer curated stronghold/provision hooks","Yes","High","Forge is prayer, but detection must stay honest"
"Orc","Stronghold / general Malacath code","Oath-keeping, challenge, and proven strength","Quest resolutions involving challenge, consequence, chief weakness, or honorable endurance","Yes","B","Baseline blessing","One-time","Distinct major tests only","Low","Can share some combat event plumbing with Nord/Tsun lane later","No","Medium","Core Malacath code expression"
"Orc","Mode transition","Blood-Kin and stronghold acceptance","The Cursed Tribe, Blood-Kin state, stronghold aid milestones","Yes","A","Religious privilege","One-time","Milestone-only","Low","Primary route into or back toward Stronghold mode","No","Low","Main stronghold-entry gateway"
"Orc","City Orc mode","Quality labor and dignity in mixed society","Curated labor/craft/service quests plus non-orc institution survival without self-erasure","Yes","B","Contextual favor","One-time","Quest milestones only","Low","Do not attempt brittle urban social simulation","No","Medium","City Orc is compromise, not betrayal by default"
"Orc","Legion / service / exile mode","Honor under foreign discipline and contract","Legion or contract-service milestones under humiliating or unequal conditions","Yes","B","Baseline blessing","One-time","Distinct contract-service milestones only","Low","Can overlap with Imperial/Redguard service spaces without flattening","No","Medium","Burden is high; ceiling is not"
"Orc","Curse pressure","Werewolf control as conditional test","Werewolf state plus proof-of-control or stronghold tolerance milestone if later exposed","Yes","C","Restoration path","State-based","No passive farming; one state plus rare proof events","Low","Keep as demanding test, not positive buff loop","Yes","Medium","Werewolfism is conditionally defensible, not free gain"
"Argonian","Hist relation","Water, swamp, rest, and reflection maintenance","Curated wetland/waterway/rest/meditation proxies","No","B","Baseline blessing","Repeatable with cooldown","Daily cap and location variety; no simple sleep spam","High","Strong Survival overlap candidate; remain standalone","Maybe","Medium","Hist relation recovers only from careful signals"
"Argonian","Hist relation","Light decay from distance and neglect","Sparse periodic check against recent Hist-maintenance signals","No","B","Neglect effect","State-based","Low-frequency decay only; buffer with recent valid maintenance","Medium","One of the few allowed sparse periodic subsystems","Yes","Medium","Built into Tier A plan"
"Argonian","Collective / community identity","Assemblage and Windhelm Argonian solidarity","Windhelm / Assemblage quests and strong Argonian-community support","Yes","A","Religious privilege","One-time","Distinct community milestones only","Low","Strongest vanilla-facing Argonian layer","No","Low","Extra-heavy weight for Windhelm / Assemblage"
"Argonian","Collective / community identity","Broader Saxhleel protection and identity defense","Helping Argonians elsewhere, preserving identity under pressure","Yes","B","Baseline blessing","One-time","Distinct support outcomes only","Low","Should never pretend thin hooks are richer than they are","No","Low","Community can buffer low Hist but not replace it"
"Argonian","Sithis acknowledgment","Dark Brotherhood and explicit death/void/change choices","Dark Brotherhood membership/stages plus curated death-facing quest choices","Yes","A","Contextual favor","One-time","Faction/state milestones only; no generic stealth or killing","Low","Must not turn all stealth into Sithis devotion","No","Low","Strongest active Sithis lane"
"Argonian","Hist relation under pressure","Vampire rupture of Hist and community","Vampire state","No","A","Neglect effect","State-based","Single state, no stacking","Low","Should be one of the deepest grief states in the mod","No","Low","Hist hit hardest; community also damaged"
"Argonian","Hist relation under strain","Werewolf strain on Hist with milder community damage","Werewolf state","No","A","Neglect effect","State-based","Single state, no stacking","Low","Less destructive than vampirism; mostly neutral to Sithis","No","Low","More manageable than many races but still serious strain"
