"WorshipObject","DomainCluster","Nord","Imperial","Breton","Altmer","Bosmer","Dunmer","Khajiit","Argonian","Orc","Redguard","Notes"
"Julianos","Wisdom / study / civic intellect","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Breton and Nord Nine-Divines blend keeps this available"
"Dibella","Beauty / art / social grace","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Primarily human-facing in current files"
"Zenithar","Honest work / commerce / reciprocal labor","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Redguard parallel sits with Zeht"
"Magnus","Magic source / escape / higher study","FOREIGN","FOREIGN","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Breton and Altmer both have legitimate Magnus lanes"
"Phynaster","Longevity / elven inheritance / disciplined life","FOREIGN","FOREIGN","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Breton elven-heritage lane keeps Phynaster live"
"Y'ffre","Earthbones / nature law / story / Pact adjacency","FOREIGN","FOREIGN","NATIVE","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Bosmer and Breton files both give Y'ffre real weight"
"Auri-El","Altmer supreme ancestor / return / time","FOREIGN","FOREIGN","FOREIGN","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","HOSTILE","FOREIGN","Bosmer secondary layer includes Auri-El; Orc hostility tracks Trinimac betrayal memory"
"Syrabane","Protection / apprentices / refined magic","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Primarily Altmer; can inform heterodox scholar lanes"
"Xarxes","Genealogy / death records / hidden knowledge","FOREIGN","FOREIGN","FOREIGN","NATIVE","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Bosmer secondary layer includes Xarxes"
"Azura / Azurah","Twilight / fate / threshold / mercy to cursed","TABOO","TABOO","FOREIGN","TABOO","FOREIGN","NATIVE","NATIVE","FOREIGN","TABOO","FOREIGN","Native-integrated for Dunmer and Khajiit; not baseline elsewhere"
"Boethiah / Boethra","Struggle / overthrow / trial / elite conflict","TABOO","TABOO","FOREIGN","HOSTILE","FOREIGN","NATIVE","NATIVE","FOREIGN","HOSTILE","FOREIGN","Altmer and Orc hostility are theologically load-bearing"
"Mephala / Mafala","Secret webs / hidden loyalties / murder / clan","TABOO","TABOO","FOREIGN","TABOO","FOREIGN","NATIVE","NATIVE","FOREIGN","TABOO","FOREIGN","Khajiit and Dunmer integration is explicit; avoid generic stealth flattening"
"Baan Dar","Trickster survival / exile cunning / road life","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Native Bosmer and Khajiit trickster-survival lane"
"Rajhin","Artful theft / notoriety / elegant trickery","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Khajiit-specific focused path"
"Alkosh","Khajiit dragon-order / anti-chaos / cosmic kingship","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Rare high-threshold Khajiit focused path"
"Khenarthi","Khajiit wind / road / soul-guidance / open sky","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Separate from Kynareth despite overlap"
"Riddle'Thar / ja-Kha'jay","Khajiit cosmological substrate / lunar order","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Always-active Khajiit substrate, not a normal foreign patron lane"
"Jone / Jode","Khajiit moons / identity / furstock order","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","Always-active lunar substrate elements"
"Satakal","Yokudan worldskin / cycle / total cosmology","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Redguard shared spine"
"Ruptga","Tall Papa / order / way-making / chief divine authority","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Strong in Crown and still present elsewhere"
"Tu'whacca","Death / proper passage / ancestor order","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Redguard death-order analogue to Arkay, but not the same devotion lane"
"Tava","Wind / movement / wayfinding","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Redguard wind lane; keep distinct from Kynareth/Khenarthi"
"Leki","Martial discipline / blade grace","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Redguard martial virtue"
"Onsi","Warcraft / strength / practical combat lore","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Redguard combat-honor lane"
"HoonDing","Make-Way god / breakthrough / impossible odds","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","Situational but culturally central Redguard pressure"
"Malacath / Mauloch","Orc core code / exile / oath / vengeance","FOREIGN","TABOO","FOREIGN","TABOO","FOREIGN","TABOO","FOREIGN","FOREIGN","NATIVE","HOSTILE","Orc-native; Redguard hostility tracks Malooc cautionary role"
"Hircine","Hunt / lycanthropy / predator logic / beast-shape","FOREIGN","TABOO","TABOO","TABOO","TABOO","FOREIGN","TABOO","FOREIGN","TABOO","FOREIGN","Legible in some cultures without becoming a core normal lane"
"Meridia","Anti-undead cleansing / purity / light","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","Tolerated-access cases map to FOREIGN in stance taxonomy"
"Nocturnal","Shadow oath / luck debt / criminal secrecy","TABOO","TABOO","FOREIGN","TABOO","FOREIGN","TABOO","TABOO","TABOO","TABOO","TABOO","Bosmer and Breton can read Nocturnal more legibly than most; Khajiit still treat it as external pressure rather than native trickster theology"
"Hermaeus Mora / Hermorah","Forbidden knowledge / dangerous secrets / Apocrypha","TABOO","TABOO","FOREIGN","TABOO","FOREIGN","FOREIGN","FOREIGN","FOREIGN","TABOO","FOREIGN","Khajiit Hermorah remains culturally legible but not a native baseline path; Bosmer Herma-Mora is not collapsed into this row"
"Molag Bal","Domination / vampirism / violation / enslavement","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","HOSTILE","Redguard hostility is strongest; others remain severe taboo"
"Hist","Argonian constitutive source / soul-return / being Saxhleel","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","Not a normal patron-choice row outside Argonian architecture"
"Sithis","Void / change / death-facing acknowledgment","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","TABOO","NATIVE","TABOO","TABOO","Argonian layer is not identical to Dark Brotherhood cult usage"
"Sep","Redguard cautionary serpent / failed creation / banished error","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","FOREIGN","HOSTILE","Kept separate from Shor/Lorkhaj during this pass"
"Trinimac","Altmer ancestor-hero / martial virtue / pre-Malacath memory","FOREIGN","FOREIGN","FOREIGN","NATIVE","FOREIGN","FOREIGN","FOREIGN","FOREIGN","TABOO","FOREIGN","Rare Orc pressure, not normal Orc player path"
