"exchange_schema","copy_id","flow_ids","journey","event","surface","runtime_location","current_runtime_text","gameplay_contract","character_budget","risk","dynamic","row_fingerprint","owner_status","owner_draft","owner_note"
"pdv.copy-prose-exchange.v1","esp:mesg:071001:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.altmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071001:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Entry:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: One-time after vampire onset, if the Exiled path is enabled","500","P2","false","d14b78e06d66c6b718e322a51145ee98","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071001:Devotion.esp:name","journey.curse-transition;race.altmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:071001:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Entry:Name","Exile From The Dawn","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: One-time after vampire onset, if the Exiled path is enabled","500","P2","false","ab28ca9e93178197b1711b6661ba5ef2","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071002:Devotion.esp:description","journey.curse-transition;race.altmer;surface.message","Shared","neglect.lapse","message-body","Devotion.esp:MESG:071002:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Recognition:Description","You are exiled from the dawn, not restored to it. A thin discipline remains, capped low, held only by refusal to collapse.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: On reaching the Exiled-path recognition beat","500","P2","false","cedf7e4c8cfbc11f66fdc3406546a3d2","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071002:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.altmer;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071002:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Recognition:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: On reaching the Exiled-path recognition beat","500","P2","false","69fe4717123ebdcc0febd53df757568c","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071002:Devotion.esp:name","journey.curse-transition;race.altmer;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:071002:Devotion.esp:PDV_Msg_Altmer_VampireExiledPath_Recognition:Name","Exiled From The Dawn","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: On reaching the Exiled-path recognition beat","500","P2","false","27f0843111fe57100f6b2d611a000763","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071003:Devotion.esp:description","journey.curse-transition;race.altmer;signal.world;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:071003:Devotion.esp:PDV_Msg_Altmer_CurseState_WerewolfHardHalt:Description","The whole of Altmer faith is to become spirit again. You have become a beast. There is no doctrine for this, no heresy small enough to hold it, no path in any direction. Devotion stops here.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation; devotion halts entirely","500","P3","false","8ecd8ef4bfee8b03a408629219bd25ac","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071003:Devotion.esp:menubuttons[0].text","journey.curse-transition;race.altmer;signal.world;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071003:Devotion.esp:PDV_Msg_Altmer_CurseState_WerewolfHardHalt:MenuButtons[0].Text","Continue","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation; devotion halts entirely","500","P2","false","ac8a3df0cc2fd9727b1bf0f411a93e30","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071003:Devotion.esp:name","journey.curse-transition;race.altmer;signal.world;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:071003:Devotion.esp:PDV_Msg_Altmer_CurseState_WerewolfHardHalt:Name","The Project Inverted","Live record field is inventoried, but its current firing/attachment contract still requires source linkage. Prior reference claim: Once on first transformation; devotion halts entirely","500","P3","false","759c597eda8a9b57622f6ed7c36a29e4","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071040:Devotion.esp:description","journey.origin-choice;race.breton;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:071040:Devotion.esp:PDV_MSG_StartupBretonChoice:Description","High Rock raises its children to one of three traditions.
Knight's Road: mercy, protection, and the public vow.
Hidden Art: occult and Daedric power, openly risked.
Green Way: the standing stones and the old druid rites.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","6910537805fa77606cbf4ace0834a99c","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071040:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.breton;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071040:Devotion.esp:PDV_MSG_StartupBretonChoice:MenuButtons[0].Text","Knight's Road","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","b958302bad60097f6915773c1369e8f9","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071040:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.breton;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071040:Devotion.esp:PDV_MSG_StartupBretonChoice:MenuButtons[1].Text","Hidden Art","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","c88de5225fa32c64ccb4a0275522620f","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071040:Devotion.esp:menubuttons[2].text","journey.origin-choice;race.breton;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071040:Devotion.esp:PDV_MSG_StartupBretonChoice:MenuButtons[2].Text","Green Way","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","7a2eaf7f4f4b5fc3556c7f447babc491","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071040:Devotion.esp:name","journey.origin-choice;race.breton;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:071040:Devotion.esp:PDV_MSG_StartupBretonChoice:Name","Breton startup tradition","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","4e52ec15635bda50f2134fe367d7b39b","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071041:Devotion.esp:description","journey.origin-choice;race.redguard;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:071041:Devotion.esp:PDV_MSG_StartupRedguardChoice:Description","A Redguard is raised to one of three sects.
Crown: the strict old Yokudan orthodoxy.
Forebear: Redguard faith carried into mixed life.
Ash'abah: funerary duty and the unquiet dead, at a cost.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","4c1184bad5a3bf9f5d88c5750e9ef626","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071041:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.redguard;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071041:Devotion.esp:PDV_MSG_StartupRedguardChoice:MenuButtons[0].Text","Crown","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","41c473581a312e1255a88ab666da3e3b","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071041:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.redguard;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071041:Devotion.esp:PDV_MSG_StartupRedguardChoice:MenuButtons[1].Text","Forebear","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","a203eb8312ea130cdee9ddc579694e0f","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071041:Devotion.esp:menubuttons[2].text","journey.origin-choice;race.redguard;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071041:Devotion.esp:PDV_MSG_StartupRedguardChoice:MenuButtons[2].Text","Ash'abah","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","25816cabeda866ea44802dbb7f7375d6","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071041:Devotion.esp:name","journey.origin-choice;race.redguard;surface.message","Shared","unclassified","message-record-name","Devotion.esp:MESG:071041:Devotion.esp:PDV_MSG_StartupRedguardChoice:Name","Redguard startup sect","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","","P2","false","d18ba95c93a0ca9ab71f000dead56a73","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071042:Devotion.esp:description","journey.origin-choice;race.orc;surface.message","Shared","unclassified","message-body","Devotion.esp:MESG:071042:Devotion.esp:PDV_MSG_StartupOrcChoice:Description","An Orc keeps Malacath's code one of three ways.
City: faith held in private among outsiders.
Stronghold: the full code, lived in common.
Legion or exile: honor under a foreign banner.","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","500","P2","false","15e665b87b896e1c082e73ab38763729","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071042:Devotion.esp:menubuttons[0].text","journey.origin-choice;race.orc;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071042:Devotion.esp:PDV_MSG_StartupOrcChoice:MenuButtons[0].Text","City","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","e8a520ff055b56e65a7c74f50db3ec5b","","",""
"pdv.copy-prose-exchange.v1","esp:mesg:071042:Devotion.esp:menubuttons[1].text","journey.origin-choice;race.orc;surface.message","Shared","unclassified","message-button","Devotion.esp:MESG:071042:Devotion.esp:PDV_MSG_StartupOrcChoice:MenuButtons[1].Text","Stronghold","Live record field is inventoried, but its current firing/attachment contract still requires source linkage.","40","P2","false","12ea523b458dd3e31e70b8d5e32459b5","","",""
