"id","eventClass","deity_or_race","tier","expected_toast","expected_chronicle","expected_ledger","expected_timing","emit_site_hint","notes"
"daedric.shrine-prayer","signal","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:2638 Debug.Notification + :2639 SendPrismaDaedricToast(phase=""prayer"") + :2640 AppendBookOfDaysEntry(title=""Shrine prayer answered""); :2636 path.AdjustStoredPiety(2.0, sourceId) -> RecordDaedricPathDriver","Daily casual Daedric shrine prayer +2 piety. ARR runtime smoke 2026-06-25 passed the top-left Debug.Notification and Book of Days Chronicle entry. Prisma overlay toast did NOT appear in that runtime smoke despite the SendPrismaDaedricToast callsite; keep expected_toast=Y as the design intent and track the missing overlay as deferred Prisma parity work. Ledger=Y via RecordDaedricPathDriver. If it crosses a tier threshold, daedric.milestone.* fires separately."
"daedric.curated-signal","signal","ALL","n/a","N","N","Y","immediate","PDV__ManagerQuest.psc:2555 path.AdjustStoredPiety(10.0, sourceId) -> PDV_DaedricPathBase.psc:349 RecordDaedricPathDriver inside HandleDaedricPrinceSignal","Sub-threshold curated/live Daedric signal +10 piety, records driver every time. No toast/chronicle at sub-threshold (player fiction deferred to tier-entry beats). Ledger=Y. Crossing a threshold fires the milestone row separately. Hircine hunt rite also flows here via RecordHuntRiteScaled."
"daedric.commitment-gate","daedric","ALL","n/a","Y","N","N","immediate","PDV_DaedricPathBase.psc:243-244 AddCommitmentSignal -> ShowCommitmentBeat() when newCount==CommitmentSignalsRequired; e.g. PDV_DaedricPath_Namira.psc:105 shows Msg_Commitment","Third commitment signal opens the gate via authored blocking Msg_Commitment MESG (= the toast surface). Pure narrative gate-open: no piety move and no chronicle at this site (the piety that crossed the gate belongs to daedric.curated-signal). Toast=Y (blocking MESG), chronicle=N, ledger=N."
"daedric.lapse","daedric","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:2814 SendPrismaEventToast(""neglect"", path,...) + :2815 AppendBookOfDaysEntry tone=neglect.drop symbol=daedric; ledger via the SetStoredPiety(0.0) that caused the tier drop (PDV_DaedricPathBase.psc:349). SurfaceDaedricLapse from ProcessPendingDaedricLapse:2834","Active pact falls to tier NONE (decay to 0). Toast + direct chronicle (neglect.drop) + Debug.Notification. Ledger via RecordDaedricPathDriver on the zeroing SetStoredPiety. PLACEHOLDER chronicle copy. EDGE GAP: RecordDaedricPathDriver only writes when delta!=0 (PDV_DaedricPathBase.psc:348); if piety was already exactly 0 the ledger write is skipped. NOTE: same emit site as neglect.drop.daedric-pact - this is the canonical row for the Daedric lapse beat."
"daedric.champion-decline","daedric","ALL","Devoted","N","N","Y","immediate","PDV_DaedricPathBase.psc:173 SetStoredPiety(fallbackPiety, 'champion_decline_' + reason) -> RecordDaedricPathDriver; DeclineChampionOffer from HandleChampionOfferResult","Declining the Champion offer reverts piety to Devoted threshold-1, recording a driver (ledger=Y). No toast (re-surfacing the reversion would confuse) and no chronicle. The Msg_ChampionEntry MESG was the last surface the player saw. RUBRIC-CONSISTENT (piety move -> ledger=Y; pure non-milestone reversion -> toast/chronicle=N)."
"reorientation.daedric.pact-severance","reorientation","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:2798 SurfaceSwitchSeverance -> :2803 SendPrismaEventToast('shift',...) + :2804 AppendBookOfDaysEntry tone=reorientation pinned=true; called for patron_to_prince (:2893) and prince_to_patron (:2949)","MERGED patron->prince and prince->patron severance (same emit function SurfaceSwitchSeverance, same surfaces). Toast + pinned chronicle + Debug.Notification fallback. No piety delta at the severance site -> ledger=N. PLACEHOLDER copy. RUBRIC-CONSISTENT (reorientation, but this beat is immediate severance not a dawn snapshot diff, hence timing=immediate)."
"reorientation.daedric.pact-activation-new","reorientation","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:2896 AppendBookOfDaysEntry(path.DeityName + ' claims your devotion.', tone=reorientation, symbol=daedric, pinned=true) in ProcessPendingDaedricActivation when no prior patron","New first-pact activation with no prior patron: pinned chronicle 'X claims your devotion.'. HasRecentDaedricMilestoneJournal guard prevents duplicate when a tier milestone already wrote a journal line. GAP: current emit is chronicle-ONLY here (no SendPrismaEventToast on the pure first-pact path) - the milestone toast usually already covered it, but per rubric a pact-activation is a milestone the player should notice, so expected_toast=Y (design-intent); note the toast emit is missing on this specific branch. Ledger=N (no piety delta at activation)."
"reorientation.daedric.pact-migration-resolve","reorientation","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:7835 AppendBookOfDaysEntry('Your devotion has resolved to...', reorientation, journal) + Debug.Notification only, in MigrateDaedricPactVersion","Pact-migration conflict resolution (edge case, not a normal play path). Chronicle fires; only Debug.Notification surfaces (no Prisma toast). RUBRIC FIX: finder set toast=N; per rubric this is a reorientation milestone, so expected_toast=Y (design-intent), note current emit is Debug.Notification only. Ledger=N."
"daedric.hircine.stigma-price","daedric","Hircine","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:6958-6960 MaybeEmitHircineStigmaPrice -> SendPrismaDaedricToast('Hircine','price',...,'hircine') from HandleHircineHuntRite:6946","Hircine stigma price toast when stigma crosses 3.0 (stirring) / 6.0 (heavy) during a hunt rite. Toast=Y. No chronicle and no ledger (stigma tracked in StigmaGlobal/StorageUtil, not RecordDaedricPathDriver). GAP: a meaningful cost-threshold crossing has no chronicle."
"daedric.hircine.curse-entry","daedric","Hircine","n/a","Y","Y","N","immediate","PDV_DaedricPath_Hircine.psc:144 ShowRaceResponseForPlayer() -> ShowIfPresent(Msg_Response_<Race>) in HandleCurseTransition when oldState!=CURSE_WEREWOLF && newState==CURSE_WEREWOLF","Player becomes werewolf with Hircine on path: race-specific Msg_Response_<Race> MESG = toast surface. GAP: no AppendBookOfDaysEntry and no RecordDaedricPathDriver at this site. RUBRIC FIX: finder set chronicle=N; curse-onset is a moment the player should notice, so expected_chronicle=Y (design-intent), note current emit has none. Ledger=N (curse entry itself has no piety delta; AddCommitmentSignal/stigma may feed a later piety move)."
"daedric.hircine.renunciation","daedric","Hircine","n/a","Y","Y","Y","immediate","PDV_DaedricPath_Hircine.psc:119 ShowIfPresent(Msg_Exit) + :116 SetStoredPiety(0.0,'renounce_'+reason) -> RecordDaedricPathDriver in RenouncePath","Renounce Hircine: Msg_Exit blocking MESG = toast surface; SetStoredPiety(0.0) records the drop (ledger=Y). GAP: no AppendBookOfDaysEntry for renunciation. RUBRIC FIX: finder set chronicle=N; renouncing a Prince is a milestone, so expected_chronicle=Y (design-intent), note current emit has no chronicle. RenouncePath calls SetStoredPiety directly and may bypass the SurfaceDaedricLapse breadcrumb (ClearLiveDaedricPactSpells already ran). BeginNordResidueRecovery has no surface emit."
"daedric.hircine.lapse-debug","daedric","Hircine","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:12090 SendPrismaDaedricToast('Hircine','lapse','','hircine') in DebugRenounceHircinePath only","DEBUG-ONLY MCM path that manually fires a lapse toast, distinct emit site from the organic daedric.lapse route (verifier must find it separately). No chronicle/ledger at this callsite; the preceding RenouncePath covers the piety zero. Kept as a distinct row because the emit site is unique."
"daedric.hircine.residue","daedric","Hircine","n/a","Y","N","N","immediate","PDV_DaedricPath_Hircine.psc:168 BeginNordResidueRecovery sets StorageUtil keys with no Prisma emit. PDV__ManagerQuest.psc:12119/:12597/:13396 call UpdateResidueRecovery() which silently clears residue with no emit either. SendPrismaDaedricToast is defined with phase=""residue"" support (:12818) and app.js:671 maps daedric_residue->daedric; :833/:844/:856/:866 fully render it. Gap: BeginNordResidueRecovery(:168) should call SendPrismaDaedricToast(""Hircine"", ""residue"", ...) at onset; UpdateResidueRecovery(:164) should emit a fade-clear.","Renderer is fully built for residue display (app.js:833-866, :2098 test fixture daedric_residue). The existing registry row marks N/N/N as 'design ambiguous' but renderer support is concrete evidence the beat was intended to surface. Revises that row's expected_toast from N to Y. expected_ledger=N (residue is a transient state indicator, no piety delta). expected_chronicle=N (not a milestone). The onset emit at BeginNordResidueRecovery is the primary missing callsite; the fade-clear at UpdateResidueRecovery(:164) is a secondary gap."
"reorientation.redguard.sect","reorientation","Redguard","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:6480 SendPrismaShiftToast(GetRedguardSectLabel(),'','sect') in ApplyRedguardSectSwitch + ShowRedguardSectEntry:6478 once-only notice; chronicle via EmitBookOfDaysStateChange:8566 dawn snapshot diff","MERGED Crown/Forebear/AshAbah sect switch (same emit path; Ash'abah gated on IsRedguardAshAbahBurden named-undead death-duty token). Toast + once-only entry fire immediately; chronicle captured at next dawn via snapshot diff (no direct per-switch AppendBookOfDaysEntry). Per the reorientation rubric, timing for the snapshot-diff chronicle is dawn but the toast is immediate - timing=immediate marks the toast surface; chronicle noted as dawn snapshot."
"reorientation.bosmer.path","reorientation","Bosmer","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:15952 SendPrismaShiftToast(GetBosmerPathLabel(),'',symbol) in ConfirmBosmerPathState; chronicle via EmitBookOfDaysStateChange:8566; Old Contract via EnterBosmerOldContract:15939","MERGED Living Story / Exchange (Zen) / Bandit Road (Baan Dar) / Old Contract (Green Pact) - all four confirm through the same SendPrismaShiftToast surface route. Toast immediate; chronicle at dawn via snapshot diff. Ledger=N at the path-shift surface (the confirm DOES award a curated signal - see emergence/signal slice - but the reorientation surface itself has no AwardPiety). GAP noted in emergence finder: no immediate AppendBookOfDaysEntry at ConfirmBosmerPathState, chronicle relies on dawn diff."
"reorientation.dunmer.ancestor-layer","reorientation","Dunmer","n/a","N","Y","N","dawn","PDV__ManagerQuest.psc:8566 EmitBookOfDaysStateChange; label via GetDunmerAncestorLayerLabel:17080; BuildModeChangeLine:8580 bespoke Dunmer line","Dunmer mode line = ancestor layer depth (quiet/beginning/steady/strong). NO SendPrismaShiftToast on layer change (substrate deepens gradually). Chronicle only when the label string changes at dawn -> toast=N, timing=dawn. Per-act substrate toasts (substrate.act.ancestor.dunmer) are a separate row. RUBRIC-CONSISTENT (mode/reorientation -> dawn snapshot; here even the toast is intentionally absent because it's gradual)."
"reorientation.orc.lifemode","reorientation","Orc","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:5853 SendPrismaShiftToast(GetOrcLifeModeLabel(),'','malacath') in ApplyOrcLifeModeSwitch; chronicle via EmitBookOfDaysStateChange:8566","MERGED Stronghold/City/Legion-Exile life modes (same ApplyOrcLifeModeSwitch surface; MaybeShowOrcWatchersNotice companion notice; Legion-Exit also emits Malacath broken-faith signal EmitMalacathBrokenFaithKinMinus:5849 = separate signal beat). Toast immediate, chronicle at dawn snapshot diff. GAP: the 14-day lapse-to-City path at :5904 calls PDV_OrcLifeModeTrack.SetState directly (NOT ApplyOrcLifeModeSwitch) so lapse-to-City has NO toast. Also no AppendBookOfDaysEntry at the switch site (emergence finder) - chronicle relies on dawn diff."
"reorientation.khajiit.focus","reorientation","Khajiit","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:6881 SetKhajiitFocusedEmphasis -> SendPrismaShiftToast(GetKhajiitFocusLabel, GetKhajiitFocusShiftText, GetKhajiitFocusSymbol) (old!=new guard at 6879); GetPlayerMcmModeLine returns focus label -> chronicle via EmitBookOfDaysStateChange:8566; BuildModeChangeLine:8582 bespoke","Khajiit focused emphasis (Khenarthi/Azurah/BaanDar/Rajhin/Alkosh/None). Toast immediate on any focus change; chronicle at dawn snapshot diff since the focus label feeds GetPlayerMcmModeLine. EvaluateKhajiitFocusedEmphasis runs at dawn. GAP (emergence finder): no immediate AppendBookOfDaysEntry at the focus-lock site, chronicle relies on dawn diff. Ledger=N (focus is a routing/weighting state, piety comes from underlying acts)."
"reorientation.khajiit.lunar-posture","reorientation","Khajiit","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:5342 SendPrismaShiftToast(GetKhajiitLunarPostureDisplayLabelAt(newPosture),...,'lunar') in RefreshKhajiitLunarPosture; ShadowDrift also ShowKhajiitMessage:5339 modal; ApplyKhajiitCurseStateChange:5447","Khajiit lunar posture (Normal/Strained/Corrupted/ShadowDrift), curse-driven. Toast immediate on change; ShadowDrift adds a modal. GAP: GetPlayerMcmModeLine returns the focus label NOT lunar posture, so posture changes do NOT appear in the dawn snapshot diff -> currently NO chronicle. RUBRIC FIX: finder set chronicle=N; per rubric a curse-adjacent posture shift (esp. Corrupted/ShadowDrift) is noticeable, so expected_chronicle=Y (design-intent), note the chronicle emit is missing. Ledger=N (posture is a debuff track, not a piety act)."
"reorientation.imperial.concordat","reorientation","Imperial","n/a","N","Y","N","dawn","PDV__ManagerQuest.psc:8699 PDV_ConcordatStandingTrack.RefreshState() at dawn; GetImperialConcordatLabel:17174 feeds GetPlayerMcmModeLine; chronicle via EmitBookOfDaysStateChange:8566","Concordat Standing (PDV_ReputationTrack -100..+100, 5 bands) refreshes label at dawn. NO SendPrismaShiftToast on band transition -> toast=N, timing=dawn. Chronicle when label changes in dawn snapshot diff. Per memory: raw value moves immediately but committed band LABEL lags via lock-in grace, so prove emitters via the raw trace value not the band label."
"reorientation.altmer.crisis-state","reorientation","Altmer","n/a","Y","Y","N","dawn","PDV__ManagerQuest.psc:7404 SetAltmerCrisisState (no SendPrismaShiftToast); GetAltmerCrisisStateLabel:7422 feeds GetPlayerMcmModeLine; chronicle via EmitBookOfDaysStateChange:8566; BuildModeChangeLine:8584 bespoke","Altmer crisis state (None/Dissonant/Questioning/Reasserting/Scarred-Resolved) set immediately on Lorkhan pressure but has NO toast in SetAltmerCrisisState. Chronicle fires at dawn snapshot diff when label changes. GAP: no immediate toast for a significant identity crisis transition. RUBRIC FIX: finder set toast=N; an identity-crisis transition is a noticeable reorientation milestone, so expected_toast=Y (design-intent), note the toast emit is missing. Ledger=N."
"reorientation.altmer.thalmor-alignment","reorientation","Altmer","n/a","Y","Y","N","dawn","PDV__ManagerQuest.psc:7097 PDV_ThalmorAlignmentTrack.Adjust() - NO downstream snapshot path; GetPlayerMcmModeLine returns GetAltmerCrisisStateLabel (crisis), NOT the alignment band","GAP: Altmer Thalmor Alignment is a distinct second axis (PDV_ThalmorAlignmentTrack, -100..+100 Concordat mirror) but GetPlayerMcmModeLine returns the CRISIS label, not the alignment band, so band transitions are captured by NEITHER the dawn snapshot diff NOR any SendPrismaShiftToast - invisible to both surfaces today. RUBRIC FIX: finder set toast=N/chronicle=N; this is a real reorientation axis that SHOULD surface, so expected_toast=Y, expected_chronicle=Y (design-intent), with the note that both emits are entirely missing. Ledger=N. Highest-severity surfacing gap in the Altmer slice."
"reorientation.breton.tradition","reorientation","Breton","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:13980 ApplyBretonInitialChoice / 14030 HandleBretonTraditionChoice - NO SendPrismaShiftToast, NO AppendBookOfDaysEntry; tradition stored via PDV.Breton.Tradition; GetBretonTraditionLabel:16959 feeds GetPlayerMcmModeLine; BuildModeChangeLine:8588 bespoke","MERGED reorientation.breton.tradition + emergence.breton.tradition-lock (same beat). Tradition (Knight's Road/Hidden Art/Green Way) is an irreversible startup choice setting the entire path archetype - a major diegetic moment. COMPLETE SURFACE GAP at the choice site: no toast and no immediate chronicle; only the dawn snapshot diff eventually records it. RUBRIC FIX: finder reorientation row had toast=N; per rubric this is a milestone the player should notice, so expected_toast=Y, expected_chronicle=Y (design-intent), note both immediate emits are missing - wire SendPrismaShiftToast + pinned AppendBookOfDaysEntry in ApplyBretonInitialChoice. Ledger=N."
"reorientation.breton.druidic-fork","reorientation","Breton","n/a","Y","Y","N","dawn","PDV__ManagerQuest.psc:10036 SetBretonDruidicFork - NO SendPrismaShiftToast; fork label NOT in GetPlayerMcmModeLine (returns GetBretonTraditionLabel only)","GAP: Breton druidic fork (None/Druidic/Werewolf/Betrayed), a Green Way sub-state, has no toast emit and the fork label is NOT surfaced via GetPlayerMcmModeLine, so fork transitions are invisible to both toast and chronicle (no AppendBookOfDaysEntry either). RUBRIC FIX: finder set toast=N/chronicle=N; per rubric these are reorientation transitions that should surface, so expected_toast=Y, expected_chronicle=Y (design-intent), note both emits missing. Ledger=N."
"reorientation.argonian.hist-posture","reorientation","Argonian","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:5594 SendPrismaShiftToast(GetArgonianHistPostureLabel(),'','hist') in RefreshArgonianHistPosture; GetPlayerMcmModeLine returns 'Hist '+posture -> chronicle via EmitBookOfDaysStateChange:8566","MERGED reorientation.argonian.hist-posture + emergence.argonian.hist-posture-shift (same beat). Hist posture (Normal/Distant/Strained/Silenced/Corrupted): toast immediate on change; chronicle at dawn snapshot diff since the posture label feeds GetPlayerMcmModeLine. Corrupted/Distant additionally emit piety-loss signals (EmitHistCorruptionMinus/EmitHistAbandonmentMinus = separate signal beats). GAP (emergence finder): no immediate AppendBookOfDaysEntry, chronicle relies on dawn diff. Ledger=N at the posture-shift surface."
"reorientation.nord.devotion-mode","reorientation","Nord","n/a","N","Y","N","dawn","PDV__ManagerQuest.psc:8566 EmitBookOfDaysStateChange; GetNordDevotionModeLabel:16399 (Focused <Deity>/Broad Old Ways/Broad Nine Divines/Unsettled/Vampire rupture); BuildModeChangeLine:8578 bespoke","Nord devotion mode (patron commit/release, baseline shift, vampire onset) feeds GetPlayerMcmModeLine. NO SendPrismaShiftToast for mode changes -> toast=N, timing=dawn snapshot diff. Patron tier-up (tier.*) and curse (curse.*) toasts are separate beats. RUBRIC-CONSISTENT (mode change -> dawn snapshot, toast intentionally absent for the broad-mode roll-up)."
"offer.accept.nord","offer","Nord","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:12256 DebugAcceptPendingCommitment() - calls SetActiveDeity but NO SendPrismaEventToast/SurfaceTransition/AppendBookOfDaysEntry at this site","Commitment-offer ACCEPT. SetActiveDeity changes _activeDeity but no toast/chronicle at accept-time; the dawn reorientation snapshot diff catches the mode change next dawn, but an immediate personal beat ('You have given your devotion to X') is MISSING. RUBRIC: offer accept is a milestone the player should notice -> expected_toast=Y, expected_chronicle=Y (design-intent), timing=immediate; note both emits are missing - wire at this callsite. Ledger=N (no new AwardPiety; carryover piety already in StorageUtil). Covers all Nord-eligible deities; other races' formal-offer paths are design-intent, only Nord is wired (UsesFormalCommitmentOffersForDeity delegates to IsNordOfferEligibleDeity)."
"offer.present.nord","offer","Nord","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:12208 ShowFormalCommitmentOffer() - offerMessage.Show() blocking MESG IS the surface; no SendPrismaEventToast/SurfaceTransition/AppendBookOfDaysEntry","Offer PRESENT phase: the blocking MESG popup IS the toast surface (toast=Y for the MESG). Chronicle intentionally deferred to the accept beat (chronicle=N here). Ledger=N (no piety move). Covers all Nord-eligible deities (Kyne/Shor/Tsun/Stuhn/Akatosh/Mara/Arkay/Stendarr/Zenithar/Julianos/Dibella/Talos/Kynareth). Bosmer suggestion-popup (HandleBosmerSuggestionPopup:15888, SendPrismaToast on accept/refuse) is the Bosmer analogue, surfaced under reorientation.bosmer.path + signal slices."
"offer.decline.nord","offer","Nord","n/a","N","N","N","immediate","PDV__ManagerQuest.psc:12385 DebugDeclinePendingCommitment() - only ApplyCommitmentDeclineCooldown + ClearPendingCommitment; no surface emit","Low-stakes 'not now' deferral. Player already saw the offer MESG; cooldown silently applied. No surface expected by rubric (not a milestone) -> N/N/N. RUBRIC-CONSISTENT."
"offer.refuse.nord","offer","Nord","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:12396 DebugRefusePendingCommitment() - only ApplyCommitmentRefuseCooldown + sets PDV.Commitment.Rupture=1; no surface emit","Refuse = permanent rejection (sets Rupture flag), a meaningful character beat (actively closing a door). GAP: NO surface emitted today. RUBRIC: milestone the player should notice -> expected_toast=Y, expected_chronicle=Y (pinned, design-intent), timing=immediate; note both emits missing - wire SurfaceTransition('offer','<deity> refused','refuse') + pinned AppendBookOfDaysEntry. Ledger=N."
"curse.onset","curse","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:12608 SendPrismaCurseToast(0,newState) + :12627 SurfaceTransition(""curse"",<werewolf|vampire>,""onset"",-1,""dread"") inside SurfaceCurseTransitionDiegetic via HandleCurseStateTransition","MERGED werewolf + vampire onset (same emit path; curseRef==2 selects symbol curse-vampire, else curse-werewolf). Both SendPrismaCurseToast (direct overlay JSON via PDV_PrismaBridge.SendOverlayJson) and SurfaceTransition fire; SurfaceTransition routes to AppendBookOfDaysEntry:1762 so chronicle is wired. No AwardPiety -> ledger=N. Race-specific context phrase via GetCurseContextForRace. RUBRIC-CONSISTENT."
"curse.cure","curse","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:12627 SurfaceTransition(""curse"",<werewolf|vampire>,""cure"",-1,""release"") + :12608 SendPrismaCurseToast(oldState,0) via HandleCurseStateTransition","MERGED werewolf + vampire cure. Tone=release; curseRef falls back to oldState for the surface key. Chronicle via SurfaceTransition. No piety delta -> ledger=N."
"curse.shift","curse","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:12627 SurfaceTransition(""curse"",<curseKey>,""shift"",-1,""dread"") + :12608 SendPrismaCurseToast(oldState,newState) where oldState!=0 && newState!=0 via HandleCurseStateTransition","Werewolf<->vampire cross-shift (rare). GetCurseSurfaceKey uses incoming newState for the key. Chronicle via SurfaceTransition. Fully wired. Ledger=N."
"neglect.drop.patron","neglect","ALL","n/a","Y","Y","N","dawn","PDV__ManagerQuest.psc:8805 SendPrismaEventToast(""neglect"",_activeDeity,...) + :8806 SurfaceTransition(""neglect"",_activeDeity.DeityName,""drop"",_activeDeity.DeityIndex,""absence"") + :8809 Debug.Notification inside RunDawnApplySpellAndNeglectLayers","Patron neglect drop fires at dawn consolidation when PatronToastState flips 0->1 (first-lapse guard). SurfaceTransition routes to AppendBookOfDaysEntry. Debug.Notification = vanilla top-left fallback. Neglect spell is a gameplay debuff not a piety move -> ledger=N. timing=dawn (runs inside RunDawnApplySpellAndNeglectLayers). RUBRIC-CONSISTENT."
