id,surface,race,target,requirement,tier,authority,verify_layer,check_hint,notes,cluster,status
BC-0011,signal_channel,ALL,Molag Bal,Molag Bal organic commitment signal must fire at DA10 quest stage 200 (House of Horrors completion/vampirism threshold) and route through PDV_FLST_Daedric_MolagLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_MolagLiveSources contains DA10 stage 200 FormKey,,daedric,UNVERIFIED
BC-0012,signal_channel,ALL,Namira,Namira organic commitment signal must fire at DA11 quest stage 100 (Taste of Death completion) and route through PDV_FLST_Daedric_NamiraLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_NamiraLiveSources contains DA11 stage 100 FormKey,,daedric,UNVERIFIED
BC-0013,signal_channel,ALL,Nocturnal,Nocturnal organic commitment signal must fire at TG09 quest stage 200 (Thieves Guild/Nightingale oath completion) and route through PDV_FLST_Daedric_NocturnalLiveSources FormList; must not count toward Oblivion Walker.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'; PDV_Daedric_DecisionPacket_CAT4.md Batch 2 note",esp,PDV_FLST_Daedric_NocturnalLiveSources contains TG09 stage 200 FormKey,,daedric,UNVERIFIED
BC-0014,signal_channel,ALL,Peryite,Peryite organic commitment signal must fire at DA13 quest stage 100 (The Only Cure completion) and route through PDV_FLST_Daedric_PeryiteLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_PeryiteLiveSources contains DA13 stage 100 FormKey,,daedric,UNVERIFIED
BC-0015,signal_channel,ALL,quest cross-race mutual exclusion,"Every split-outcome quest listed in the Cross-Race Mutual Exclusion Register must fire exactly one branch per character (one-shot gate keyed to the exact stage that completed, never the quest form alone). Applies to DA01, DA05, CW01A/B, DLC1VQ02, MS08, DB01/DB11, TG08B/TG09.",BETA,PDV_Phase20_ExpandedSignalArchitecture.md – Cross-Race Mutual Exclusion Register,source,Each quest in the register: per-character source marker; stage-exact routing; no double-score from both branch FormKeys.,,signals,UNVERIFIED
BC-0016,signal_channel,ALL,quest-reaction wiring – magnitude rules,"Quest-reaction magnitude must follow: milestone if matched tag is C for deity AND stage is completion/terminal; small if tag is S/m or stage is intermediate. Final delta = base(magnitude) x intensity(C/S/m). Quest swings are NOT anti-farm-gated (one-shot), but a single milestone must not exceed ~one tier-step.",BETA,PDV_QuestReactionMatrix.md – Part C1 Magnitude,source,,,signals,UNVERIFIED
BC-0017,signal_channel,ALL,quest-reaction wiring – race-stance modulation,Every quest-reaction piety pulse must be modulated by the player's race-stance toward the reacting deity: NATIVE = full gain/loss; FOREIGN/TOLERATED = dampened; TABOO/HOSTILE = approving act becomes stigma/penalty; CURSE-ACCESS = handled by curse layer only.,BETA,PDV_QuestReactionMatrix.md – Part C2 Race-stance modulation (CRITICAL),source,PDV__ManagerQuest.psc or ActionRouter stance-lookup block; must read PDV_StanceMatrix.csv and PDV_DaedricRacePrinceMatrix.csv values.,,signals,UNVERIFIED
BC-0018,signal_channel,ALL,Sanguine,Sanguine organic commitment signal must fire at DA14 quest stage 200 (A Night to Remember completion) and route through PDV_FLST_Daedric_SanguineLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_SanguineLiveSources contains DA14 stage 200 FormKey,,daedric,UNVERIFIED
BC-0019,signal_channel,ALL,Sheogorath,Sheogorath organic commitment signal must fire at DA15 quest stage 200 (The Mind of Madness completion) and route through PDV_FLST_Daedric_SheogorathLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_SheogorathLiveSources contains DA15 stage 200 FormKey,,daedric,UNVERIFIED
BC-0020,signal_channel,ALL,thin-god Part D supplement – artifact acquisition hooks,"Artifact-acquisition one-shot hooks must exist for thin Daedric gods: Ring of Namira (DA11), Sanguine Rose (DA14), Spellbreaker/Peryite (DA13), Skull of Corruption/Vaermina (DA16), Masque of Clavicus Vile (DA03 reunite branch); tag acquire_daedric_artifact:<self>.",BETA,PDV_QuestReactionMatrix.md – Part D method 1 – Artifact-acquisition hooks,source,Tranche1 DA01-DA16 wiring spec; each artifact must have a one-shot piety cell authored.,,signals,UNVERIFIED
BC-0021,signal_channel,ALL,thin-god Part D supplement – faction-join one-shots,"Faction-join one-shots must exist: Dark Brotherhood join → Sithis +, Arkay/Stendarr −; Thieves Guild join → Nocturnal/Rajhin +.",BETA,PDV_QuestReactionMatrix.md – Part D method 3 – Faction-join hooks,source,Check DB01 stage routing → Sithis+; TG join stage routing → Nocturnal/Rajhin+.,,signals,UNVERIFIED
BC-0022,signal_channel,ALL,Vaermina,Vaermina organic commitment signal must fire at DA16 quest stage 190 (Waking Nightmare completion) and route through PDV_FLST_Daedric_VaerminaLiveSources FormList.,BETA,"PDV_AllRaceDaedricBetaReadinessLedger.md, Evidence Baseline 'Daedric exact organic live senders'",esp,PDV_FLST_Daedric_VaerminaLiveSources contains DA16 stage 190 FormKey,,daedric,UNVERIFIED
BC-0023,signal_channel,Altmer,Auri-El,"Altmer Auri-El layer must have a daily-capped signal channel for dawn acknowledgment and continuity practice via curated dawn observance proxy or daily high-order devotion flag; single dawn credit, no wait-loop farming.",BETA,PDV_RaceSignalMatrix.csv – Altmer / Layer 1 Auri-El,source,,,signals,UNVERIFIED
BC-0024,signal_channel,Altmer,Auri-El dawn,Auri-El dawn acknowledgment must generate the live Altmer foundation signal once per dawn for Altmer origin before piety consolidation; this is Layer 1 always-active foundation.,BETA,PDV_RaceDesign_Altmer.md -- Positive income tags and hooks; live beta implementation uses Auri-El SIGNAL_DAWN_ACKNOWLEDGMENT,source,RunDawnAwardAltmerAuriElDawn; SIGNAL_DAWN_ACKNOWLEDGMENT,,race-sheets,UNVERIFIED
BC-0025,signal_channel,Altmer,College/Psijic milestones,College of Winterhold advancement and Eye of Magnus/Psijic-adjacent quest stages must generate PDV_ALT_POS_COLLEGE_PSIJIC piety (+8 to +12 per authored milestone); anti-farm on repeatables.,BETA,PDV_RaceDesign_Altmer.md — Positive income tags / PDV_ALT_POS_COLLEGE_PSIJIC,source,,,race-sheets,UNVERIFIED
BC-0026,signal_channel,Altmer,Lorkhan adjacency (penalty),"Altmer must have a penalty signal channel for Lorkhan adjacency via Talos shrine, Sovngarde, Tsun, Stormcloak, Companions, homestead/marriage/adoption tiers; named tiers only, no ambient world-presence tick.",BETA,PDV_RaceSignalMatrix.csv – Altmer / Lorkhan adjacency penalty,source,,,signals,UNVERIFIED
BC-0027,signal_channel,Altmer,Lorkhan Adjacency Penalty,"Lorkhan pressure must fire only on authored tagged triggers through RouteAltmerLorkhanPressure and HandleAltmerLorkhanPressure, with faction modifier applied and major collisions feeding PDV_State_AltmerCrisis. Ordinary ambient Altmer existence in Skyrim must not apply pressure.",BETA,PDV_RaceDesign_Altmer.md — Lorkhan Adjacency Penalty System + implementation economy lock; live beta implementation uses RouteAltmerLorkhanPressure and PDV_State_AltmerCrisis,source,RouteAltmerLorkhanPressure; HandleAltmerLorkhanPressure; PDV_State_AltmerCrisis,,race-sheets,UNVERIFIED
BC-0028,signal_channel,Altmer,Magic school milestones,Advancing an Altmer magic skill to each tier (25/50/75/100) must route the live Magnus beta signal once per skill threshold; wider Syrabane/Julianos per-skill treatment remains future design outside the current authored beta scope.,BETA,PDV_RaceDesign_Altmer.md -- Positive income tags; live beta implementation uses Magnus SIGNAL_MAGIC_MILESTONE,source,HandleAltmerMagicSkillIncrease; SIGNAL_MAGIC_MILESTONE,,race-sheets,UNVERIFIED
BC-0029,signal_channel,Altmer,Magnus / Psijic,"Altmer Magnus/Syrabane/Psijic lane must have signal channels for magical study via College/Psijic quest stages and curated tome-read proxy; quest milestones carry heavy weight, practice events throttled hard.",BETA,PDV_RaceSignalMatrix.csv – Altmer / Magnus/Syrabane/Psijic lane,source,,,signals,UNVERIFIED
BC-0030,signal_channel,Argonian,Argonian Community (Layer 2),"Community must award piety for: helping named Argonian NPCs (per NPC, cooldown), Windhelm Assemblage quest completion (extra-heavy weight), protecting Argonian NPC from violence (per event), Riften Docks interaction (per type, daily cap). Community must buffer low Hist relation in ProcessDawn piety multiplier.",BETA,PDV_RaceDesign_Argonian.md — Layer 2 Collective/Community + Tier rewards,source,,,race-sheets,UNVERIFIED
BC-0031,signal_channel,Argonian,Argonian double-route anti-farm,Each Argonian devotional act must record on the substrate (PDV_Substrate_ArgonianHist via ConsumeDailyRepeatMultiplier 0.7^n) AND send a small honest piety pulse to PDV_Deity_Hist (via ScoreRepeatableAction); these two anti-farm mechanisms must never both be applied to one magnitude on the same act.,BETA,PDV_ArgonianRewardRecords.spec.json § doubleRoute; § R8 compliance,source,Grep HandleArgonianHistMaintenance for ConsumeDailyRepeatMultiplier + ScoreRepeatableAction; confirm separate magnitude targets,,roster,UNVERIFIED
BC-0032,signal_channel,Argonian,Bed of choice anchor,"Argonian uses one chosen community anchor via PDV_SacredPlace (MaxLocations=1); cadence target is 3 qualifying sleeps at chosen bed within rolling 30 in-game days; missing cadence removes place bonus and applies light People decay, NOT a harsh punishment.",BETA,PDV_RaceDesign_Argonian.md — Bed of choice (LOCKED),source,PDV.Substrate.ArgonianHist.BedOfChoiceSleepCount + 30-day rolling check,,race-sheets,UNVERIFIED
BC-0033,signal_channel,Argonian,community / collective,Argonian must have milestone signal channels for Windhelm Assemblage and Saxhleel solidarity via Windhelm/Assemblage quests and Argonian-community support; extra-heavy weight for Assemblage.,BETA,PDV_RaceSignalMatrix.csv – Argonian / Collective/community identity / Assemblage,source,,,signals,UNVERIFIED
BC-0034,signal_channel,Argonian,Hist – maintenance,"Argonian must have repeatable signal channels for Hist maintenance via water, swamp, rest, and reflection proxies; daily cap and location variety, no simple sleep spam.",BETA,PDV_RaceSignalMatrix.csv – Argonian / Hist relation / Water/swamp/rest,source,,,signals,UNVERIFIED
BC-0035,signal_channel,Argonian,Hist – neglect decay,Argonian Hist must have a sparse neglect-decay signal: light drain from distance/neglect via low-frequency periodic check against recent Hist-maintenance signals.,BETA,PDV_RaceSignalMatrix.csv – Argonian / Hist relation / Light decay from distance,source,,,signals,UNVERIFIED
BC-0036,signal_channel,Argonian,Hist layer as Community multiplier,"In ProcessDawn, Hist relation score must be read and applied as a multiplier to community piety before consolidation; high Hist amplifies Layer 2 community piety; very low Hist removes Champion pathway until Hist stabilized above threshold.",BETA,PDV_RaceDesign_Argonian.md — Hist relation effect on gameplay + Implementation flags,source,ProcessDawn() Argonian: Hist multiplier applied to People piety before consolidation,,race-sheets,UNVERIFIED
BC-0037,signal_channel,Argonian,Hist relation maintenance,"Hist relation must decay -1/dawn if no valid maintenance signal in last 3 in-game days (floor 20 non-curse); valid signals: near-water outdoor rest, meditation/rest near water-keyword locations, wading through rivers, entering swamps/wetlands. Generic quests/combat/crafting must NOT restore Hist.",BETA,PDV_RaceDesign_Argonian.md — Hist distance rule (LOCKED) + Layer 1 Hist recovery signals,source,ProcessDawn() Hist decay: check PDV.Substrate.ArgonianHist.LastMaintenanceDay,,race-sheets,UNVERIFIED
BC-0038,signal_channel,Argonian,Sithis,"Argonian must have signal channels for Sithis acknowledgment via Dark Brotherhood membership/stages and curated death-facing quest choices; faction/state milestones only, not generic stealth or killing.",BETA,PDV_RaceSignalMatrix.csv – Argonian / Sithis acknowledgment,source,,,signals,UNVERIFIED
BC-0039,signal_channel,Argonian,Sithis activation,"Sithis Void layer requires at least 3 significant signals before full active scoring unlocks; Dark Brotherhood join counts as one major signal only; valid signals: DB milestones/contracts and curated death/void/change choices; generic stealth, murder, and ordinary killing must NOT count.",BETA,PDV_RaceDesign_Argonian.md — Sithis activation (LOCKED),source,PDV.Substrate.ArgonianHist.SithisSignalCount counter + unlock threshold,,race-sheets,UNVERIFIED
BC-0040,signal_channel,Bosmer,Baan Dar – Bandit Road,"Bosmer Bandit Road path must have signal channels for survival theft and evasive escape via escape/anti-authority/survival theft quest outcomes; quest milestones only, no petty theft loop.",BETA,PDV_RaceSignalMatrix.csv – Bosmer / The Bandit Road,source,,,signals,UNVERIFIED
BC-0041,signal_channel,Bosmer,Bandit Road (Baan Dar),"Bandit Road must award piety for: sleeping outdoors (daily cap), surviving combat while severely outnumbered (+piety), successful pickpocket from notable target (per target, cooldown), road-life acts (travel without inns, harsh conditions). Weekly-capped near-death Baan Dar Luck triggers once per in-game week.",BETA,PDV_RaceDesign_Bosmer.md — The Bandit Road tier rewards + Signal Examples,source,BaanDarLuck weekly cap flag,,race-sheets,UNVERIFIED
BC-0042,signal_channel,Bosmer,Exchange (Z'en),"Exchange path must award piety for: completing quests that redress a wrong (+piety major), honoring promises/contracts under pressure, attacking enemies who attacked allies first (defender not aggressor). Justice-facing quest choices score Z'en piety.",BETA,PDV_RaceDesign_Bosmer.md — The Exchange tier rewards + Signal Examples,source,,,race-sheets,UNVERIFIED
BC-0043,signal_channel,Bosmer,Living Story,"Living Story must award piety for helping NPCs preserve something (community/memory/life, quest-specific), nature-site visits (groves/standing stones), death-rite adjacent quests (Arkay piety), and secondary god acts from Arkay/Xarxes/Mara/Stendarr each with appropriate cadence.",BETA,PDV_RaceDesign_Bosmer.md — The Living Story tier rewards + Signal Examples,source,,,race-sheets,UNVERIFIED
BC-0044,signal_channel,Bosmer,Old Contract (GreenPactCompliance),"GreenPactCompliance meter (0-100, act-driven, no passive decay) and PactBound flag must fire ONLY when PDV_State_BosmerPath == OldContract (0); plant-based food/potions must lower GPC; meat/animal food must raise GPC; Apostate forced-reckoning timer must NOT run on LivingStory/Exchange/BanditRoad.",BETA,PDV_RaceDesign_Bosmer.md — GreenPactCompliance State Model (LOCKED) + Implementation acceptance criteria,source,GreenPactCompliance update gate: check BosmerPath == OldContract before scoring,,race-sheets,UNVERIFIED
BC-0045,signal_channel,Bosmer,Y'ffre – Living Story,"Bosmer Living Story path must have signal channels for forest attunement via specific forest sites, wilderness-rest proxies, respectful-hunt quest states; site rotation and daily cap.",BETA,PDV_RaceSignalMatrix.csv – Bosmer / The Living Story / forest attunement,source,,,signals,UNVERIFIED
BC-0046,signal_channel,Bosmer,Y'ffre – Old Contract,Bosmer Old Contract path must have signal channels for pact-compliant hunt and anti-desecration behavior via curated hunt outcome and carcass-respect quest stages; severe cap and context checks required.,BETA,PDV_RaceSignalMatrix.csv – Bosmer / The Old Contract,source,,,signals,UNVERIFIED
BC-0047,signal_channel,Bosmer,Z'en – Exchange,"Bosmer Exchange path must have signal channels for debt settling, redress, and proportional vengeance via balance-restoring resolutions; only explicit redress outcomes count, not collapsed into merchant gold gain.",BETA,PDV_RaceSignalMatrix.csv – Bosmer / The Exchange,source,,,signals,UNVERIFIED
BC-0048,signal_channel,Bosmer,Z'en – Exchange Reciprocity family (Z1: transaction),"Bosmer Exchange path must have a signal channel PDV_FavorFamily_ZenReciprocity Z1 for completed market transactions (buy/sell via BarterMenu, training, or fine/bounty-settled via Crime-Gold node); Class B +0.5, shared daily cap 1.5, per-signal cooldown ~1 game-hour; requires non-zero gold movement.",BETA,PDV_TriggerTopups_Exchange_KnightsRoad.md – A. Bosmer – The Exchange (Z'en): the Reciprocity family – Z1,source,PDV_PlayerEvents.psc RegisterForMenu handler for BarterMenu/Training Menu + gold-delta; Crime-Gold SM branch for Z1 fine-settlement.,,signals,UNVERIFIED
BC-0049,signal_channel,Bosmer,Z'en – Exchange Reciprocity family (Z2: production),"Bosmer Exchange path must have a signal channel PDV_FavorFamily_ZenReciprocity Z2 for acquiring sellable goods by own labor (ore mined, firewood chopped, ingredients/pelts gathered, item crafted) via Add-Item SM and Increase-Skill (smithing/alchemy/enchanting); gated on skill-XP gained or per-recipe cooldown to block re-temper spam.",BETA,PDV_TriggerTopups_Exchange_KnightsRoad.md – A. Bosmer – The Exchange (Z'en): the Reciprocity family – Z2,source,PDV_ActionRouter constants: PDV_FavorFamily_ZenReciprocity; Add-Item/Increase-Skill SM branches.,,signals,UNVERIFIED
BC-0050,signal_channel,Breton,Green Way (Y'ffre-adjacent),Breton Green Way must have signal channels for nature-site rite and standing-stone observance via specific outdoor locations; site rotation and cooldown required.,BETA,PDV_RaceSignalMatrix.csv – Breton / Druidic Y'ffre lane,source,,,signals,UNVERIFIED
BC-0051,signal_channel,Breton,Hidden Art (Daedric),"Breton Hidden Art lane must have signal channels for public Daedric practice via Daedric quest completion, anti-Vigilant acts, and public occult milestones; major occult acts only.",BETA,PDV_RaceSignalMatrix.csv – Breton / Witchcraft lane,source,,,signals,UNVERIFIED
BC-0052,signal_channel,Breton,Knight's Road – Justice family (K1: defend the road),"Breton Knight's Road must have a signal channel PDV_FavorFamily_KnightJustice K1 for defeating a predatory-faction enemy (BanditFaction, ForswornFaction) WITHOUT a stealth-kill opener (isSneakAttack false / player.IsSneaking() false at kill); Class B +0.5, daily cap 1.5.",BETA,PDV_TriggerTopups_Exchange_KnightsRoad.md – B. Breton – Knight's Road: the Justice family – K1,source,Kill-Actor SM; victim faction in predatory set; sneak-attack flag check at kill event.,,signals,UNVERIFIED
BC-0053,signal_channel,Breton,Knight's Road – Justice family (K2: charity/aid),Breton Knight's Road must have bonus topper signal K2 for charity and aid (curated vanilla beggar-dialogue Adjust; quest-resolution Adjust on no-reward favors); shares the 1.5/day cap.,FUTURE,PDV_TriggerTopups_Exchange_KnightsRoad.md – B. Breton – Knight's Road: the Justice family – K2,source,,"Sparse; broad-blends to Mara if also worshipped. Flavor topper, not the floor. [auto-demoted: matches explicit descope]",signals,UNVERIFIED
BC-0054,signal_channel,Breton,Knight's Road – KnightlyVowIntegrity,"Breton Knight's Road must have a neglect/degradation channel for oath-breaking via Thieves Guild / Dark Brotherhood membership and selected crime/innocent-kill proxies; membership and major crimes, not petty theft spam.",BETA,PDV_RaceSignalMatrix.csv – Breton / Knightly vow integrity,source,,,signals,UNVERIFIED
BC-0055,signal_channel,Breton,Knight's Road (Akatosh/Stendarr/Mara),Breton Knight's Road must have signal channels for protective justice via quest completion with merciful/helpful outcomes; only significant aid events count.,BETA,PDV_RaceSignalMatrix.csv – Breton / Imperial Divines/knightly lane,source,,,signals,UNVERIFIED
BC-0056,signal_channel,Breton,Standing stones (Green Way),"All 13 Skyrim standing stone activators must generate one-time Y'ffre-adjacent Green Way piety for Green Way Bretons (finite pool, rich early-game signal); Solstheim standing stones may provide optional later support.",BETA,PDV_RaceDesign_Breton.md — Green Way: strong 1.0 hooks (Doomstone activator FormIDs),esp,DoomstoneApprentice through DoomstoneWarrior FormIDs: OnActivate ScoreAction for BretonGreenWay,,race-sheets,UNVERIFIED
BC-0057,signal_channel,Breton,WitchcraftExposure decay rule,"WitchcraftExposure visible decay can return to Hidden (0) through time without visible acts (-1/day passive) and public Divine cover (-5, at most once per 7 days, requires no major occult signal for 3 days); major act HISTORY must remain for debug and future authored pressure even at Hidden.",BETA,PDV_RaceDesign_Breton.md — Approved 1.0 lock additions (WitchcraftExposure visible decay),source,WitchcraftExposure decay logic + major-act-history flag in ProcessDawn,,race-sheets,UNVERIFIED
BC-0058,signal_channel,Dunmer,ancestor layer,"Dunmer ancestor layer must have a daily-capped signal channel for ash-prayer and shrine maintenance (portable shrine interaction proxy, dawn/evening ritual flag); max one morning and one evening credit per day.",BETA,PDV_RaceSignalMatrix.csv – Dunmer / Ancestor layer / ash-prayer,source,,,signals,UNVERIFIED
BC-0059,signal_channel,Dunmer,ancestor layer – community,"Dunmer must have signal channels for Grey Quarter solidarity via Grey Quarter quests, refugee aid, and Dunmer protection/community support; distinct quest outcomes only.",BETA,PDV_RaceSignalMatrix.csv – Dunmer / Ancestor layer / Grey Quarter solidarity,source,,,signals,UNVERIFIED
BC-0060,signal_channel,Dunmer,Azura,Dunmer Azura layer must have signal channels for twilight threshold and Azura's Star quest stages; major threshold acts only.,BETA,PDV_RaceSignalMatrix.csv – Dunmer / Azura layer,source,,,signals,UNVERIFIED
BC-0061,signal_channel,Dunmer,Azura focus,"Azura focus must award piety for: threshold kept (dawn/dusk observance, quest chapter entries), painful truth revealed (Black Star outcome, betrayal exposed, prophetic revelation), exile endured without dissolving, changed body witnessed (vampire/werewolf cure), and star/twilight rite (Azura shrine, artifact).",BETA,PDV_RaceDesign_Dunmer.md — Contextual Favor Table / Azura focus lanes,source,,,race-sheets,UNVERIFIED
BC-0062,signal_channel,Dunmer,Boethiah,Dunmer Boethiah layer must have signal channels for Boethiah's Calling and explicit overthrow/trial resolutions; named milestones only.,BETA,PDV_RaceSignalMatrix.csv – Dunmer / Boethiah layer,source,,,signals,UNVERIFIED
BC-0063,signal_channel,Dunmer,Boethiah focus,"Boethiah focus must award piety for: trial survived (rival-strength/boss kills), false authority overthrown (Boethiah's Calling, corrupt authority removed), betrayal-as-test endured, Chimeric self-authorship (defeat Thalmor/Altmer rival in meaningful context), conspiracy moved cleanly. NOT from random betrayal or generic violence.",BETA,PDV_RaceDesign_Dunmer.md — Contextual Favor Table / Boethiah focus lanes + Boethiah favor boundary (LOCKED),source,,,race-sheets,UNVERIFIED
BC-0064,signal_channel,Dunmer,Dunmer shared Layer 1+2,"Pre-focus Dunmer must award piety for: ash-prayer/portable shrine maintained in exile (daily), ancestors witnessing honorable victory (rival-strength enemy, no sneak opener, daily cap), diaspora solidarity (Grey Quarter/refugee/Dunmer NPC aid), Reclamation acknowledgment (Good Daedra shrine/quest), dead/family obligations proxy.",BETA,PDV_RaceDesign_Dunmer.md — Contextual Favor Table (shared Ancestors + Good Daedra lanes),source,,,race-sheets,UNVERIFIED
BC-0065,signal_channel,Dunmer,Mephala,Dunmer Mephala layer must have signal channels for secret-keeping and hidden-community protection via hidden-network quest choices and The Whispering Door; distinct secret-network resolutions only.,BETA,PDV_RaceSignalMatrix.csv – Dunmer / Mephala layer,source,,,signals,UNVERIFIED
BC-0066,signal_channel,Dunmer,Mephala focus,"Mephala focus must award piety for: hidden community protected (Grey Quarter/Thieves Guild network), secret kept with consequence (discretion preserving obligation), lethal secret answered (Ebony Blade/Whispering Door, targeted assassination), obligation web maintained (TG advancement, fence/network use), necessary lie held in balance. NOT from random murder, casual theft, or convenient lying.",BETA,PDV_RaceDesign_Dunmer.md — Contextual Favor Table / Mephala focus lanes + Mephala favor boundary (LOCKED),source,,,race-sheets,UNVERIFIED
BC-0067,signal_channel,Imperial,Arkay,Imperial must have signal channels for burial order and anti-necromancy via Hall of the Dead and anti-necromancer quest stages; quest milestones only.,BETA,PDV_RaceSignalMatrix.csv – Imperial / Arkay lane,source,,,signals,UNVERIFIED
BC-0068,signal_channel,Imperial,Broad Nine Divines,"Imperial broad Nine Divines must award piety for mercy/restraint under civic pressure, burial duty/death-order maintenance, lawful order/public service, honest work/civic exchange, and public/private Talos pressure — each via curated hooks with anti-farm caps.",BETA,PDV_RaceDesign_Imperial.md — Broad Nine Divines contextual favor table,source,,,race-sheets,UNVERIFIED
