path_id,class,race,fork,deities,formlists,min_types,min_renewable,notes
prince_boethiah,prince,Daedric,Boethiah,Boethiah,PDV_FLST_Daedric_BoethiahLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_mephala,prince,Daedric,Mephala,Mephala,PDV_FLST_Daedric_MephalaLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_nocturnal,prince,Daedric,Nocturnal,Nocturnal,PDV_FLST_Daedric_NocturnalLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_hircine,prince,Daedric,Hircine,Hircine,PDV_FLST_Daedric_HircineLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_hermaeus_mora,prince,Daedric,Hermaeus Mora,Hermaeus Mora,PDV_FLST_Daedric_MoraLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; alias Mora; non-P2 branch proof.
prince_azura,prince,Daedric,Azura,Azura,PDV_FLST_Daedric_AzuraLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; alias Azurah; non-P2 branch proof.
prince_namira,prince,Daedric,Namira,Namira,PDV_FLST_Daedric_NamiraLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_sanguine,prince,Daedric,Sanguine,Sanguine,PDV_FLST_Daedric_SanguineLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_vaermina,prince,Daedric,Vaermina,Vaermina,PDV_FLST_Daedric_VaerminaLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_peryite,prince,Daedric,Peryite,Peryite,PDV_FLST_Daedric_PeryiteLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_malacath,prince,Daedric,Malacath,Malacath,PDV_FLST_Daedric_MalacathLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_clavicus_vile,prince,Daedric,Clavicus Vile,Clavicus Vile,PDV_FLST_Daedric_VileLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; alias Vile; non-P2 branch proof.
prince_meridia,prince,Daedric,Meridia,Meridia,PDV_FLST_Daedric_MeridiaLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_molag_bal,prince,Daedric,Molag Bal,Molag Bal,PDV_FLST_Daedric_MolagLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
prince_sheogorath,prince,Daedric,Sheogorath,Sheogorath,PDV_FLST_Daedric_SheoLiveSources,4,2,Daedric Prince; own exact Daedric live-source quest FormList; non-P2 branch proof.
