cluster,editor_id,outcome_stage,deity,reason
sky_storm_nature,MQ106,200,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [kill_honorable_combat] on the + side; credit stays with Kyne
sky_storm_nature,MQ201Malborn,100,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [kill_honorable_combat] on the + side; credit stays with Kyne
sky_storm_nature,MQ206,220,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [kill_honorable_combat] on the + side; credit stays with Kyne
sky_storm_nature,MQ301,240,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [mercy_spare] on the + side; credit stays with Kyne
sky_storm_nature,MQ303,100/300,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [prove_by_struggle] on the + side; credit stays with Kyne
sky_storm_nature,MQ304,200,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [prove_by_struggle] on the + side; credit stays with Kyne
sky_storm_nature,MQ305,200,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [kill_honorable_combat] on the + side; credit stays with Kyne
sky_storm_nature,MS14,200,Kyne,profile asymmetry 2026-07-04: Kyne Part B carries none of [protect_the_weak] on the + side; credit stays with Kynareth
sky_storm_nature,T01,200,Kyne,profile asymmetry 2026-07-04: Kyne Part B carries none of [protect_the_weak] on the + side; credit stays with Kynareth
sky_storm_nature,t02,200,Kyne,profile asymmetry 2026-07-04: Kyne Part B carries none of [heal_comfort] on the + side; credit stays with Khenarthi
sky_storm_nature,TG08B,50,Kynareth,profile asymmetry 2026-07-04: Kynareth Part B carries none of [kill_honorable_combat] on the + side; credit stays with Kyne
time_dragon,BardsCollegeLute,20,Auri-El,review-dropped 2026-07-04: theology stretch -- recovering a stolen lute is too trivial for uphold_law_justice
time_dragon,C03,200,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,C03,200,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,CW01A,160/200,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [serve_empire_order keep_oath] on the + side; credit stays with Akatosh
time_dragon,CW01A,1,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,CW01A,1,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,CW01B,160/200,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [keep_oath] on the + side; credit stays with Akatosh
time_dragon,CW01B,160/200,Alkosh,profile asymmetry 2026-07-04: Alkosh Part B carries none of [keep_oath] on the + side; credit stays with Akatosh
time_dragon,CW01B,1,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [prove_by_struggle] on the + side; credit stays with Auri-El
time_dragon,CW01B,1,Alkosh,review-dropped 2026-07-04: theology stretch -- killing an Ice Wraith to prove worthy of the Stormcloaks (a rebellion against Imperial/cosmic order) sits awkwardly for an order-and-Empire-adjacent god; also d
time_dragon,CW02A,30/80,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [serve_empire_order] on the + side; credit stays with Akatosh
time_dragon,CW03,50/210,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [serve_empire_order] on the + side; credit stays with Akatosh
time_dragon,DA06,200,Akatosh,review-dropped 2026-07-04: conflict dropped -- Largashbur defense is Malacath-flavored heroism not an Akatosh covenant oath; theology stretch either direction
time_dragon,DA15,200,Auri-El,review-dropped 2026-07-04: theology stretch -- serve_a_daedra tag on Sheogorath is thin next to the sharper sow_chaos_madness fit used for Magnus/Xarxes
time_dragon,DB10,20,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,DB10,20,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,FreeformSkyhavenTempleA,50,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [keep_oath] on the + side; credit stays with Akatosh
time_dragon,FreeformSkyhavenTempleA,50,Alkosh,profile asymmetry 2026-07-04: Alkosh Part B carries none of [keep_oath] on the + side; credit stays with Akatosh
time_dragon,MQ103,190,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ103,190,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ104,160,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ106,200,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ201Malborn,100,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ201Malborn,100,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,MQ303,100/300,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [prove_by_struggle] on the + side; credit stays with Auri-El
time_dragon,TG08A,57,Auri-El,review-dropped 2026-07-04: theology stretch -- procedural mystic oath is not a genuine soul-corruption concern for Auri-El
time_dragon,TG08A,57,Alkosh,profile asymmetry 2026-07-04: Alkosh Part B carries none of [keep_oath] on the + side; credit stays with Akatosh
time_dragon,TG08B,50,Akatosh,profile asymmetry 2026-07-04: Akatosh Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
time_dragon,TG08B,50,Auri-El,profile asymmetry 2026-07-04: Auri-El Part B carries none of [kill_honorable_combat] on the + side; credit stays with Alkosh
death_order,C06,65,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [cure_undeath] on the + side; credit stays with Arkay
death_order,CW02A,72,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead] on the + side; credit stays with Arkay
death_order,CW02B,72,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead] on the + side; credit stays with Arkay
death_order,DA01,110,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [necromancy] on the - side; credit stays with Arkay
death_order,DA09,500,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead cure_undeath] on the + side; credit stays with Arkay
death_order,DLC1SeranaCureSelfQuest,200,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [cure_undeath] on the + side; credit stays with Arkay
death_order,MG07,30,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead] on the + side; credit stays with Arkay
death_order,MQ103,190,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead] on the + side; credit stays with Arkay
death_order,MQ304,200,Khenarthi,review-dropped 2026-07-04: double-credit -- honor_the_dead already carries C06 (funeral rites for the Harbinger) and DLC1VQSaint; Sovngarde admission is a redundant middle stage of the same Alduin arc alread
death_order,MS14,200,Xarxes,profile asymmetry 2026-07-04: Xarxes Part B carries none of [slay_undead] on the + side; credit stays with Arkay
labor_commerce,TG04,200,Z'en,profile asymmetry 2026-07-04: Z'en Part B carries none of [theft_burglary] on the - side; credit stays with Zenithar
labor_commerce,TG07,200,Z'en,profile asymmetry 2026-07-04: Z'en Part B carries none of [theft_burglary] on the - side; credit stays with Zenithar
trickster_thief,DB08,200,Nocturnal,review-dropped 2026-07-04: theology stretch - assassinating the Gourmet by poison/impersonation is deceit not theft_burglary; no actual burglary occurs
trickster_thief,DB08,200,Rajhin,review-dropped 2026-07-04: double-credit -- Rajhin already carries theft_burglary at C-intensity from existing coverage (DB01Misc/TG-arc milestones); DB08's assassination framing is weaker theft_burglary fit
trickster_thief,TG00,200,Baan Dar,review-dropped 2026-07-04: double-credit -- Baan Dar already has TG03/TG04/TG08B kept from existing coverage plus DB06 deceit kept here; framing Brand-Shei duplicates the deceit signal already well covered w
trickster_thief,TG01,200,Baan Dar,review-dropped 2026-07-04: theology stretch -- extorting/strong-arming shopkeepers for Maven's cut is precisely the morally-mixed early-TG-serves-Maven material the standing design waiver excludes; not theft
trickster_thief,TG02,200,Baan Dar,review-dropped 2026-07-04: theology stretch -- same standing waiver as TG01: burning Goldenglow's hives serves Maven's business interests
trickster_thief,TG06,200,Baan Dar,review-dropped 2026-07-04: double-credit -- theft_burglary already carries DB08 kept here plus TG03/TG04/TG08B from existing coverage; Calcelmo burglary is a redundant additional TG beat
trickster_thief,TG07,200,Baan Dar,review-dropped 2026-07-04: double-credit -- theft_burglary already well represented; Mercer's manor burglary is a redundant TG-arc beat
knowledge_scribe,BardsCollegePoeticEdda,200,Magnus,review-dropped 2026-07-04: theology stretch -- bardic/literary recovery is not arcane scholarship
knowledge_scribe,FreeformSkyHavenTempleD,100,Magnus,review-dropped 2026-07-04: theology stretch -- delivering a dragon bone/scale sample is a thin errand
knowledge_scribe,FreeformSkyHavenTempleD,100,Xarxes,review-dropped 2026-07-04: theology stretch -- delivering a bone/scale sample is a thin errand
knowledge_scribe,MQ105,160,Magnus,review-dropped 2026-07-04: theology stretch -- mastering the Thu'um/Voice is a distinct discipline from arcane magic
make_way_war,DA02,40,Talos,review-dropped 2026-07-04: theology stretch: Boethiah's Calling is a treacherous Daedric sacrifice of a trusting companion
make_way_war,TG05,60,Talos,review-dropped 2026-07-04: theology stretch: passively surviving an ambush during a Thieves Guild internal betrayal is not heroic struggle or defiance of tyranny; orthogonal to Talos's anchor
hunt_ethics,DA05,100,Kyne,review-dropped 2026-07-04: the_hunt stretch -- this is Hircine's vengeful hunt not Kyne's respectful/sacred hunt
hunt_ethics,DA05,100,Y'ffre,review-dropped 2026-07-04: theology stretch -- killing Sinding for Hircine (a rival hunt-god) violates the Pact's ethic of restraint; opposite branch s105 kept instead
sky_storm_nature,ccMTYSSE001_Quest,100,Kyne,T13 reviewed 2026-08-06: the pilgrimage explicitly visits the Nine Divines shrines and therefore names Kynareth's Imperial face; it is not a Kyne rite
sky_storm_nature,Sat_Dog,10,Kyne,T13 reviewed 2026-08-06: low-stakes animal companionship fits Kynareth's nature/comfort profile; extending it to Kyne was rejected as coverage farming
time_dragon,WTBarrowOfTheWyrm,260,Akatosh,T13 reviewed 2026-08-06: Alkosh's named-dragon/order-keeping exception is culturally specific; a generic Akatosh battle reaction was rejected
time_dragon,WTBarrowOfTheWyrm,260,Auri-El,T13 reviewed 2026-08-06: Auri-El's locked dragon exception is Alduin/herald-specific and does not cover Vulthurkrah
time_dragon,ccBGSSSE067_Quest2,1000,Auri-El,T13 reviewed 2026-08-06: the retained Akatosh cell is an order-restored response to a Dagon incursion; no Auri-El-specific act is evidenced
time_dragon,ccBGSSSE067_Quest2,1000,Alkosh,T13 reviewed 2026-08-06: the Deadlands escape has no named-dragon or Khajiiti order context; Alkosh parity would be coverage farming
death_order,HYORdunIcemothQST,30,Xarxes,T13 reviewed 2026-08-06: defeating a necromancer and undead army fits death-cycle gods; it does not evidence Xarxes's ancestry or record-keeping domain
death_order,HSHuntForSpectreQuest,55,Xarxes,T13 reviewed 2026-08-06: destroying the Spectre fits death-cycle gods; it does not evidence Xarxes's ancestry or record-keeping domain
labor_commerce,ccASVSSE001_QuestE,100,Z'en,T13 reviewed 2026-08-06: Trueflame's Dwarven-forge restoration is master craft/forge work; no toil bargain or lawful-trade act supports Z'en
make_way_war,HYORdunIcemothQST,30,Talos,T13 reviewed 2026-08-06: HoonDing's make-way victory applies to ending the undead siege; generic Talos credit for any large battle was rejected
sky_storm_nature,018AuriFriendQuest,80,Khenarthi,T14 reviewed 2026-08-06: Auri's five-grove pilgrimage is explicitly Bosmeri and rooted in Skyrim's sacred natural sites; it is not a Khajiit road or aid-the-stranded beat
sky_storm_nature,AnvilMoonpathQuest,60,Kyne,T14 reviewed 2026-08-06: the Khajiit caravan's moon-timed road to Tenmar is Khenarthi travel; it does not evidence Kyne's Nordic hunt Voice or sacred-trial domain
sky_storm_nature,AnvilMoonpathQuest,60,Y'ffre,T14 reviewed 2026-08-06: arriving in Tenmar Forest is a Khajiit road milestone but does not itself enact the Green Pact or Storyteller domain
sky_storm_nature,AnvilDenQuest,150,Kyne,T14 reviewed 2026-08-06: Khenarthi carries the Khajiit-den protection and Kynareth the broad traveler-protection echo; the Thalmor fight has no Nordic hunt Voice or sky rite for Kyne
time_dragon,dk_ThograMain,150,Auri-El,T14 reviewed 2026-08-06: Akatosh reacts to the explicitly fulfilled oath; Auri-El's profile has no generic keep-oath rule and the Orc blood oath has no elven ancestry context
time_dragon,dk_ThograMain,150,Alkosh,T14 reviewed 2026-08-06: Alkosh is restricted to cosmic order time and named dragons; an Orc blood oath is not Khajiiti order evidence
labor_commerce,BPUFXelzazMeadQuest,40,Z'en,T14 reviewed 2026-08-06: Zenithar directly rejects the proved recipe and spice thefts; Z'en has no theft rejection and this is not a debt proportionate-redress or exploitation outcome
sky_storm_nature,MQPaarthurnax,99,Kynareth,T15 reviewed 2026-08-06: Kyne is specific to the hunted Greybeard dragon and Voice context; Kynareth's broad nature aspect does not make this an equivalent rite
time_dragon,dunTrevasWatchQST,100,Auri-El,T15 reviewed 2026-08-06: Akatosh carries the lawful restoration of a dispossessed family and fort; no elven ancestry or Auri-El-specific order act is present
time_dragon,dunTrevasWatchQST,100,Alkosh,T15 reviewed 2026-08-06: the fort restoration has no Khajiiti order time or named-dragon context
death_order,Cow_restoration,25,Xarxes,T15 reviewed 2026-08-06: the lesson demonstrates Restoration against Draugr; it does not evidence Xarxes's ancestry funerary-record or scribe domain
knowledge_scribe,Cow_Breathing,50,Xarxes,T15 reviewed 2026-08-06: the practical Waterbreathing exercise is magical study but contains no book record or scribe act
knowledge_scribe,Cow_restoration,25,Xarxes,T15 reviewed 2026-08-06: the practical anti-undead Restoration exercise contains no book record or scribe act
knowledge_scribe,Cow_Conjuration,25,Xarxes,T15 reviewed 2026-08-06: the practical familiar exercise contains no book record or scribe act
knowledge_scribe,Cow_Reading,25,Magnus,T15 reviewed 2026-08-06: the source-credibility lesson directly fits Julianos and Xarxes; it does not itself manipulate or study magic under Magnus
knowledge_scribe,Cow_enchantment,70,Xarxes,T15 reviewed 2026-08-06: the enchanting commission is practical magic craft and trade; it contains no book record or scribe act
knowledge_scribe,Cow_illusion,25,Xarxes,T15 reviewed 2026-08-06: the practical Illusion exercise contains no book record or scribe act
knowledge_scribe,Cow_Destruction,20,Xarxes,T15 reviewed 2026-08-06: the practical elemental exercise contains no book record or scribe act
sky_storm_nature,MS07,300,Kyne,T16 reviewed 2026-08-06: Kynareth and Khenarthi carry the explicit ship and traveller safety result; stopping a pirate wreck has no Nordic hunt Voice storm or sacred-trial context for Kyne
sky_storm_nature,MS07,310,Kyne,T16 reviewed 2026-08-06: persuading Jaree-Ra protects travellers without enacting Kyne's Nordic hunt Voice storm or sacred-trial domain
sky_storm_nature,MS07,350,Kyne,T16 reviewed 2026-08-06: lawful arrest restores the Icerunner's safe passage; Kynareth and Khenarthi are the direct travel aspects and no Kyne-specific rite occurs
time_dragon,MS07,300,Auri-El,T16 reviewed 2026-08-06: Akatosh carries public order against the wrecking plot; the route has no elven ancestry or Auri-El-specific order act
time_dragon,MS07,300,Alkosh,T16 reviewed 2026-08-06: stopping a pirate wreck has no Khajiiti cosmic-order time or named-dragon context
time_dragon,MS07,350,Auri-El,T16 reviewed 2026-08-06: Jaree-Ra's arrest is civic justice under Akatosh rather than elven ancestry or Auri-El-specific order
time_dragon,MS07,350,Alkosh,T16 reviewed 2026-08-06: Jaree-Ra's arrest has no Khajiiti cosmic-order time or named-dragon context
time_dragon,CYRBrumaMS01,50,Auri-El,T17 reviewed 2026-08-06: reporting a Cyrodiilic smuggler is civic justice under Akatosh and has no elven ancestry or Auri-El-specific order context
time_dragon,CYRBrumaMS01,50,Alkosh,T17 reviewed 2026-08-06: ending a contraband ring has no Khajiiti cosmic-order time or named-dragon context
time_dragon,CYRBrumaMS07,120,Auri-El,T17 reviewed 2026-08-06: recovery of Akaviri artifacts through a Cyrodiilic arrest has no elven ancestry or Auri-El-specific order context
trickster_thief,CYRBrumaMS01,150,Baan Dar,T17 reviewed 2026-08-06: privately keeping a smuggler's skooma is self-serving theft without a pariah road survival or reversal-of-fortune context
sky_storm_nature,WTTheNakedNord,75,Kyne,T17 reviewed 2026-08-06: Kynareth recognizes the antidote cure; the scene has no Nordic hunt Voice storm or sacred-trial context for Kyne
sky_storm_nature,WTTheNakedNord,76,Kyne,T17 reviewed 2026-08-06: curing Gjalrunn is Kynareth's healing aspect and the mixed theft branch has no Kyne-specific domain
sky_storm_nature,WTTheNakedNord,77,Kyne,T17 reviewed 2026-08-06: the antidote cure has no Nordic hunt Voice storm or sacred-trial context for Kyne
sky_storm_nature,WTTheNakedNord,78,Kyne,T17 reviewed 2026-08-06: the antidote cure has no Nordic hunt Voice storm or sacred-trial context for Kyne
death_order,WTUberEncounter,50,Xarxes,T17 reviewed 2026-08-06: destroying the lich fits Arkay and Tu'whacca but contains no elven ancestry archive or scribe context for Xarxes
trickster_thief,WTTheNakedNord,50,Baan Dar,T17 reviewed 2026-08-06: selling Gjalrunn's found pants is self-serving exploitation without a pariah road survival or reversal-of-fortune context
