id,surface,race,target,tier,verify_layer,verdict,detail,requirement,authority
BC-0665,surfacing,Imperial,Book-read signals,BETA,source,GAP-REVIEW,missing: PDV_Notif_Imperial_FavorNoted_TalosPressure_BookRead_TalosMistake,Reading The Talos Mistake must generate one-time ConcordatStanding / conscience-under-pressure signal with notification PDV_Notif_Imperial_FavorNoted_TalosPressure_BookRead_TalosMistake.,PDV_RaceDesign_Imperial.md -- Signal Examples (book-read row)
BC-0666,surfacing,Imperial,curse transition -- vampire/werewolf,BETA,data,GAP-REVIEW,missing: PDV_Msg_Imperial_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),Imperial must surface vampire onset and cure and werewolf onset and cure via the curse class as Loud MessageBoxes,PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Imperial row
BC-0669,surfacing,Imperial,neglect transition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Imperial_Observant_Lapse,"Imperial must surface neglect tier-drop lapses (PDV_Notif_Imperial_Observant_Lapse, Faithful_Lapse, Devoted_Lapse) and thematic texture rows (Arkay, Stendarr, Talos NeglectTexture + CivicScaffoldingHollow_NeglectTexture) once per tier-drop with recovery re-arm",PDV_TransitionSurfacing_CoverageMap.md Section5 neglect table -- Imperial row
BC-0670,surfacing,Imperial,reorientation transition -- Concordat standing,BETA,data,GAP-REVIEW,missing: PDV_Notif_Imperial_Concordat_,"Imperial must surface each confirmed Concordat standing switch (Uncommitted, PrivateDefiant, OpenDefiant, PublicCompliant, ConcordatEnforcer) via the reorientation class; high-compliance crossings surface the political cost through standing change, not via a blocked-offer popup",PDV_TransitionSurfacing_CoverageMap.md Section4 reorientation table -- Imperial row; PDV_Architecture_v3.md Section16.7 worked example
BC-0671,surfacing,Imperial,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Imperial_Observant_Entry, PDV_Notif_Imperial_Faithful_Entry",Imperial must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Imperial_Observant_Entry and PDV_Notif_Imperial_Faithful_Entry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Imperial row
BC-0672,surfacing,Khajiit,curse transition -- shadow drift,BETA,data,GAP-REVIEW,missing: PDV_Msg_Khajiit_ShadowDriftEntry,"Khajiit must surface vampire onset (including PDV_Msg_Khajiit_ShadowDriftEntry) and vampire cure, and werewolf onset and werewolf cure via the curse class as Loud MessageBoxes",PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Khajiit row
BC-0673,surfacing,Khajiit,emergence transition -- silent-patron focus emergence,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Khajiit_FocusEmergence, PDV_RaceDesign_Khajiit","Khajiit silent-patron first dominance must fire as a Loud MessageBox using PDV_Notif_Khajiit_FocusEmergence, closing the silent-emergence invisibility gap identified in PDV_RaceDesign_Khajiit.md:206",PDV_TransitionSurfacing_CoverageMap.md Section2 emergence table -- Khajiit row; PDV_Architecture_v3.md Section16.7 emergence notes
BC-0674,surfacing,Khajiit,neglect transition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Khajiit_Lunar_ObservantLapse,"Khajiit must surface neglect tier-drop lapses (Lunar_ObservantLapse, Lunar_FaithfulLapse, Focus_DevotedLapse) and thematic texture rows (SubstrateThinning, PatronFading, CaravanForgotten) once per tier-drop with recovery re-arm",PDV_TransitionSurfacing_CoverageMap.md Section5 neglect table -- Khajiit row
BC-0676,surfacing,Khajiit,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Khajiit_Lunar_ObservantEntry, PDV_Notif_Khajiit_Lunar_FaithfulEntry",Khajiit must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Khajiit_Lunar_ObservantEntry and PDV_Notif_Khajiit_Lunar_FaithfulEntry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Khajiit row
BC-0677,surfacing,Nord,Book-read signals,BETA,source,GAP-REVIEW,"missing: PDV_Notif_Nord_FavorNoted_OldWays_BookRead_, PDV_Notif_Nord_FavorNoted_HircineArkay_BookRead_TotemsHircine","Reading Old Ways texts (Nords Arise!, A Dream of Sovngarde, Sovngarde: A Reexamination) must each generate one-time Shor/Kyne piety with notifications PDV_Notif_Nord_FavorNoted_OldWays_BookRead_*; reading The Totems of Hircine must generate one-time notification PDV_Notif_Nord_FavorNoted_HircineArkay_BookRead_TotemsHircine.",PDV_RaceDesign_Nord.md -- Signal Examples (book-read rows)
BC-0680,surfacing,Nord,neglect transition,BETA,data,GAP-REVIEW,missing: PDV_Notif_Nord_Observant_Lapse,"Nord must surface neglect tier-drop lapses (PDV_Notif_Nord_Observant_Lapse, Faithful_Lapse, Devoted_Lapse) and per-deity neglect texture rows (PDV_Notif_Nord_<Deity>_NeglectTexture + PDV_Notif_Nord_General_AncestorsQuiet) once per tier-drop with recovery re-arm",PDV_TransitionSurfacing_CoverageMap.md Section5 neglect table -- Nord row
BC-0683,surfacing,Nord,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Nord_Observant_Entry, PDV_Notif_Nord_Faithful_Entry",Nord must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using slot PDV_Notif_Nord_Observant_Entry and PDV_Notif_Nord_Faithful_Entry respectively,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Nord row
BC-0684,surfacing,Orc,curse transition,BETA,data,GAP-REVIEW,missing: PDV_Msg_Orc_CurseState_VampireOnset (NAMING-DRIFT? found PDV_Msg_Nord_CurseState_VampireOnset),"Orc must surface vampire onset, vampire cure, werewolf onset, and werewolf cure via the curse class as Loud MessageBoxes",PDV_TransitionSurfacing_CoverageMap.md Section3 curse table -- Orc row
BC-0685,surfacing,Orc,emergence transition -- life-mode entry,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Orc_LifeMode_, PDV_Notif_Orc_LifeMode_Stronghold_Entry","Orc life-mode entry must fire as the emergence class using per-mode entries (PDV_Notif_Orc_LifeMode_{Stronghold,City,LegionExile}_Entry) as Loud MessageBoxes; these same entries serve as the reorientation surface",PDV_TransitionSurfacing_CoverageMap.md Section2 emergence table -- Orc row and Section4 reorientation table -- Orc row
BC-0689,surfacing,Orc,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Orc_Malacath_ObservantEntry, PDV_Notif_Orc_Malacath_FaithfulEntry",Orc must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Orc_Malacath_ObservantEntry and PDV_Notif_Orc_Malacath_FaithfulEntry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Orc row
BC-0696,surfacing,Redguard,tier transition -- Observant/Faithful,BETA,data,GAP-REVIEW,"missing: PDV_Notif_Redguard_Observant_Entry, PDV_Notif_Redguard_Faithful_Entry",Redguard must surface Observant and Faithful broad-worship tier milestones as Medium Notifications using PDV_Notif_Redguard_Observant_Entry and PDV_Notif_Redguard_Faithful_Entry,PDV_TransitionSurfacing_CoverageMap.md Section1 tier table -- Redguard row
BC-0699,other,ALL,All 16 Daedric Princes,BETA,source,GAP-REVIEW,missing: PDV_GLO_DaedricExposure,"D-14 cross-Prince reduced-rivalry: multiple active Daedric paths must not apply full Aedric-strength cancellation math; cross-Prince rivalry uses reduced math only, and the PDV_GLO_DaedricExposure max-of-active model enforces this.","PDV_Daedric_DecisionPacket_CAT4.md 'Cross-Prince hostility: closed by D-14 (reduced rivalry math, not full Aedric-strength cancellation)'"
BC-0713,other,ALL,D-15 Daedric stigma model,BETA,esp,GAP-REVIEW,missing: PDV_GLO_DaedricExposure,"Daedric stigma must use the four-band WitchcraftExposure shape (Latent 0-25, Suspected 26-50, Known 51-75, Notorious 76-100) stored per-Prince under PDV.Daedric.<Prince>.Stigma; PDV_GLO_DaedricExposure must be max(active path stigma), not additive sum.",PDV_Architecture_v3.md Section11.6 D-15
BC-0732,other,ALL,Mara privilege pilot,BETA,data,GAP-REVIEW,missing: PDV_Privilege_Mara_,The Mara privilege/restoration dialogue pilot must remain deferred until the Arngeir/Kynareth privilege pattern is proven clean.,PDV_Architecture_v3.md Section21 forward phase plan table Phase 11
BC-0015,signal_channel,ALL,quest cross-race mutual exclusion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Every split-outcome quest listed in the Cross-Race Mutual Exclusion Register must fire exactly one branch per character (one-shot gate keyed to the exact stage that completed, never the quest form alone). Applies to DA01, DA05, CW01A/B, DLC1VQ02, MS08, DB01/DB11, TG08B/TG09.",PDV_Phase20_ExpandedSignalArchitecture.md - Cross-Race Mutual Exclusion Register
BC-0016,signal_channel,ALL,quest-reaction wiring - magnitude rules,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Quest-reaction magnitude must follow: milestone if matched tag is C for deity AND stage is completion/terminal; small if tag is S/m or stage is intermediate. Final delta = base(magnitude) x intensity(C/S/m). Quest swings are NOT anti-farm-gated (one-shot), but a single milestone must not exceed ~one tier-step.",PDV_QuestReactionMatrix.md - Part C1 Magnitude
BC-0020,signal_channel,ALL,thin-god Part D supplement - artifact acquisition hooks,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Artifact-acquisition one-shot hooks must exist for thin Daedric gods: Ring of Namira (DA11), Sanguine Rose (DA14), Spellbreaker/Peryite (DA13), Skull of Corruption/Vaermina (DA16), Masque of Clavicus Vile (DA03 reunite branch); tag acquire_daedric_artifact:<self>.",PDV_QuestReactionMatrix.md - Part D method 1 - Artifact-acquisition hooks
BC-0021,signal_channel,ALL,thin-god Part D supplement - faction-join one-shots,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Faction-join one-shots must exist: Dark Brotherhood join -> Sithis +, Arkay/Stendarr -; Thieves Guild join -> Nocturnal/Rajhin +.",PDV_QuestReactionMatrix.md - Part D method 3 - Faction-join hooks
BC-0023,signal_channel,Altmer,Auri-El,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Altmer Auri-El layer must have a daily-capped signal channel for dawn acknowledgment and continuity practice via curated dawn observance proxy or daily high-order devotion flag; single dawn credit, no wait-loop farming.",PDV_RaceSignalMatrix.csv - Altmer / Layer 1 Auri-El
BC-0026,signal_channel,Altmer,Lorkhan adjacency (penalty),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Altmer must have a penalty signal channel for Lorkhan adjacency via Talos shrine, Sovngarde, Tsun, Stormcloak, Companions, homestead/marriage/adoption tiers; named tiers only, no ambient world-presence tick.",PDV_RaceSignalMatrix.csv - Altmer / Lorkhan adjacency penalty
BC-0029,signal_channel,Altmer,Magnus / Psijic,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Altmer Magnus/Syrabane/Psijic lane must have signal channels for magical study via College/Psijic quest stages and curated tome-read proxy; quest milestones carry heavy weight, practice events throttled hard.",PDV_RaceSignalMatrix.csv - Altmer / Magnus/Syrabane/Psijic lane
BC-0033,signal_channel,Argonian,community / collective,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Argonian must have milestone signal channels for Windhelm Assemblage and Saxhleel solidarity via Windhelm/Assemblage quests and Argonian-community support; extra-heavy weight for Assemblage.,PDV_RaceSignalMatrix.csv - Argonian / Collective/community identity / Assemblage
BC-0034,signal_channel,Argonian,Hist - maintenance,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Argonian must have repeatable signal channels for Hist maintenance via water, swamp, rest, and reflection proxies; daily cap and location variety, no simple sleep spam.",PDV_RaceSignalMatrix.csv - Argonian / Hist relation / Water/swamp/rest
BC-0035,signal_channel,Argonian,Hist - neglect decay,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Argonian Hist must have a sparse neglect-decay signal: light drain from distance/neglect via low-frequency periodic check against recent Hist-maintenance signals.,PDV_RaceSignalMatrix.csv - Argonian / Hist relation / Light decay from distance
BC-0038,signal_channel,Argonian,Sithis,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Argonian must have signal channels for Sithis acknowledgment via Dark Brotherhood membership/stages and curated death-facing quest choices; faction/state milestones only, not generic stealth or killing.",PDV_RaceSignalMatrix.csv - Argonian / Sithis acknowledgment
BC-0039,signal_channel,Argonian,Sithis activation,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Sithis Void layer requires at least 3 significant signals before full active scoring unlocks; Dark Brotherhood join counts as one major signal only; valid signals: DB milestones/contracts and curated death/void/change choices; generic stealth, murder, and ordinary killing must NOT count.",PDV_RaceDesign_Argonian.md -- Sithis activation (LOCKED)
