"Prince","Tier","Slot","Current Effect","Budget Band","Rationale","Discussion Flag"
"Meridia","Seeker","Price","Illusion -8","skill/social price","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
"Meridia","Devoted","Boon","Restoration +15","skill boon","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
"Meridia","Devoted","Price","Illusion -12","skill/social price","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
"Meridia","Champion","Boon","Restoration +20","skill boon","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
"Meridia","Champion","Price","Illusion -15","skill/social price","Replaces narrow disease resistance with a broader anti-corruption Restoration lane.",""
"Molag Bal","Seeker","Boon","Illusion +10","skill boon","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Molag Bal","Seeker","Price","Restoration -8","skill/social price","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Molag Bal","Devoted","Boon","Illusion +15","skill boon","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Molag Bal","Devoted","Price","Restoration -12","skill/social price","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Molag Bal","Champion","Boon","Illusion +20","skill boon","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Molag Bal","Champion","Price","Restoration -15","skill/social price","Keeps domination as control magic and changes the price to a fair skill-for-skill loss instead of universal health-regeneration damage.",""
"Mephala","Seeker","Boon","Sneak +10","skill boon","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Mephala","Seeker","Price","Speech -8","skill/social price","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Mephala","Devoted","Boon","Sneak +15","skill boon","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Mephala","Devoted","Price","Speech -12","skill/social price","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Mephala","Champion","Boon","Sneak +20","skill boon","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Mephala","Champion","Price","Speech -15","skill/social price","Makes the web broadly useful as stealth while the price remains social trust and honest speech.",""
"Malacath","Seeker","Boon","Armor rating +10","armor boon","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Malacath","Seeker","Price","Movement Speed -3%","movement price cap","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Malacath","Devoted","Boon","Armor rating +15","armor boon","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Malacath","Devoted","Price","Movement Speed -5%","movement price cap","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Malacath","Champion","Boon","Armor rating +20","armor boon","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Malacath","Champion","Price","Movement Speed -8%","movement price cap","Keeps the outcast-endurance fantasy while capping movement loss so it does not make play feel broken.",""
"Mehrunes Dagon","Seeker","Boon","Attack damage +5%","raw-damage boon","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Mehrunes Dagon","Seeker","Price","Armor rating -5","survival/resource price","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Mehrunes Dagon","Devoted","Boon","Attack damage +8%","raw-damage boon","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Mehrunes Dagon","Devoted","Price","Armor rating -10","survival/resource price","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Mehrunes Dagon","Champion","Boon","Attack damage +12%","raw-damage boon","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Mehrunes Dagon","Champion","Price","Armor rating -15","survival/resource price","Uses record-proven raw attack damage for the Prince of Destruction, paid for with lower defenses.",""
"Sheogorath","Seeker","Boon","Magicka regeneration +10%","regen/resist boon","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Sheogorath","Seeker","Price","Restoration -8","skill/social price","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Sheogorath","Devoted","Boon","Magicka regeneration +15%","regen/resist boon","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Sheogorath","Devoted","Price","Restoration -12","skill/social price","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Sheogorath","Champion","Boon","Magicka regeneration +20%","regen/resist boon","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Sheogorath","Champion","Price","Restoration -15","skill/social price","Keeps chaotic magical throughput, but pulls it down from the old +35 ceiling.",""
"Namira","Seeker","Boon","Health regeneration +10%","regen/resist boon","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Namira","Seeker","Price","Speech -8","skill/social price","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Namira","Devoted","Boon","Health regeneration +15%","regen/resist boon","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Namira","Devoted","Price","Speech -12","skill/social price","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Namira","Champion","Boon","Health regeneration +20%","regen/resist boon","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Namira","Champion","Price","Speech -15","skill/social price","Preserves outcast sustenance while making the social disgust cost explicit.",""
"Sanguine","Seeker","Boon","Speech +10","skill boon","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Sanguine","Seeker","Price","Magicka regeneration -5%","survival/resource price","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Sanguine","Devoted","Boon","Speech +15","skill boon","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Sanguine","Devoted","Price","Magicka regeneration -10%","survival/resource price","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Sanguine","Champion","Boon","Speech +20","skill boon","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Sanguine","Champion","Price","Magicka regeneration -15%","survival/resource price","Makes Sanguine socially powerful and mentally costly rather than a stamina-to-speech identity swap.",""
"Clavicus Vile","Seeker","Boon","Carry Weight +25","carry-weight boon","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Clavicus Vile","Seeker","Price","Magicka regeneration -5%","survival/resource price","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Clavicus Vile","Devoted","Boon","Carry Weight +50","carry-weight boon","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Clavicus Vile","Devoted","Price","Magicka regeneration -10%","survival/resource price","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Clavicus Vile","Champion","Boon","Carry Weight +75","carry-weight boon","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Clavicus Vile","Champion","Price","Magicka regeneration -15%","survival/resource price","Uses a separate carry-weight scale so Vile's bargain is actually competitive.",""
"Hermaeus Mora","Seeker","Boon","Alteration +10","skill boon","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Hermaeus Mora","Seeker","Price","Stamina regeneration -5%","survival/resource price","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Hermaeus Mora","Devoted","Boon","Alteration +15","skill boon","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Hermaeus Mora","Devoted","Price","Stamina regeneration -10%","survival/resource price","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Hermaeus Mora","Champion","Boon","Alteration +20","skill boon","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Hermaeus Mora","Champion","Price","Stamina regeneration -15%","survival/resource price","Moves Mora away from the repeated magicka-regen shell and into forbidden study of form.",""
"Nocturnal","Seeker","Boon","Lockpicking +10","skill boon","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Nocturnal","Seeker","Price","Carry Weight -15","carry-weight price","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Nocturnal","Devoted","Boon","Lockpicking +15","skill boon","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Nocturnal","Devoted","Price","Carry Weight -25","carry-weight price","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Nocturnal","Champion","Boon","Lockpicking +20","skill boon","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Nocturnal","Champion","Price","Carry Weight -35","carry-weight price","Makes the shadow pact about access and debt: Nocturnal opens locks, then takes a cut of what you can carry out.",""
"Peryite","Seeker","Boon","Disease resistance +25%","narrow resist boon","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Peryite","Seeker","Price","Stamina regeneration -5%","survival/resource price","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Peryite","Devoted","Boon","Disease resistance +50%","narrow resist boon","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Peryite","Devoted","Price","Stamina regeneration -10%","survival/resource price","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Peryite","Champion","Boon","Disease resistance +75%","narrow resist boon","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Peryite","Champion","Price","Stamina regeneration -15%","survival/resource price","Keeps disease resistance because it is the unique Peryite identity, but gives it a higher utility scale.","Disease resistance remains intentionally narrow; test whether high scale is enough."
"Hircine","Seeker","Boon","Stamina regeneration +10%","regen/resist boon","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
"Hircine","Seeker","Price","Speech -8","skill/social price","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
"Hircine","Devoted","Boon","Stamina regeneration +15%","regen/resist boon","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
"Hircine","Devoted","Price","Speech -12","skill/social price","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
"Hircine","Champion","Boon","Stamina regeneration +20%","regen/resist boon","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
"Hircine","Champion","Price","Speech -15","skill/social price","Makes the hunt mechanically readable as stamina, with the price carried by social unease instead of slow healing.",""
