effectId,familyId,lane,class,origin,wired,record,status,detail
PDV_Bless_Khajiit_Alkosh_T2,Khajiit-Alkosh|boon,Khajiit-Alkosh,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Khajiit_Alkosh_T3,Khajiit-Alkosh|boon,Khajiit-Alkosh,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Kyne,Neglect-Kyne|neglect,Neglect-Kyne,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_OldWays_T1,Nord-OldWays|boon,Nord-OldWays,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_OldWays_T2,Nord-OldWays|boon,Nord-OldWays,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_NineDivines_T1,Nord-NineDivines|boon,Nord-NineDivines,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_NineDivines_T2,Nord-NineDivines|boon,Nord-NineDivines,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Kyne_T1,Nord-Kyne|boon,Nord-Kyne,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Kyne_T2,Nord-Kyne|boon,Nord-Kyne,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Kyne_T3,Nord-Kyne|boon,Nord-Kyne,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Shor_T1,Nord-Shor|boon,Nord-Shor,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Shor_T2,Nord-Shor|boon,Nord-Shor,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Shor_T3,Nord-Shor|boon,Nord-Shor,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Tsun_T1,Nord-Tsun|boon,Nord-Tsun,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Tsun_T2,Nord-Tsun|boon,Nord-Tsun,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Tsun_T3,Nord-Tsun|boon,Nord-Tsun,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Stuhn_T1,Nord-Stuhn|boon,Nord-Stuhn,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Stuhn_T2,Nord-Stuhn|boon,Nord-Stuhn,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Stuhn_T3,Nord-Stuhn|boon,Nord-Stuhn,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Talos_T1,Nord-Talos|boon,Nord-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Talos_T2,Nord-Talos|boon,Nord-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Nord_Talos_T3,Nord-Talos|boon,Nord-Talos,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Orc,Neglect-Orc|neglect,Neglect-Orc,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_Malacath_T1,Orc-Malacath|boon,Orc-Malacath,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_Malacath_T2,Orc-Malacath|boon,Orc-Malacath,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_Stronghold_T1,Orc-Stronghold|boon,Orc-Stronghold,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_Stronghold_T2,Orc-Stronghold|boon,Orc-Stronghold,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_Stronghold_T3,Orc-Stronghold|boon,Orc-Stronghold,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_City_T1,Orc-City|boon,Orc-City,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_City_T2,Orc-City|boon,Orc-City,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_City_T3,Orc-City|boon,Orc-City,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_LegionExile_T1,Orc-LegionExile|boon,Orc-LegionExile,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_LegionExile_T2,Orc-LegionExile|boon,Orc-LegionExile,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Orc_LegionExile_T3,Orc-LegionExile|boon,Orc-LegionExile,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Orc_TrialOfIron_Tusk,Orc-TrialOfIron|boon,Orc-TrialOfIron,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Orc_TrialOfIron_Shield,Orc-TrialOfIron|boon,Orc-TrialOfIron,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Orc_TrialOfIron_Hammer,Orc-TrialOfIron|boon,Orc-TrialOfIron,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Orc_TrialOfIron_Yoke,Orc-TrialOfIron|boon,Orc-TrialOfIron,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_OrcCodeHolds,Orc-supportSpells|boon,Orc-supportSpells,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_OrcCodeHolds_Devoted,OrcCodeHolds|boon,OrcCodeHolds,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_OrcHearthHeld,Orc-supportSpells|boon,Orc-supportSpells,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_FarShoresToken,Redguard-FarShoresToken|boon,Redguard-FarShoresToken,boon,race-spec,PASS,PASS,PASS,""
PDV_SPEL_Neglect_Redguard,Neglect-Redguard|neglect,Neglect-Redguard,neglect,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_AncestorSpine_T1,Redguard-AncestorSpine|boon,Redguard-AncestorSpine,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_AncestorSpine_T2,Redguard-AncestorSpine|boon,Redguard-AncestorSpine,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Tuwhacca_T1,Redguard-Tuwhacca|boon,Redguard-Tuwhacca,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Tuwhacca_T2,Redguard-Tuwhacca|boon,Redguard-Tuwhacca,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Tuwhacca_T3,Redguard-Tuwhacca|boon,Redguard-Tuwhacca,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_HoonDing_T1,Redguard-HoonDing|boon,Redguard-HoonDing,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_HoonDing_T2,Redguard-HoonDing|boon,Redguard-HoonDing,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_HoonDing_T3,Redguard-HoonDing|boon,Redguard-HoonDing,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Leki_T1,Redguard-Leki|boon,Redguard-Leki,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Leki_T2,Redguard-Leki|boon,Redguard-Leki,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Redguard_Leki_T3,Redguard-Leki|boon,Redguard-Leki,boon,race-spec,PASS,PASS,PASS,""
PDV_Bless_Daedric_Boethiah_Seeker,Daedric-Boethiah|boon,Daedric-Boethiah,boon,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Boethiah_Devoted,Daedric-Boethiah|boon,Daedric-Boethiah,boon,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Boethiah_Champion,Daedric-Boethiah|boon,Daedric-Boethiah,boon,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Boethiah_Seeker,Daedric-Boethiah|price,Daedric-Boethiah,price,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Boethiah_Devoted,Daedric-Boethiah|price,Daedric-Boethiah,price,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Boethiah_Champion,Daedric-Boethiah|price,Daedric-Boethiah,price,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Azura_Seeker,Daedric-Azura|boon,Daedric-Azura,boon,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Azura_Devoted,Daedric-Azura|boon,Daedric-Azura,boon,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Azura_Champion,Daedric-Azura|boon,Daedric-Azura,boon,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Azura_Seeker,Daedric-Azura|price,Daedric-Azura,price,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Azura_Devoted,Daedric-Azura|price,Daedric-Azura,price,prince-contract,PASS,PASS,PASS,""
PDV_Price_Daedric_Azura_Champion,Daedric-Azura|price,Daedric-Azura,price,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Vaermina_Seeker,Daedric-Vaermina|boon,Daedric-Vaermina,boon,prince-contract,PASS,PASS,PASS,""
PDV_Bless_Daedric_Vaermina_Devoted,Daedric-Vaermina|boon,Daedric-Vaermina,boon,prince-contract,PASS,PASS,PASS,""
